,date,state,fips,cases,deaths,cases_d,deaths_d
0,2020-03-13,Alabama,1,6,0,6,0
1,2020-03-14,Alabama,1,12,0,6,0
2,2020-03-15,Alabama,1,23,0,11,0
3,2020-03-16,Alabama,1,29,0,6,0
4,2020-03-17,Alabama,1,39,0,10,0
5,2020-03-18,Alabama,1,51,0,12,0
6,2020-03-19,Alabama,1,78,0,27,0
7,2020-03-20,Alabama,1,106,0,28,0
8,2020-03-21,Alabama,1,131,0,25,0
9,2020-03-22,Alabama,1,157,0,26,0
10,2020-03-23,Alabama,1,196,0,39,0
11,2020-03-24,Alabama,1,242,0,46,0
12,2020-03-25,Alabama,1,386,1,144,1
13,2020-03-26,Alabama,1,538,3,152,2
14,2020-03-27,Alabama,1,639,4,101,1
15,2020-03-28,Alabama,1,720,4,81,0
16,2020-03-29,Alabama,1,830,5,110,1
17,2020-03-30,Alabama,1,947,11,117,6
18,2020-03-31,Alabama,1,999,14,52,3
19,2020-04-01,Alabama,1,1108,28,109,14
20,2020-04-02,Alabama,1,1270,32,162,4
21,2020-04-03,Alabama,1,1535,38,265,6
22,2020-04-04,Alabama,1,1632,44,97,6
23,2020-04-05,Alabama,1,1840,45,208,1
24,2020-04-06,Alabama,1,2005,53,165,8
25,2020-04-07,Alabama,1,2197,64,192,11
26,2020-04-08,Alabama,1,2498,67,301,3
27,2020-04-09,Alabama,1,2838,78,340,11
28,2020-04-10,Alabama,1,3008,80,170,2
29,2020-04-11,Alabama,1,3262,93,254,13
30,2020-04-12,Alabama,1,3583,93,321,0
31,2020-04-13,Alabama,1,3805,104,222,11
32,2020-04-14,Alabama,1,3953,114,148,10
33,2020-04-15,Alabama,1,4241,123,288,9
34,2020-04-16,Alabama,1,4404,137,163,14
35,2020-04-17,Alabama,1,4572,151,168,14
36,2020-04-18,Alabama,1,4723,147,151,-4
37,2020-04-19,Alabama,1,4903,160,180,13
38,2020-04-20,Alabama,1,5078,164,175,4
39,2020-04-21,Alabama,1,5327,186,249,22
40,2020-04-22,Alabama,1,5610,201,283,15
41,2020-04-23,Alabama,1,5832,197,222,-4
42,2020-04-24,Alabama,1,6026,209,194,12
43,2020-04-25,Alabama,1,6213,213,187,4
44,2020-04-26,Alabama,1,6421,219,208,6
45,2020-04-27,Alabama,1,6539,228,118,9
46,2020-04-28,Alabama,1,6750,242,211,14
47,2020-04-29,Alabama,1,6925,262,175,20
48,2020-04-30,Alabama,1,7068,272,143,10
49,2020-05-01,Alabama,1,7294,289,226,17
50,2020-05-02,Alabama,1,7611,288,317,-1
51,2020-05-03,Alabama,1,7888,290,277,2
52,2020-05-04,Alabama,1,8112,298,224,8
53,2020-05-05,Alabama,1,8437,315,325,17
54,2020-05-06,Alabama,1,8691,343,254,28
55,2020-05-07,Alabama,1,9046,369,355,26
56,2020-05-08,Alabama,1,9385,383,339,14
57,2020-05-09,Alabama,1,9668,390,283,7
58,2020-05-10,Alabama,1,9889,393,221,3
59,2020-05-11,Alabama,1,10164,403,275,10
60,2020-05-12,Alabama,1,10464,435,300,32
61,2020-05-13,Alabama,1,10700,450,236,15
62,2020-05-14,Alabama,1,11101,473,401,23
63,2020-05-15,Alabama,1,11373,483,272,10
64,2020-05-16,Alabama,1,11674,485,301,2
65,2020-05-17,Alabama,1,11771,488,97,3
66,2020-05-18,Alabama,1,12086,489,315,1
67,2020-05-19,Alabama,1,12376,504,290,15
68,2020-05-20,Alabama,1,13052,522,676,18
69,2020-05-21,Alabama,1,13414,529,362,7
70,2020-05-22,Alabama,1,13670,541,256,12
71,2020-05-23,Alabama,1,14149,549,479,8
72,2020-05-24,Alabama,1,14478,551,329,2
73,2020-05-25,Alabama,1,14986,566,508,15
74,2020-05-26,Alabama,1,15650,580,664,14
75,2020-05-27,Alabama,1,16032,583,382,3
76,2020-05-28,Alabama,1,16530,591,498,8
77,2020-05-29,Alabama,1,17031,610,501,19
78,2020-05-30,Alabama,1,17359,618,328,8
79,2020-05-31,Alabama,1,17952,630,593,12
80,2020-06-01,Alabama,1,18534,646,582,16
81,2020-06-02,Alabama,1,18771,653,237,7
82,2020-06-03,Alabama,1,18851,653,80,0
83,2020-06-04,Alabama,1,19072,653,221,0
84,2020-06-05,Alabama,1,19387,676,315,23
