"date","state","fips","cases","deaths"
"2020-03-05","Colorado",8,2,0
"2020-03-06","Colorado",8,6,0
"2020-03-07","Colorado",8,0,0
"2020-03-08","Colorado",8,0,0
"2020-03-09","Colorado",8,4,0
"2020-03-10","Colorado",8,5,0
"2020-03-11","Colorado",8,17,0
"2020-03-12","Colorado",8,15,1
"2020-03-13","Colorado",8,29,1
"2020-03-14","Colorado",8,25,0
"2020-03-15","Colorado",8,33,0
"2020-03-16","Colorado",8,25,0
"2020-03-17","Colorado",8,22,1
"2020-03-18","Colorado",8,33,0
"2020-03-19","Colorado",8,62,2
"2020-03-20","Colorado",8,86,0
"2020-03-21","Colorado",8,111,1
"2020-03-22","Colorado",8,116,1
"2020-03-23","Colorado",8,130,3
"2020-03-24","Colorado",8,191,1
"2020-03-25","Colorado",8,174,8
"2020-03-26","Colorado",8,346,5
"2020-03-27","Colorado",8,303,7
"2020-03-28","Colorado",8,326,13
"2020-03-29","Colorado",8,254,3
"2020-03-30","Colorado",8,313,4
"2020-03-31","Colorado",8,362,18
"2020-04-01","Colorado",8,356,11
"2020-04-02","Colorado",8,382,16
"2020-04-03","Colorado",8,454,14
"2020-04-04","Colorado",8,392,16
"2020-04-05","Colorado",8,376,14
"2020-04-06","Colorado",8,222,10
"2020-04-07","Colorado",8,257,29
"2020-04-08","Colorado",8,226,13
"2020-04-09","Colorado",8,547,35
"2020-04-10","Colorado",8,308,26
"2020-04-11","Colorado",8,383,21
"2020-04-12","Colorado",8,410,16
"2020-04-13","Colorado",8,388,18
"2020-04-14","Colorado",8,250,21
"2020-04-15","Colorado",8,339,26
"2020-04-16","Colorado",8,395,19
"2020-04-17","Colorado",8,372,15
"2020-04-18","Colorado",8,386,20
"2020-04-19","Colorado",8,297,12
"2020-04-20","Colorado",8,376,27
"2020-04-21","Colorado",8,341,36
"2020-04-22","Colorado",8,431,42
"2020-04-23","Colorado",8,384,31
"2020-04-24","Colorado",8,993,115
"2020-04-25","Colorado",8,712,-2
"2020-04-26","Colorado",8,473,8
"2020-04-27","Colorado",8,364,27
"2020-04-28","Colorado",8,435,29
"2020-04-29","Colorado",8,441,30
