"date","state","fips","cases","deaths"
"2020-03-08","Connecticut",9,1,0
"2020-03-09","Connecticut",9,1,0
"2020-03-10","Connecticut",9,0,0
"2020-03-11","Connecticut",9,1,0
"2020-03-12","Connecticut",9,3,0
"2020-03-13","Connecticut",9,5,0
"2020-03-14","Connecticut",9,9,0
"2020-03-15","Connecticut",9,6,0
"2020-03-16","Connecticut",9,15,0
"2020-03-17","Connecticut",9,27,0
"2020-03-18","Connecticut",9,28,1
"2020-03-19","Connecticut",9,63,3
"2020-03-20","Connecticut",9,35,0
"2020-03-21","Connecticut",9,29,1
"2020-03-22","Connecticut",9,104,3
"2020-03-23","Connecticut",9,88,2
"2020-03-24","Connecticut",9,203,2
"2020-03-25","Connecticut",9,257,7
"2020-03-26","Connecticut",9,137,2
"2020-03-27","Connecticut",9,279,6
"2020-03-28","Connecticut",9,233,6
"2020-03-29","Connecticut",9,469,1
"2020-03-30","Connecticut",9,578,2
"2020-03-31","Connecticut",9,557,33
"2020-04-01","Connecticut",9,429,16
"2020-04-02","Connecticut",9,267,27
"2020-04-03","Connecticut",9,1091,20
"2020-04-04","Connecticut",9,361,33
"2020-04-05","Connecticut",9,399,24
"2020-04-06","Connecticut",9,1231,17
"2020-04-07","Connecticut",9,875,71
"2020-04-08","Connecticut",9,1000,58
"2020-04-09","Connecticut",9,1003,45
"2020-04-10","Connecticut",9,754,68
"2020-04-11","Connecticut",9,972,46
"2020-04-12","Connecticut",9,525,60
"2020-04-13","Connecticut",9,1346,48
"2020-04-14","Connecticut",9,608,69
"2020-04-15","Connecticut",9,766,197
"2020-04-16","Connecticut",9,1129,103
"2020-04-17","Connecticut",9,925,65
"2020-04-18","Connecticut",9,741,50
"2020-04-19","Connecticut",9,412,41
"2020-04-20","Connecticut",9,1853,204
"2020-04-21","Connecticut",9,545,92
"2020-04-22","Connecticut",9,2109,121
"2020-04-23","Connecticut",9,631,95
"2020-04-24","Connecticut",9,821,125
"2020-04-25","Connecticut",9,661,98
"2020-04-26","Connecticut",9,687,63
"2020-04-27","Connecticut",9,728,87
"2020-04-28","Connecticut",9,315,77
"2020-04-29","Connecticut",9,455,79
"2020-04-30","Connecticut",9,933,89
"2020-05-01","Connecticut",9,1064,82
"2020-05-02","Connecticut",9,523,97
"2020-05-03","Connecticut",9,0,0
"2020-05-04","Connecticut",9,686,120
"2020-05-05","Connecticut",9,648,77
"2020-05-06","Connecticut",9,374,85
"2020-05-07","Connecticut",9,789,79
"2020-05-08","Connecticut",9,627,77
"2020-05-09","Connecticut",9,573,58
"2020-05-10","Connecticut",9,570,35
"2020-05-11","Connecticut",9,211,41
"2020-05-12","Connecticut",9,568,33
"2020-05-13","Connecticut",9,522,84
"2020-05-14","Connecticut",9,609,94
"2020-05-15","Connecticut",9,621,66
"2020-05-16","Connecticut",9,618,54
"2020-05-17","Connecticut",9,716,69
"2020-05-18","Connecticut",9,697,41
