"date","state","fips","cases","deaths"
"2020-03-07","District of Columbia",11,1,0
"2020-03-08","District of Columbia",11,0,0
"2020-03-09","District of Columbia",11,3,0
"2020-03-10","District of Columbia",11,0,0
"2020-03-11","District of Columbia",11,6,0
"2020-03-12","District of Columbia",11,0,0
"2020-03-13","District of Columbia",11,0,0
"2020-03-14","District of Columbia",11,6,0
"2020-03-15","District of Columbia",11,1,0
"2020-03-16","District of Columbia",11,5,0
"2020-03-17","District of Columbia",11,9,0
"2020-03-18","District of Columbia",11,5,0
"2020-03-19","District of Columbia",11,3,0
"2020-03-20","District of Columbia",11,32,0
"2020-03-21","District of Columbia",11,6,1
"2020-03-22","District of Columbia",11,21,0
"2020-03-23","District of Columbia",11,18,1
"2020-03-24","District of Columbia",11,21,0
"2020-03-25","District of Columbia",11,46,0
"2020-03-26","District of Columbia",11,48,1
"2020-03-27","District of Columbia",11,36,0
"2020-03-28","District of Columbia",11,37,1
"2020-03-29","District of Columbia",11,38,1
"2020-03-30","District of Columbia",11,59,4
"2020-03-31","District of Columbia",11,94,0
"2020-04-01","District of Columbia",11,91,2
"2020-04-02","District of Columbia",11,67,1
"2020-04-03","District of Columbia",11,104,3
"2020-04-04","District of Columbia",11,145,6
"2020-04-05","District of Columbia",11,96,1
"2020-04-06","District of Columbia",11,99,2
"2020-04-07","District of Columbia",11,114,0
"2020-04-08","District of Columbia",11,229,3
"2020-04-09","District of Columbia",11,83,5
"2020-04-10","District of Columbia",11,137,6
"2020-04-11","District of Columbia",11,118,9
"2020-04-12","District of Columbia",11,97,3
"2020-04-13","District of Columbia",11,80,2
"2020-04-14","District of Columbia",11,103,15
"2020-04-15","District of Columbia",11,139,5
"2020-04-16","District of Columbia",11,153,9
"2020-04-17","District of Columbia",11,126,5
"2020-04-18","District of Columbia",11,190,5
"2020-04-19","District of Columbia",11,127,5
"2020-04-20","District of Columbia",11,134,9
"2020-04-21","District of Columbia",11,171,7
"2020-04-22","District of Columbia",11,108,15
"2020-04-23","District of Columbia",11,155,12
"2020-04-24","District of Columbia",11,167,14
"2020-04-25","District of Columbia",11,171,12
"2020-04-26","District of Columbia",11,142,13
"2020-04-27","District of Columbia",11,51,7
"2020-04-28","District of Columbia",11,102,5
"2020-04-29","District of Columbia",11,112,15
"2020-04-30","District of Columbia",11,217,19
"2020-05-01","District of Columbia",11,335,7
"2020-05-02","District of Columbia",11,139,9
"2020-05-03","District of Columbia",11,219,11
"2020-05-04","District of Columbia",11,154,7
"2020-05-05","District of Columbia",11,152,6
"2020-05-06","District of Columbia",11,139,13
"2020-05-07","District of Columbia",11,193,8
"2020-05-08","District of Columbia",11,245,19
"2020-05-09","District of Columbia",11,203,7
"2020-05-10","District of Columbia",11,170,12
"2020-05-11","District of Columbia",11,117,5
"2020-05-12","District of Columbia",11,96,8
"2020-05-13","District of Columbia",11,99,14
"2020-05-14","District of Columbia",11,152,8
"2020-05-15","District of Columbia",11,135,10
"2020-05-16","District of Columbia",11,171,7
"2020-05-17","District of Columbia",11,81,8
"2020-05-18","District of Columbia",11,147,9
"2020-05-19","District of Columbia",11,164,8
"2020-05-20","District of Columbia",11,117,7
"2020-05-21","District of Columbia",11,237,5
"2020-05-22","District of Columbia",11,105,6
"2020-05-23","District of Columbia",11,73,9
"2020-05-24","District of Columbia",11,144,5
"2020-05-25","District of Columbia",11,115,8
"2020-05-26","District of Columbia",11,109,0
"2020-05-27","District of Columbia",11,72,5
"2020-05-28","District of Columbia",11,86,8
"2020-05-29","District of Columbia",11,46,7
"2020-05-30","District of Columbia",11,179,2
"2020-05-31","District of Columbia",11,84,4
"2020-06-01","District of Columbia",11,56,2
"2020-06-02","District of Columbia",11,29,2
"2020-06-03","District of Columbia",11,130,3
"2020-06-04","District of Columbia",11,104,2
"2020-06-05","District of Columbia",11,79,4
"2020-06-06","District of Columbia",11,70,4
"2020-06-07","District of Columbia",11,63,6
"2020-06-08","District of Columbia",11,57,2
"2020-06-09","District of Columbia",11,85,4
"2020-06-10","District of Columbia",11,63,4
"2020-06-11","District of Columbia",11,52,3
"2020-06-12","District of Columbia",11,65,4
"2020-06-13","District of Columbia",11,55,5
"2020-06-14","District of Columbia",11,58,4
"2020-06-15","District of Columbia",11,32,0
"2020-06-16","District of Columbia",11,19,5
"2020-06-17","District of Columbia",11,29,3
"2020-06-18","District of Columbia",11,56,4
"2020-06-19","District of Columbia",11,49,3
"2020-06-20","District of Columbia",11,32,1
"2020-06-21","District of Columbia",11,36,2
"2020-06-22","District of Columbia",11,38,2
"2020-06-23","District of Columbia",11,36,2
"2020-06-24","District of Columbia",11,34,4
"2020-06-25","District of Columbia",11,31,2
"2020-06-26","District of Columbia",11,26,3
"2020-06-27","District of Columbia",11,31,2
"2020-06-28","District of Columbia",11,32,2
"2020-06-29","District of Columbia",11,44,1
"2020-06-30","District of Columbia",11,35,0
"2020-07-01","District of Columbia",11,38,2
"2020-07-02","District of Columbia",11,25,1
"2020-07-03","District of Columbia",11,45,1
"2020-07-04","District of Columbia",11,12,2
"2020-07-05","District of Columbia",11,35,2
"2020-07-06","District of Columbia",11,33,2
"2020-07-07","District of Columbia",11,54,0
"2020-07-08","District of Columbia",11,73,3
"2020-07-09","District of Columbia",11,37,4
"2020-07-10","District of Columbia",11,64,0
"2020-07-11","District of Columbia",11,58,0
"2020-07-12","District of Columbia",11,46,0
"2020-07-13","District of Columbia",11,59,0
"2020-07-14","District of Columbia",11,40,0
"2020-07-15","District of Columbia",11,80,3
"2020-07-16","District of Columbia",11,50,3
"2020-07-17","District of Columbia",11,39,3
"2020-07-18","District of Columbia",11,79,1
"2020-07-19","District of Columbia",11,67,0
"2020-07-20","District of Columbia",11,78,1
"2020-07-21","District of Columbia",11,88,1
"2020-07-22","District of Columbia",11,102,0
"2020-07-23","District of Columbia",11,42,1
"2020-07-24","District of Columbia",11,78,0
"2020-07-25","District of Columbia",11,68,0
"2020-07-26","District of Columbia",11,63,0
"2020-07-27","District of Columbia",11,78,1
"2020-07-28","District of Columbia",11,87,1
"2020-07-29","District of Columbia",11,54,1
"2020-07-30","District of Columbia",11,58,0
"2020-07-31","District of Columbia",11,69,1
"2020-08-01","District of Columbia",11,79,0
"2020-08-02","District of Columbia",11,69,1
"2020-08-03","District of Columbia",11,39,0
"2020-08-04","District of Columbia",11,85,1
"2020-08-05","District of Columbia",11,45,0
"2020-08-06","District of Columbia",11,75,0
"2020-08-07","District of Columbia",11,71,2
"2020-08-08","District of Columbia",11,64,1
"2020-08-09","District of Columbia",11,100,1
"2020-08-10","District of Columbia",11,54,0
"2020-08-11","District of Columbia",11,89,2
"2020-08-12","District of Columbia",11,63,0
"2020-08-13","District of Columbia",11,65,1
"2020-08-14","District of Columbia",11,94,0
"2020-08-15","District of Columbia",11,41,3
"2020-08-16","District of Columbia",11,61,0
"2020-08-17","District of Columbia",11,53,0
"2020-08-18","District of Columbia",11,52,2
"2020-08-19","District of Columbia",11,29,1
"2020-08-20","District of Columbia",11,55,1
"2020-08-21","District of Columbia",11,60,1
"2020-08-22","District of Columbia",11,65,2
"2020-08-23","District of Columbia",11,56,0
"2020-08-24","District of Columbia",11,49,0
"2020-08-25","District of Columbia",11,45,0
"2020-08-26","District of Columbia",11,38,1
"2020-08-27","District of Columbia",11,72,0
"2020-08-28","District of Columbia",11,57,0
"2020-08-29","District of Columbia",11,74,0
"2020-08-30","District of Columbia",11,34,1
"2020-08-31","District of Columbia",11,33,1
"2020-09-01","District of Columbia",11,57,0
"2020-09-02","District of Columbia",11,28,1
"2020-09-03","District of Columbia",11,58,1
"2020-09-04","District of Columbia",11,51,2
"2020-09-05","District of Columbia",11,52,0
"2020-09-06","District of Columbia",11,41,0
