"date","state","fips","cases","deaths"
"2020-03-06","Indiana",18,1,0
"2020-03-07","Indiana",18,0,0
"2020-03-08","Indiana",18,1,0
"2020-03-09","Indiana",18,2,0
"2020-03-10","Indiana",18,2,0
"2020-03-11","Indiana",18,5,0
"2020-03-12","Indiana",18,1,0
"2020-03-13","Indiana",18,0,0
"2020-03-14","Indiana",18,3,0
"2020-03-15","Indiana",18,4,0
"2020-03-16","Indiana",18,5,1
"2020-03-17","Indiana",18,6,1
"2020-03-18","Indiana",18,9,0
"2020-03-19","Indiana",18,17,0
"2020-03-20","Indiana",18,25,3
"2020-03-21","Indiana",18,47,1
"2020-03-22","Indiana",18,76,3
"2020-03-23","Indiana",18,60,3
"2020-03-24","Indiana",18,107,5
"2020-03-25","Indiana",18,113,2
"2020-03-26","Indiana",18,177,4
"2020-03-27","Indiana",18,331,9
"2020-03-28","Indiana",18,247,6
"2020-03-29","Indiana",18,283,2
"2020-03-30","Indiana",18,275,4
"2020-03-31","Indiana",18,380,17
"2020-04-01","Indiana",18,401,19
"2020-04-02","Indiana",18,478,14
"2020-04-03","Indiana",18,399,24
"2020-04-04","Indiana",18,520,18
"2020-04-05","Indiana",18,462,15
"2020-04-06","Indiana",18,549,20
"2020-04-07","Indiana",18,558,37
"2020-04-08","Indiana",18,442,38
"2020-04-09","Indiana",18,414,49
"2020-04-10","Indiana",18,560,58
"2020-04-11","Indiana",18,534,36
"2020-04-12","Indiana",18,496,16
"2020-04-13","Indiana",18,310,9
"2020-04-14","Indiana",18,298,44
"2020-04-15","Indiana",18,432,53
"2020-04-16","Indiana",18,589,43
"2020-04-17","Indiana",18,616,45
"2020-04-18","Indiana",18,495,34
"2020-04-19","Indiana",18,571,19
"2020-04-20","Indiana",18,483,14
"2020-04-21","Indiana",18,430,65
"2020-04-22","Indiana",18,361,33
"2020-04-23","Indiana",18,621,47
"2020-04-24","Indiana",18,652,40
"2020-04-25","Indiana",18,719,46
"2020-04-26","Indiana",18,620,31
"2020-04-27","Indiana",18,950,4
