"date","state","fips","cases","deaths"
"2020-03-09","Louisiana",22,1,0
"2020-03-10","Louisiana",22,5,0
"2020-03-11","Louisiana",22,7,0
"2020-03-12","Louisiana",22,1,0
"2020-03-13","Louisiana",22,22,0
"2020-03-14","Louisiana",22,41,1
"2020-03-15","Louisiana",22,26,1
"2020-03-16","Louisiana",22,34,1
"2020-03-17","Louisiana",22,59,2
"2020-03-18","Louisiana",22,84,2
"2020-03-19","Louisiana",22,112,3
"2020-03-20","Louisiana",22,145,0
"2020-03-21","Louisiana",22,226,6
"2020-03-22","Louisiana",22,74,4
"2020-03-23","Louisiana",22,335,14
"2020-03-24","Louisiana",22,216,12
"2020-03-25","Louisiana",22,407,19
"2020-03-26","Louisiana",22,510,18
"2020-03-27","Louisiana",22,441,36
"2020-03-28","Louisiana",22,569,18
"2020-03-29","Louisiana",22,224,16
"2020-03-30","Louisiana",22,485,33
"2020-03-31","Louisiana",22,1213,54
"2020-04-01","Louisiana",22,1187,35
"2020-04-02","Louisiana",22,2728,35
"2020-04-03","Louisiana",22,1147,60
"2020-04-04","Louisiana",22,2201,42
"2020-04-05","Louisiana",22,514,65
"2020-04-06","Louisiana",22,1853,35
"2020-04-07","Louisiana",22,1417,70
"2020-04-08","Louisiana",22,746,70
"2020-04-09","Louisiana",22,1253,50
"2020-04-10","Louisiana",22,970,53
"2020-04-11","Louisiana",22,761,51
"2020-04-12","Louisiana",22,581,34
"2020-04-13","Louisiana",22,421,44
"2020-04-14","Louisiana",22,502,129
"2020-04-15","Louisiana",22,433,90
"2020-04-16","Louisiana",22,581,53
"2020-04-17","Louisiana",22,586,57
"2020-04-18","Louisiana",22,462,54
"2020-04-19","Louisiana",22,348,29
"2020-04-20","Louisiana",22,595,32
"2020-04-21","Louisiana",22,331,77
"2020-04-22","Louisiana",22,463,127
"2020-04-23","Louisiana",22,481,67
"2020-04-24","Louisiana",22,401,61
"2020-04-25","Louisiana",22,372,43
"2020-04-26","Louisiana",22,261,26
"2020-04-27","Louisiana",22,279,11
"2020-04-28","Louisiana",22,218,61
"2020-04-29","Louisiana",22,374,44
"2020-04-30","Louisiana",22,341,60
"2020-05-01","Louisiana",22,710,65
"2020-05-02","Louisiana",22,429,23
"2020-05-03","Louisiana",22,200,19
"2020-05-04","Louisiana",22,363,52
"2020-05-05","Louisiana",22,323,51
"2020-05-06","Louisiana",22,403,52
"2020-05-07","Louisiana",22,253,41
"2020-05-08","Louisiana",22,203,19
"2020-05-09","Louisiana",22,562,40
"2020-05-10","Louisiana",22,183,19
"2020-05-11","Louisiana",22,208,22
"2020-05-12","Louisiana",22,235,39
"2020-05-13","Louisiana",22,612,34
"2020-05-14","Louisiana",22,827,36
"2020-05-15","Louisiana",22,348,31
"2020-05-16","Louisiana",22,280,31
"2020-05-17","Louisiana",22,315,12
"2020-05-18","Louisiana",22,334,72
"2020-05-19","Louisiana",22,329,18
"2020-05-20","Louisiana",22,278,27
"2020-05-21","Louisiana",22,1188,21
"2020-05-22","Louisiana",22,421,40
"2020-05-23","Louisiana",22,117,14
"2020-05-24","Louisiana",22,128,7
"2020-05-25","Louisiana",22,623,0
"2020-05-26","Louisiana",22,336,11
"2020-05-27","Louisiana",22,442,21
"2020-05-28","Louisiana",22,213,18
"2020-05-29","Louisiana",22,0,26
"2020-05-30","Louisiana",22,775,19
"2020-05-31","Louisiana",22,339,6
"2020-06-01","Louisiana",22,431,10
"2020-06-02","Louisiana",22,405,34
"2020-06-03","Louisiana",22,387,35
"2020-06-04","Louisiana",22,429,13
"2020-06-05","Louisiana",22,427,29
"2020-06-06","Louisiana",22,497,13
"2020-06-07","Louisiana",22,330,11
"2020-06-08","Louisiana",22,236,8
"2020-06-09","Louisiana",22,562,13
"2020-06-10","Louisiana",22,418,11
"2020-06-11","Louisiana",22,442,19
"2020-06-12","Louisiana",22,523,9
"2020-06-13","Louisiana",22,1288,8
"2020-06-14","Louisiana",22,336,10
"2020-06-15","Louisiana",22,552,4
"2020-06-16","Louisiana",22,534,24
"2020-06-17","Louisiana",22,928,20
"2020-06-18","Louisiana",22,760,7
"2020-06-19","Louisiana",22,-879,15
"2020-06-20","Louisiana",22,870,20
"2020-06-21","Louisiana",22,393,1
"2020-06-22","Louisiana",22,462,12
"2020-06-23","Louisiana",22,1356,17
"2020-06-24","Louisiana",22,882,18
"2020-06-25","Louisiana",22,938,12
"2020-06-26","Louisiana",22,1354,26
"2020-06-27","Louisiana",22,0,0
"2020-06-28","Louisiana",22,1467,9
"2020-06-29","Louisiana",22,840,0
"2020-06-30","Louisiana",22,1014,22
"2020-07-01","Louisiana",22,2083,17
"2020-07-02","Louisiana",22,1383,17
"2020-07-03","Louisiana",22,1728,23
"2020-07-04","Louisiana",22,0,0
"2020-07-05","Louisiana",22,1937,10
"2020-07-06","Louisiana",22,1101,8
