"date","state","fips","cases","deaths"
"2020-03-11","Mississippi",28,1,0
"2020-03-12","Mississippi",28,0,0
"2020-03-13","Mississippi",28,5,0
"2020-03-14","Mississippi",28,0,0
"2020-03-15","Mississippi",28,4,0
"2020-03-16","Mississippi",28,2,0
"2020-03-17","Mississippi",28,9,0
"2020-03-18","Mississippi",28,13,0
"2020-03-19","Mississippi",28,16,1
"2020-03-20","Mississippi",28,30,0
"2020-03-21","Mississippi",28,60,0
"2020-03-22","Mississippi",28,67,0
"2020-03-23","Mississippi",28,42,0
"2020-03-24","Mississippi",28,71,0
"2020-03-25","Mississippi",28,56,4
"2020-03-26","Mississippi",28,110,1
"2020-03-27","Mississippi",28,93,2
"2020-03-28","Mississippi",28,90,5
"2020-03-29","Mississippi",28,90,1
"2020-03-30","Mississippi",28,89,2
"2020-03-31","Mississippi",28,89,4
"2020-04-01","Mississippi",28,136,2
"2020-04-02","Mississippi",28,104,4
"2020-04-03","Mississippi",28,181,3
"2020-04-04","Mississippi",28,97,6
"2020-04-05","Mississippi",28,183,8
"2020-04-06","Mississippi",28,100,8
"2020-04-07","Mississippi",28,177,8
"2020-04-08","Mississippi",28,88,8
"2020-04-09","Mississippi",28,257,9
"2020-04-10","Mississippi",28,209,6
"2020-04-11","Mississippi",28,173,11
"2020-04-12","Mississippi",28,139,3
"2020-04-13","Mississippi",28,161,2
"2020-04-14","Mississippi",28,145,13
"2020-04-15","Mississippi",28,273,11
"2020-04-16","Mississippi",28,264,7
"2020-04-17","Mississippi",28,169,11
"2020-04-18","Mississippi",28,181,12
"2020-04-19","Mississippi",28,300,7
"2020-04-20","Mississippi",28,238,10
"2020-04-21","Mississippi",28,204,14
"2020-04-22","Mississippi",28,178,10
"2020-04-23","Mississippi",28,259,8
"2020-04-24","Mississippi",28,281,8
"2020-04-25","Mississippi",28,284,12
"2020-04-26","Mississippi",28,193,6
"2020-04-27","Mississippi",28,183,2
"2020-04-28","Mississippi",28,248,10
"2020-04-29","Mississippi",28,227,11
"2020-04-30","Mississippi",28,246,11
"2020-05-01","Mississippi",28,397,20
"2020-05-02","Mississippi",28,229,10
"2020-05-03","Mississippi",28,109,12
"2020-05-04","Mississippi",28,327,7
"2020-05-05","Mississippi",28,330,32
"2020-05-06","Mississippi",28,217,32
"2020-05-07","Mississippi",28,262,22
"2020-05-08","Mississippi",28,404,13
"2020-05-09","Mississippi",28,288,12
"2020-05-10","Mississippi",28,123,9
"2020-05-11","Mississippi",28,173,5
"2020-05-12","Mississippi",28,234,22
"2020-05-13","Mississippi",28,182,8
"2020-05-14","Mississippi",28,393,15
"2020-05-15","Mississippi",28,318,13
"2020-05-16","Mississippi",28,322,17
"2020-05-17","Mississippi",28,173,11
"2020-05-18","Mississippi",28,136,7
"2020-05-19","Mississippi",28,272,26
"2020-05-20","Mississippi",28,263,16
"2020-05-21","Mississippi",28,255,10
"2020-05-22","Mississippi",28,402,16
"2020-05-23","Mississippi",28,381,20
"2020-05-24","Mississippi",28,247,9
"2020-05-25","Mississippi",28,206,10
"2020-05-26","Mississippi",28,273,17
"2020-05-27","Mississippi",28,313,18
"2020-05-28","Mississippi",28,328,23
"2020-05-29","Mississippi",28,418,17
"2020-05-30","Mississippi",28,439,13
"2020-05-31","Mississippi",28,272,11
"2020-06-01","Mississippi",28,251,5
"2020-06-02","Mississippi",28,268,28
"2020-06-03","Mississippi",28,302,15
"2020-06-04","Mississippi",28,238,12
"2020-06-05","Mississippi",28,209,9
"2020-06-06","Mississippi",28,265,8
"2020-06-07","Mississippi",28,236,6
"2020-06-08","Mississippi",28,498,20
"2020-06-09","Mississippi",28,341,10
"2020-06-10","Mississippi",28,374,21
"2020-06-11","Mississippi",28,0,0
"2020-06-12","Mississippi",28,608,13
"2020-06-13","Mississippi",28,257,8
"2020-06-14","Mississippi",28,168,2
"2020-06-15","Mississippi",28,283,4
"2020-06-16","Mississippi",28,353,20
"2020-06-17","Mississippi",28,489,23
"2020-06-18","Mississippi",28,381,5
"2020-06-19","Mississippi",28,0,0
"2020-06-20","Mississippi",28,0,0
"2020-06-21","Mississippi",28,0,0
"2020-06-22","Mississippi",28,1265,35
"2020-06-23","Mississippi",28,611,11
"2020-06-24","Mississippi",28,526,22
"2020-06-25","Mississippi",28,1092,5
"2020-06-26","Mississippi",28,550,6
"2020-06-27","Mississippi",28,465,13
"2020-06-28","Mississippi",28,368,4
"2020-06-29","Mississippi",28,669,20
