"date","state","fips","cases","deaths"
"2020-03-05","Nevada",32,2,0
"2020-03-06","Nevada",32,0,0
"2020-03-07","Nevada",32,0,0
"2020-03-08","Nevada",32,2,0
"2020-03-09","Nevada",32,0,0
"2020-03-10","Nevada",32,0,0
"2020-03-11","Nevada",32,3,0
"2020-03-12","Nevada",32,4,0
"2020-03-13","Nevada",32,8,0
"2020-03-14","Nevada",32,2,0
"2020-03-15","Nevada",32,5,0
"2020-03-16","Nevada",32,19,1
"2020-03-17","Nevada",32,10,0
"2020-03-18","Nevada",32,27,0
"2020-03-19","Nevada",32,17,0
"2020-03-20","Nevada",32,66,1
"2020-03-21","Nevada",32,0,0
"2020-03-22","Nevada",32,25,0
"2020-03-23","Nevada",32,75,2
"2020-03-24","Nevada",32,50,2
"2020-03-25","Nevada",32,90,4
"2020-03-26","Nevada",32,130,0
"2020-03-27","Nevada",32,86,0
"2020-03-28","Nevada",32,117,4
"2020-03-29","Nevada",32,182,1
"2020-03-30","Nevada",32,124,3
"2020-03-31","Nevada",32,69,8
"2020-04-01","Nevada",32,166,6
"2020-04-02","Nevada",32,179,6
"2020-04-03","Nevada",32,91,5
"2020-04-04","Nevada",32,209,3
"2020-04-05","Nevada",32,122,0
"2020-04-06","Nevada",32,91,12
"2020-04-07","Nevada",32,130,2
"2020-04-08","Nevada",32,217,20
"2020-04-09","Nevada",32,138,2
"2020-04-10","Nevada",32,150,4
"2020-04-11","Nevada",32,114,25
"2020-04-12","Nevada",32,140,2
"2020-04-13","Nevada",32,176,1
"2020-04-14","Nevada",32,101,16
"2020-04-15","Nevada",32,75,7
"2020-04-16","Nevada",32,109,5
"2020-04-17","Nevada",32,203,9
"2020-04-18","Nevada",32,102,4
"2020-04-19","Nevada",32,84,3
"2020-04-20","Nevada",32,120,5
"2020-04-21","Nevada",32,107,0
"2020-04-22","Nevada",32,144,24
"2020-04-23","Nevada",32,127,8
"2020-04-24","Nevada",32,190,8
"2020-04-25","Nevada",32,141,3
"2020-04-26","Nevada",32,99,0
"2020-04-27","Nevada",32,70,13
"2020-04-28","Nevada",32,104,6
"2020-04-29","Nevada",32,122,12
"2020-04-30","Nevada",32,119,6
"2020-05-01","Nevada",32,196,11
"2020-05-02","Nevada",32,141,3
"2020-05-03","Nevada",32,83,5
"2020-05-04","Nevada",32,154,4
"2020-05-05","Nevada",32,38,10
"2020-05-06","Nevada",32,79,10
"2020-05-07","Nevada",32,114,7
"2020-05-08","Nevada",32,84,8
"2020-05-09","Nevada",32,104,5
"2020-05-10","Nevada",32,74,0
"2020-05-11","Nevada",32,32,6
"2020-05-12","Nevada",32,159,9
"2020-05-13","Nevada",32,171,10
"2020-05-14","Nevada",32,122,8
"2020-05-15","Nevada",32,129,6
"2020-05-16","Nevada",32,77,4
"2020-05-17","Nevada",32,125,1
"2020-05-18","Nevada",32,124,14
"2020-05-19","Nevada",32,110,9
"2020-05-20","Nevada",32,132,5
"2020-05-21","Nevada",32,103,3
"2020-05-22","Nevada",32,127,6
"2020-05-23","Nevada",32,238,5
"2020-05-24","Nevada",32,117,2
"2020-05-25","Nevada",32,73,2
"2020-05-26","Nevada",32,100,0
"2020-05-27","Nevada",32,91,6
"2020-05-28","Nevada",32,97,8
"2020-05-29","Nevada",32,128,5
"2020-05-30","Nevada",32,144,2
"2020-05-31","Nevada",32,109,2
"2020-06-01","Nevada",32,73,1
"2020-06-02","Nevada",32,157,0
"2020-06-03","Nevada",32,92,9
"2020-06-04","Nevada",32,168,0
"2020-06-05","Nevada",32,188,7
"2020-06-06","Nevada",32,188,1
"2020-06-07","Nevada",32,179,1
"2020-06-08","Nevada",32,142,4
"2020-06-09","Nevada",32,231,3
"2020-06-10","Nevada",32,170,4
"2020-06-11","Nevada",32,248,11
"2020-06-12","Nevada",32,240,2
"2020-06-13","Nevada",32,288,1
"2020-06-14","Nevada",32,207,1
"2020-06-15","Nevada",32,117,2
"2020-06-16","Nevada",32,357,1
"2020-06-17","Nevada",32,179,6
"2020-06-18","Nevada",32,312,2
"2020-06-19","Nevada",32,361,4
"2020-06-20","Nevada",32,452,7
"2020-06-21","Nevada",32,259,1
"2020-06-22","Nevada",32,339,3
"2020-06-23","Nevada",32,483,2
"2020-06-24","Nevada",32,402,2
"2020-06-25","Nevada",32,451,1
"2020-06-26","Nevada",32,448,3
"2020-06-27","Nevada",32,1041,2
"2020-06-28","Nevada",32,787,0
"2020-06-29","Nevada",32,784,5
"2020-06-30","Nevada",32,611,2
"2020-07-01","Nevada",32,569,5
"2020-07-02","Nevada",32,720,13
"2020-07-03","Nevada",32,1007,5
"2020-07-04","Nevada",32,793,0
"2020-07-05","Nevada",32,847,7
"2020-07-06","Nevada",32,412,0
"2020-07-07","Nevada",32,918,12
"2020-07-08","Nevada",32,530,7
"2020-07-09","Nevada",32,677,18
"2020-07-10","Nevada",32,906,7
"2020-07-11","Nevada",32,951,11
"2020-07-12","Nevada",32,833,1
