"date","state","fips","cases","deaths"
"2020-03-02","New Hampshire",33,1,0
"2020-03-03","New Hampshire",33,1,0
"2020-03-04","New Hampshire",33,0,0
"2020-03-05","New Hampshire",33,0,0
"2020-03-06","New Hampshire",33,0,0
"2020-03-07","New Hampshire",33,2,0
"2020-03-08","New Hampshire",33,0,0
"2020-03-09","New Hampshire",33,0,0
"2020-03-10","New Hampshire",33,1,0
"2020-03-11","New Hampshire",33,0,0
"2020-03-12","New Hampshire",33,1,0
"2020-03-13","New Hampshire",33,1,0
"2020-03-14","New Hampshire",33,0,0
"2020-03-15","New Hampshire",33,6,0
"2020-03-16","New Hampshire",33,4,0
"2020-03-17","New Hampshire",33,9,0
"2020-03-18","New Hampshire",33,13,0
"2020-03-19","New Hampshire",33,5,0
"2020-03-20","New Hampshire",33,11,0
"2020-03-21","New Hampshire",33,10,0
"2020-03-22","New Hampshire",33,13,0
"2020-03-23","New Hampshire",33,23,1
"2020-03-24","New Hampshire",33,7,0
"2020-03-25","New Hampshire",33,29,0
"2020-03-26","New Hampshire",33,21,0
"2020-03-27","New Hampshire",33,29,1
"2020-03-28","New Hampshire",33,27,0
"2020-03-29","New Hampshire",33,44,1
"2020-03-30","New Hampshire",33,56,0
"2020-03-31","New Hampshire",33,53,0
"2020-04-01","New Hampshire",33,48,1
"2020-04-02","New Hampshire",33,64,1
"2020-04-03","New Hampshire",33,61,2
"2020-04-04","New Hampshire",33,81,2
"2020-04-05","New Hampshire",33,48,0
"2020-04-06","New Hampshire",33,46,0
"2020-04-07","New Hampshire",33,32,4
"2020-04-08","New Hampshire",33,41,5
"2020-04-09","New Hampshire",33,31,3
"2020-04-10","New Hampshire",33,66,1
"2020-04-11","New Hampshire",33,44,1
"2020-04-12","New Hampshire",33,56,0
"2020-04-13","New Hampshire",33,35,0
"2020-04-14","New Hampshire",33,71,4
"2020-04-15","New Hampshire",33,48,5
"2020-04-16","New Hampshire",33,72,2
"2020-04-17","New Hampshire",33,76,3
"2020-04-18","New Hampshire",33,55,1
"2020-04-19","New Hampshire",33,50,3
"2020-04-20","New Hampshire",33,55,1
"2020-04-21","New Hampshire",33,44,0
"2020-04-22","New Hampshire",33,97,6
"2020-04-23","New Hampshire",33,82,3
"2020-04-24","New Hampshire",33,50,2
"2020-04-25","New Hampshire",33,73,7
"2020-04-26","New Hampshire",33,71,0
"2020-04-27","New Hampshire",33,74,0
"2020-04-28","New Hampshire",33,72,0
"2020-04-29","New Hampshire",33,44,6
