"date","state","fips","cases","deaths"
"2020-03-01","New York",36,1,0
"2020-03-02","New York",36,0,0
"2020-03-03","New York",36,1,0
"2020-03-04","New York",36,9,0
"2020-03-05","New York",36,11,0
"2020-03-06","New York",36,22,0
"2020-03-07","New York",36,45,0
"2020-03-08","New York",36,17,0
"2020-03-09","New York",36,36,0
"2020-03-10","New York",36,31,0
"2020-03-11","New York",36,44,0
"2020-03-12","New York",36,109,0
"2020-03-13","New York",36,95,0
"2020-03-14","New York",36,189,2
"2020-03-15","New York",36,122,4
"2020-03-16","New York",36,218,4
"2020-03-17","New York",36,425,8
"2020-03-18","New York",36,1012,14
"2020-03-19","New York",36,1774,7
"2020-03-20","New York",36,2952,29
"2020-03-21","New York",36,3258,27
"2020-03-22","New York",36,4817,47
"2020-03-23","New York",36,5711,41
"2020-03-24","New York",36,4805,81
"2020-03-25","New York",36,7413,117
"2020-03-26","New York",36,5941,121
"2020-03-27","New York",36,5688,143
"2020-03-28","New York",36,8771,290
"2020-03-29","New York",36,6266,245
"2020-03-30","New York",36,7721,332
"2020-03-31","New York",36,8707,417
"2020-04-01","New York",36,8153,486
"2020-04-02","New York",36,8996,548
"2020-04-03","New York",36,10329,753
"2020-04-04","New York",36,12274,819
"2020-04-05","New York",36,8122,800
"2020-04-06","New York",36,9304,814
"2020-04-07","New York",36,8314,1036
"2020-04-08","New York",36,9568,953
"2020-04-09","New York",36,10765,1028
"2020-04-10","New York",36,10794,996
"2020-04-11","New York",36,10160,997
"2020-04-12","New York",36,8435,957
"2020-04-13","New York",36,6548,882
"2020-04-14","New York",36,7402,1003
"2020-04-15","New York",36,11755,936
"2020-04-16","New York",36,8631,732
"2020-04-17","New York",36,7532,804
"2020-04-18","New York",36,7249,668
"2020-04-19","New York",36,6199,652
"2020-04-20","New York",36,4867,619
"2020-04-21","New York",36,4324,628
"2020-04-22","New York",36,5659,607
"2020-04-23","New York",36,6341,565
"2020-04-24","New York",36,8286,547
"2020-04-25","New York",36,10683,567
"2020-04-26","New York",36,6013,478
"2020-04-27","New York",36,4077,463
"2020-04-28","New York",36,3285,510
"2020-04-29","New York",36,4718,510
"2020-04-30","New York",36,4702,329
"2020-05-01","New York",36,3879,225
"2020-05-02","New York",36,4559,194
"2020-05-03","New York",36,3699,541
"2020-05-04","New York",36,2524,212
"2020-05-05","New York",36,2302,240
"2020-05-06","New York",36,2746,928
"2020-05-07","New York",36,3526,250
"2020-05-08","New York",36,2873,152
"2020-05-09","New York",36,2715,226
"2020-05-10","New York",36,2138,214
"2020-05-11","New York",36,1610,205
"2020-05-12","New York",36,1438,279
"2020-05-13","New York",36,2123,166
"2020-05-14","New York",36,2364,169
"2020-05-15","New York",36,2759,138
"2020-05-16","New York",36,2185,198
"2020-05-17","New York",36,1901,215
"2020-05-18","New York",36,1241,134
"2020-05-19","New York",36,1479,135
"2020-05-20","New York",36,1478,103
"2020-05-21","New York",36,2078,123
"2020-05-22","New York",36,1678,139
"2020-05-23","New York",36,1754,98
"2020-05-24","New York",36,1601,146
"2020-05-25","New York",36,1279,92
"2020-05-26","New York",36,1044,103
"2020-05-27","New York",36,1132,98
"2020-05-28","New York",36,1758,99
"2020-05-29","New York",36,1549,97
"2020-05-30","New York",36,1363,77
"2020-05-31","New York",36,1104,87
"2020-06-01","New York",36,945,67
"2020-06-02","New York",36,1361,81
"2020-06-03","New York",36,1043,71
"2020-06-04","New York",36,1053,93
"2020-06-05","New York",36,1042,55
"2020-06-06","New York",36,1083,57
"2020-06-07","New York",36,777,60
"2020-06-08","New York",36,712,56
"2020-06-09","New York",36,690,70
"2020-06-10","New York",36,664,67
"2020-06-11","New York",36,724,55
"2020-06-12","New York",36,821,80
"2020-06-13","New York",36,912,54
"2020-06-14","New York",36,694,40
"2020-06-15","New York",36,623,40
"2020-06-16","New York",36,630,38
"2020-06-17","New York",36,561,39
"2020-06-18","New York",36,626,45
"2020-06-19","New York",36,794,49
"2020-06-20","New York",36,707,23
"2020-06-21","New York",36,665,45
"2020-06-22","New York",36,555,50
"2020-06-23","New York",36,598,36
"2020-06-24","New York",36,575,31
"2020-06-25","New York",36,738,28
"2020-06-26","New York",36,804,46
"2020-06-27","New York",36,697,30
"2020-06-28","New York",36,624,32
"2020-06-29","New York",36,391,6
"2020-06-30","New York",36,458,633
"2020-07-01","New York",36,628,15
"2020-07-02","New York",36,872,23
"2020-07-03","New York",36,919,22
"2020-07-04","New York",36,725,24
"2020-07-05","New York",36,536,35
"2020-07-06","New York",36,516,16
"2020-07-07","New York",36,590,23
"2020-07-08","New York",36,691,11
"2020-07-09","New York",36,588,34
"2020-07-10","New York",36,790,25
"2020-07-11","New York",36,727,15
"2020-07-12","New York",36,679,10
"2020-07-13","New York",36,559,46
"2020-07-14","New York",36,913,17
"2020-07-15","New York",36,834,23
"2020-07-16","New York",36,767,18
"2020-07-17","New York",36,778,14
"2020-07-18","New York",36,752,20
"2020-07-19","New York",36,509,20
"2020-07-20","New York",36,519,16
"2020-07-21","New York",36,855,15
"2020-07-22","New York",36,706,10
"2020-07-23","New York",36,810,42
"2020-07-24","New York",36,758,8
"2020-07-25","New York",36,748,17
"2020-07-26","New York",36,532,10
"2020-07-27","New York",36,613,17
"2020-07-28","New York",36,535,11
"2020-07-29","New York",36,711,9
"2020-07-30","New York",36,779,20
"2020-07-31","New York",36,642,10
"2020-08-01","New York",36,754,18
"2020-08-02","New York",36,531,11
"2020-08-03","New York",36,542,12
"2020-08-04","New York",36,746,9
"2020-08-05","New York",36,639,9
"2020-08-06","New York",36,694,-102
"2020-08-07","New York",36,720,7
"2020-08-08","New York",36,706,9
"2020-08-09","New York",36,513,9
"2020-08-10","New York",36,478,7
"2020-08-11","New York",36,667,11
"2020-08-12","New York",36,706,12
"2020-08-13","New York",36,736,15
"2020-08-14","New York",36,724,8
"2020-08-15","New York",36,738,7
"2020-08-16","New York",36,609,10
"2020-08-17","New York",36,410,11
"2020-08-18","New York",36,662,11
"2020-08-19","New York",36,626,5
"2020-08-20","New York",36,599,0
"2020-08-21","New York",36,707,5
"2020-08-22","New York",36,651,8
"2020-08-23","New York",36,581,18
"2020-08-24","New York",36,404,7
"2020-08-25","New York",36,629,6
"2020-08-26","New York",36,568,4
"2020-08-27","New York",36,789,8
"2020-08-28","New York",36,635,8
"2020-08-29","New York",36,635,7
"2020-08-30","New York",36,709,12
"2020-08-31","New York",36,649,7
"2020-09-01","New York",36,757,10
"2020-09-02","New York",36,710,8
"2020-09-03","New York",36,888,8
"2020-09-04","New York",36,863,6
"2020-09-05","New York",36,799,6
"2020-09-06","New York",36,729,6
"2020-09-07","New York",36,525,15
"2020-09-08","New York",36,557,12
"2020-09-09","New York",36,573,-1
"2020-09-10","New York",36,756,7
"2020-09-11","New York",36,861,1
"2020-09-12","New York",36,849,6
"2020-09-13","New York",36,725,4
"2020-09-14","New York",36,586,10
"2020-09-15","New York",36,767,16
"2020-09-16","New York",36,653,7
"2020-09-17","New York",36,893,7
"2020-09-18","New York",36,793,13
"2020-09-19","New York",36,983,-3
"2020-09-20","New York",36,865,7
"2020-09-21","New York",36,575,5
"2020-09-22","New York",36,751,-1
"2020-09-23","New York",36,666,1
"2020-09-24","New York",36,953,5
"2020-09-25","New York",36,909,12
"2020-09-26","New York",36,1006,5
"2020-09-27","New York",36,868,9
