"date","state","fips","cases","deaths"
"2020-03-09","Ohio",39,3,0
"2020-03-10","Ohio",39,0,0
"2020-03-11","Ohio",39,1,0
"2020-03-12","Ohio",39,1,0
"2020-03-13","Ohio",39,8,0
"2020-03-14","Ohio",39,13,0
"2020-03-15","Ohio",39,11,0
"2020-03-16","Ohio",39,13,0
"2020-03-17","Ohio",39,17,0
"2020-03-18","Ohio",39,23,0
"2020-03-19","Ohio",39,30,0
"2020-03-20","Ohio",39,49,1
"2020-03-21","Ohio",39,78,2
"2020-03-22","Ohio",39,104,0
"2020-03-23","Ohio",39,93,3
"2020-03-24","Ohio",39,120,2
"2020-03-25","Ohio",39,143,3
"2020-03-26","Ohio",39,160,4
"2020-03-27","Ohio",39,277,7
"2020-03-28","Ohio",39,262,3
"2020-03-29","Ohio",39,259,5
"2020-03-30","Ohio",39,268,10
"2020-03-31","Ohio",39,266,15
"2020-04-01","Ohio",39,349,10
"2020-04-02","Ohio",39,355,16
"2020-04-03","Ohio",39,409,10
"2020-04-04","Ohio",39,427,11
"2020-04-05","Ohio",39,304,17
"2020-04-06","Ohio",39,407,23
"2020-04-07","Ohio",39,333,25
"2020-04-08","Ohio",39,366,26
"2020-04-09","Ohio",39,364,20
"2020-04-10","Ohio",39,366,18
"2020-04-11","Ohio",39,372,16
"2020-04-12","Ohio",39,354,6
"2020-04-13","Ohio",39,370,21
"2020-04-14","Ohio",39,305,50
"2020-04-15","Ohio",39,511,37
"2020-04-16","Ohio",39,623,28
"2020-04-17","Ohio",39,693,29
"2020-04-18","Ohio",39,1115,33
"2020-04-19","Ohio",39,1380,20
"2020-04-20","Ohio",39,1317,38
"2020-04-21","Ohio",39,806,48
"2020-04-22","Ohio",39,392,53
"2020-04-23","Ohio",39,577,46
"2020-04-24","Ohio",39,475,34
"2020-04-25","Ohio",39,418,21
"2020-04-26","Ohio",39,376,17
"2020-04-27","Ohio",39,362,25
"2020-04-28","Ohio",39,444,46
"2020-04-29","Ohio",39,534,138
"2020-04-30","Ohio",39,724,38
"2020-05-01","Ohio",39,716,27
"2020-05-02","Ohio",39,592,19
"2020-05-03","Ohio",39,579,17
"2020-05-04","Ohio",39,560,18
"2020-05-05","Ohio",39,495,79
"2020-05-06","Ohio",39,607,90
"2020-05-07","Ohio",39,555,46
"2020-05-08","Ohio",39,887,35
"2020-05-09","Ohio",39,679,25
"2020-05-10","Ohio",39,389,10
"2020-05-11","Ohio",39,699,16
"2020-05-12","Ohio",39,472,79
"2020-05-13","Ohio",39,470,47
"2020-05-14","Ohio",39,636,51
"2020-05-15","Ohio",39,593,47
"2020-05-16","Ohio",39,520,29
"2020-05-17","Ohio",39,449,15
"2020-05-18","Ohio",39,530,32
"2020-05-19","Ohio",39,498,63
"2020-05-20","Ohio",39,484,61
"2020-05-21","Ohio",39,731,55
"2020-05-22","Ohio",39,627,36
"2020-05-23","Ohio",39,613,84
"2020-05-24","Ohio",39,503,13
"2020-05-25","Ohio",39,566,18
"2020-05-26","Ohio",39,529,15
"2020-05-27","Ohio",39,433,42
"2020-05-28","Ohio",39,476,54
"2020-05-29","Ohio",39,651,33
"2020-05-30","Ohio",39,468,18
"2020-05-31","Ohio",39,479,6
"2020-06-01","Ohio",39,471,51
"2020-06-02","Ohio",39,366,52
"2020-06-03","Ohio",39,442,41
"2020-06-04","Ohio",39,490,40
"2020-06-05","Ohio",39,476,16
"2020-06-06","Ohio",39,353,15
"2020-06-07","Ohio",39,365,7
"2020-06-08","Ohio",39,361,27
"2020-06-09","Ohio",39,325,17
"2020-06-10","Ohio",39,413,36
"2020-06-11","Ohio",39,429,33
"2020-06-12","Ohio",39,420,18
"2020-06-13","Ohio",39,424,46
"2020-06-14","Ohio",39,300,3
"2020-06-15","Ohio",39,428,16
"2020-06-16","Ohio",39,434,24
"2020-06-17","Ohio",39,412,14
"2020-06-18","Ohio",39,700,22
"2020-06-19","Ohio",39,609,34
"2020-06-20","Ohio",39,531,30
"2020-06-21","Ohio",39,546,3
"2020-06-22","Ohio",39,729,4
"2020-06-23","Ohio",39,590,31
"2020-06-24","Ohio",39,632,20
"2020-06-25","Ohio",39,892,17
"2020-06-26","Ohio",39,987,16
"2020-06-27","Ohio",39,817,16
"2020-06-28","Ohio",39,854,3
"2020-06-29","Ohio",39,737,11
"2020-06-30","Ohio",39,743,45
"2020-07-01","Ohio",39,1076,13
"2020-07-02","Ohio",39,1301,27
"2020-07-03","Ohio",39,1091,0
"2020-07-04","Ohio",39,926,4
"2020-07-05","Ohio",39,968,4
"2020-07-06","Ohio",39,805,16
"2020-07-07","Ohio",39,948,43
"2020-07-08","Ohio",39,1277,21
"2020-07-09","Ohio",39,1150,15
"2020-07-10","Ohio",39,1525,26
"2020-07-11","Ohio",39,1358,4
"2020-07-12","Ohio",39,1378,22
"2020-07-13","Ohio",39,1261,6
"2020-07-14","Ohio",39,1142,5
"2020-07-15","Ohio",39,1316,6
"2020-07-16","Ohio",39,1290,28
"2020-07-17","Ohio",39,1679,9
"2020-07-18","Ohio",39,1542,20
"2020-07-19","Ohio",39,1110,42
"2020-07-20","Ohio",39,1236,15
"2020-07-21","Ohio",39,1047,30
"2020-07-22","Ohio",39,1527,16
"2020-07-23","Ohio",39,1444,21
"2020-07-24","Ohio",39,1560,41
"2020-07-25","Ohio",39,1438,0
"2020-07-26","Ohio",39,889,10
"2020-07-27","Ohio",39,1104,37
"2020-07-28","Ohio",39,1320,38
"2020-07-29","Ohio",39,1396,40
"2020-07-30","Ohio",39,1733,20
"2020-07-31","Ohio",39,1533,47
"2020-08-01","Ohio",39,928,26
"2020-08-02","Ohio",39,944,14
"2020-08-03","Ohio",39,932,10
"2020-08-04","Ohio",39,1143,31
"2020-08-05","Ohio",39,1199,26
"2020-08-06","Ohio",39,1166,22
"2020-08-07","Ohio",39,1204,34
"2020-08-08","Ohio",39,1294,16
"2020-08-09","Ohio",39,879,1
"2020-08-10","Ohio",39,883,4
"2020-08-11","Ohio",39,1095,35
"2020-08-12","Ohio",39,1422,26
"2020-08-13","Ohio",39,1178,21
"2020-08-14","Ohio",39,1131,29
"2020-08-15","Ohio",39,1117,40
"2020-08-16","Ohio",39,613,2
"2020-08-17","Ohio",39,775,6
"2020-08-18","Ohio",39,861,39
"2020-08-19","Ohio",39,958,36
"2020-08-20","Ohio",39,1122,22
"2020-08-21","Ohio",39,1043,26
"2020-08-22","Ohio",39,1119,20
"2020-08-23","Ohio",39,637,3
"2020-08-24","Ohio",39,849,8
"2020-08-25","Ohio",39,844,10
"2020-08-26","Ohio",39,1089,48
"2020-08-27","Ohio",39,1244,32
"2020-08-28","Ohio",39,1296,29
"2020-08-29","Ohio",39,1216,21
"2020-08-30","Ohio",39,922,2
"2020-08-31","Ohio",39,895,10
"2020-09-01","Ohio",39,1453,27
"2020-09-02","Ohio",39,1157,11
"2020-09-03","Ohio",39,1345,50
"2020-09-04","Ohio",39,1332,22
"2020-09-05","Ohio",39,1341,8
"2020-09-06","Ohio",39,773,3
"2020-09-07","Ohio",39,778,17
"2020-09-08","Ohio",39,656,22
"2020-09-09","Ohio",39,973,26
"2020-09-10","Ohio",39,1121,30
"2020-09-11","Ohio",39,1240,49
"2020-09-12","Ohio",39,1242,8
"2020-09-13","Ohio",39,837,4
"2020-09-14","Ohio",39,1079,4
"2020-09-15","Ohio",39,1001,87
"2020-09-16","Ohio",39,1033,49
"2020-09-17","Ohio",39,1067,25
"2020-09-18","Ohio",39,1011,28
"2020-09-19","Ohio",39,951,4
"2020-09-20","Ohio",39,762,3
"2020-09-21","Ohio",39,856,8
"2020-09-22","Ohio",39,685,12
"2020-09-23","Ohio",39,903,52
"2020-09-24","Ohio",39,991,28
"2020-09-25","Ohio",39,1150,19
"2020-09-26","Ohio",39,1115,6
"2020-09-27","Ohio",39,800,1
"2020-09-28","Ohio",39,993,5
"2020-09-29","Ohio",39,1105,37
"2020-09-30","Ohio",39,1080,21
"2020-10-01","Ohio",39,1327,13
"2020-10-02","Ohio",39,1495,88
"2020-10-03","Ohio",39,1157,20
"2020-10-04","Ohio",39,941,0
"2020-10-05","Ohio",39,1057,6
"2020-10-06","Ohio",39,1335,16
"2020-10-07","Ohio",39,1424,23
"2020-10-08","Ohio",39,1539,13
"2020-10-09","Ohio",39,1840,11
"2020-10-10","Ohio",39,1356,3
"2020-10-11","Ohio",39,1291,2
"2020-10-12","Ohio",39,1430,6
"2020-10-13","Ohio",39,1447,12
"2020-10-14","Ohio",39,2039,16
"2020-10-15","Ohio",39,2178,5
"2020-10-16","Ohio",39,2148,16
"2020-10-17","Ohio",39,2234,13
"2020-10-18","Ohio",39,1562,0
"2020-10-19","Ohio",39,1837,8
"2020-10-20","Ohio",39,2015,8
"2020-10-21","Ohio",39,2366,66
"2020-10-22","Ohio",39,2425,12
"2020-10-23","Ohio",39,2518,23
"2020-10-24","Ohio",39,2858,22
"2020-10-25","Ohio",39,2309,0
"2020-10-26","Ohio",39,2116,11
"2020-10-27","Ohio",39,2509,22
"2020-10-28","Ohio",39,2607,17
"2020-10-29","Ohio",39,3590,19
"2020-10-30","Ohio",39,3845,16
"2020-10-31","Ohio",39,2915,10
"2020-11-01","Ohio",39,3303,2
"2020-11-02","Ohio",39,2909,37
