"date","state","fips","cases","deaths"
"2020-03-05","Tennessee",47,1,0
"2020-03-06","Tennessee",47,0,0
"2020-03-07","Tennessee",47,0,0
"2020-03-08","Tennessee",47,2,0
"2020-03-09","Tennessee",47,1,0
"2020-03-10","Tennessee",47,3,0
"2020-03-11","Tennessee",47,1,0
"2020-03-12","Tennessee",47,10,0
"2020-03-13","Tennessee",47,8,0
"2020-03-14","Tennessee",47,6,0
"2020-03-15","Tennessee",47,7,0
"2020-03-16","Tennessee",47,13,0
"2020-03-17","Tennessee",47,21,0
"2020-03-18","Tennessee",47,25,0
"2020-03-19","Tennessee",47,57,0
"2020-03-20","Tennessee",47,82,0
"2020-03-21","Tennessee",47,75,2
"2020-03-22","Tennessee",47,112,0
"2020-03-23","Tennessee",47,98,0
"2020-03-24","Tennessee",47,156,0
"2020-03-25","Tennessee",47,128,1
"2020-03-26","Tennessee",47,175,0
"2020-03-27","Tennessee",47,199,3
"2020-03-28","Tennessee",47,183,0
"2020-03-29","Tennessee",47,206,1
"2020-03-30","Tennessee",47,152,6
"2020-03-31","Tennessee",47,328,0
"2020-04-01","Tennessee",47,640,10
"2020-04-02","Tennessee",47,179,9
"2020-04-03","Tennessee",47,164,6
"2020-04-04","Tennessee",47,233,9
"2020-04-05","Tennessee",47,273,3
"2020-04-06","Tennessee",47,215,15
"2020-04-07","Tennessee",47,257,7
"2020-04-08","Tennessee",47,236,11
"2020-04-09","Tennessee",47,210,12
"2020-04-10","Tennessee",47,337,9
"2020-04-11","Tennessee",47,190,3
"2020-04-12","Tennessee",47,161,0
"2020-04-13","Tennessee",47,339,7
"2020-04-14","Tennessee",47,171,9
"2020-04-15","Tennessee",47,210,12
"2020-04-16","Tennessee",47,213,7
"2020-04-17","Tennessee",47,346,4
"2020-04-18","Tennessee",47,201,2
"2020-04-19","Tennessee",47,200,3
"2020-04-20","Tennessee",47,170,5
"2020-04-21","Tennessee",47,323,3
"2020-04-22","Tennessee",47,364,10
"2020-04-23","Tennessee",47,488,3
"2020-04-24","Tennessee",47,449,0
"2020-04-25","Tennessee",47,300,7
"2020-04-26","Tennessee",47,517,3
"2020-04-27","Tennessee",47,304,2
"2020-04-28","Tennessee",47,235,6
"2020-04-29","Tennessee",47,281,6
"2020-04-30","Tennessee",47,251,4
"2020-05-01","Tennessee",47,1275,5
"2020-05-02","Tennessee",47,595,5
"2020-05-03","Tennessee",47,495,1
"2020-05-04","Tennessee",47,412,5
"2020-05-05","Tennessee",47,272,9
"2020-05-06","Tennessee",47,182,12
"2020-05-07","Tennessee",47,371,1
"2020-05-08","Tennessee",47,168,2
"2020-05-09","Tennessee",47,399,1
"2020-05-10","Tennessee",47,385,1
"2020-05-11","Tennessee",47,363,6
"2020-05-12","Tennessee",47,354,16
"2020-05-13","Tennessee",47,484,7
"2020-05-14","Tennessee",47,327,13
"2020-05-15","Tennessee",47,329,4
"2020-05-16","Tennessee",47,287,4
"2020-05-17","Tennessee",47,187,1
"2020-05-18","Tennessee",47,376,3
"2020-05-19","Tennessee",47,534,5
"2020-05-20","Tennessee",47,233,8
"2020-05-21","Tennessee",47,436,4
"2020-05-22","Tennessee",47,394,2
"2020-05-23","Tennessee",47,401,10
"2020-05-24","Tennessee",47,351,7
"2020-05-25","Tennessee",47,417,2
"2020-05-26","Tennessee",47,427,5
"2020-05-27","Tennessee",47,400,14
"2020-05-28","Tennessee",47,403,-1
"2020-05-29","Tennessee",47,436,4
"2020-05-30","Tennessee",47,477,4
"2020-05-31","Tennessee",47,156,0
"2020-06-01","Tennessee",47,410,1
"2020-06-02","Tennessee",47,1256,17
"2020-06-03","Tennessee",47,526,8
"2020-06-04","Tennessee",47,350,15
"2020-06-05","Tennessee",47,425,4
"2020-06-06","Tennessee",47,560,8
"2020-06-07","Tennessee",47,452,1
"2020-06-08","Tennessee",47,406,3
"2020-06-09","Tennessee",47,648,13
"2020-06-10","Tennessee",47,514,6
"2020-06-11","Tennessee",47,387,5
"2020-06-12","Tennessee",47,452,20
"2020-06-13","Tennessee",47,398,4
"2020-06-14","Tennessee",47,558,2
"2020-06-15","Tennessee",47,771,10
"2020-06-16","Tennessee",47,678,10
"2020-06-17","Tennessee",47,489,6
"2020-06-18","Tennessee",47,492,11
"2020-06-19","Tennessee",47,999,4
"2020-06-20","Tennessee",47,620,8
"2020-06-21","Tennessee",47,496,3
"2020-06-22","Tennessee",47,536,6
"2020-06-23","Tennessee",47,763,10
"2020-06-24","Tennessee",47,804,13
"2020-06-25","Tennessee",47,873,10
"2020-06-26","Tennessee",47,1107,11
"2020-06-27","Tennessee",47,1011,8
"2020-06-28","Tennessee",47,132,0
"2020-06-29","Tennessee",47,1443,8
"2020-06-30","Tennessee",47,1427,12
"2020-07-01","Tennessee",47,1545,5
"2020-07-02","Tennessee",47,1816,10
"2020-07-03","Tennessee",47,1706,14
"2020-07-04","Tennessee",47,1350,4
"2020-07-05","Tennessee",47,1133,9
"2020-07-06","Tennessee",47,1144,7
"2020-07-07","Tennessee",47,1134,11
"2020-07-08","Tennessee",47,2113,21
"2020-07-09","Tennessee",47,1775,22
"2020-07-10","Tennessee",47,1693,13
"2020-07-11","Tennessee",47,1757,15
"2020-07-12","Tennessee",47,1125,3
"2020-07-13","Tennessee",47,2509,7
"2020-07-14","Tennessee",47,1797,19
"2020-07-15","Tennessee",47,2103,16
"2020-07-16","Tennessee",47,2312,13
"2020-07-17","Tennessee",47,2245,19
"2020-07-18","Tennessee",47,2446,23
"2020-07-19","Tennessee",47,1662,6
"2020-07-20","Tennessee",47,1764,4
"2020-07-21","Tennessee",47,2082,25
"2020-07-22","Tennessee",47,2146,15
"2020-07-23","Tennessee",47,2480,35
"2020-07-24","Tennessee",47,2015,13
"2020-07-25","Tennessee",47,1792,27
"2020-07-26","Tennessee",47,2871,2
"2020-07-27","Tennessee",47,2539,10
"2020-07-28","Tennessee",47,2449,23
"2020-07-29","Tennessee",47,1827,20
"2020-07-30","Tennessee",47,2021,14
"2020-07-31","Tennessee",47,2978,25
"2020-08-01","Tennessee",47,2311,9
"2020-08-02","Tennessee",47,1349,6
"2020-08-03","Tennessee",47,1096,16
"2020-08-04","Tennessee",47,1752,25
"2020-08-05","Tennessee",47,1653,27
"2020-08-06","Tennessee",47,2214,40
"2020-08-07","Tennessee",47,2421,20
"2020-08-08","Tennessee",47,1785,11
"2020-08-09","Tennessee",47,2063,8
"2020-08-10","Tennessee",47,1179,14
"2020-08-11","Tennessee",47,1036,36
"2020-08-12","Tennessee",47,1486,15
"2020-08-13","Tennessee",47,1998,26
"2020-08-14","Tennessee",47,1978,12
"2020-08-15","Tennessee",47,1306,19
"2020-08-16","Tennessee",47,1849,18
"2020-08-17","Tennessee",47,1122,21
"2020-08-18","Tennessee",47,1054,40
"2020-08-19","Tennessee",47,2014,27
"2020-08-20","Tennessee",47,1450,33
"2020-08-21","Tennessee",47,1672,58
"2020-08-22","Tennessee",47,1434,14
"2020-08-23","Tennessee",47,1634,5
"2020-08-24","Tennessee",47,675,31
"2020-08-25","Tennessee",47,826,27
"2020-08-26","Tennessee",47,1899,18
"2020-08-27","Tennessee",47,1783,27
"2020-08-28","Tennessee",47,1631,25
"2020-08-29","Tennessee",47,1496,25
"2020-08-30","Tennessee",47,939,22
"2020-08-31","Tennessee",47,1784,5
"2020-09-01","Tennessee",47,1241,26
"2020-09-02","Tennessee",47,1559,15
"2020-09-03","Tennessee",47,2195,23
"2020-09-04","Tennessee",47,1092,22
"2020-09-05","Tennessee",47,1773,25
"2020-09-06","Tennessee",47,1696,3
"2020-09-07","Tennessee",47,942,4
"2020-09-08","Tennessee",47,649,28
"2020-09-09","Tennessee",47,852,35
"2020-09-10","Tennessee",47,1879,55
"2020-09-11","Tennessee",47,1352,36
"2020-09-12","Tennessee",47,1289,41
"2020-09-13","Tennessee",47,758,15
"2020-09-14","Tennessee",47,2188,18
"2020-09-15","Tennessee",47,1194,29
"2020-09-16","Tennessee",47,1708,25
"2020-09-17","Tennessee",47,1302,14
"2020-09-18","Tennessee",47,2005,32
"2020-09-19","Tennessee",47,1310,20
"2020-09-20","Tennessee",47,1604,2
"2020-09-21","Tennessee",47,1104,14
"2020-09-22","Tennessee",47,821,27
"2020-09-23","Tennessee",47,1522,16
"2020-09-24","Tennessee",47,1053,35
"2020-09-25","Tennessee",47,1648,39
"2020-09-26","Tennessee",47,1436,21
"2020-09-27","Tennessee",47,1832,3
"2020-09-28","Tennessee",47,954,12
"2020-09-29","Tennessee",47,868,31
"2020-09-30","Tennessee",47,1498,36
"2020-10-01","Tennessee",47,1244,44
"2020-10-02","Tennessee",47,1079,16
"2020-10-03","Tennessee",47,1190,45
"2020-10-04","Tennessee",47,1392,16
"2020-10-05","Tennessee",47,2341,20
"2020-10-06","Tennessee",47,1654,24
"2020-10-07","Tennessee",47,2029,21
"2020-10-08","Tennessee",47,1979,61
"2020-10-09","Tennessee",47,1558,26
"2020-10-10","Tennessee",47,1770,27
"2020-10-11","Tennessee",47,1833,9
"2020-10-12","Tennessee",47,2819,7
"2020-10-13","Tennessee",47,1178,23
"2020-10-14","Tennessee",47,1717,33
"2020-10-15","Tennessee",47,2215,35
"2020-10-16","Tennessee",47,744,11
"2020-10-17","Tennessee",47,2509,28
"2020-10-18","Tennessee",47,2518,9
"2020-10-19","Tennessee",47,3141,12
"2020-10-20","Tennessee",47,1527,28
"2020-10-21","Tennessee",47,2306,22
"2020-10-22","Tennessee",47,1979,37
"2020-10-23","Tennessee",47,3528,60
"2020-10-24","Tennessee",47,2584,24
"2020-10-25","Tennessee",47,3317,38
"2020-10-26","Tennessee",47,2252,27
"2020-10-27","Tennessee",47,1928,44
"2020-10-28","Tennessee",47,2581,33
"2020-10-29","Tennessee",47,2458,20
"2020-10-30","Tennessee",47,2605,78
"2020-10-31","Tennessee",47,1591,15
"2020-11-01","Tennessee",47,735,0
"2020-11-02","Tennessee",47,2617,25
"2020-11-03","Tennessee",47,1778,72
"2020-11-04","Tennessee",47,3354,27
"2020-11-05","Tennessee",47,2150,28
"2020-11-06","Tennessee",47,1735,34
"2020-11-07","Tennessee",47,4311,48
"2020-11-08","Tennessee",47,3470,5
"2020-11-09","Tennessee",47,5673,16
"2020-11-10","Tennessee",47,1979,62
"2020-11-11","Tennessee",47,3586,88
"2020-11-12","Tennessee",47,3171,24
"2020-11-13","Tennessee",47,3653,63
"2020-11-14","Tennessee",47,4462,25
"2020-11-15","Tennessee",47,5614,17
"2020-11-16","Tennessee",47,7499,28
"2020-11-17","Tennessee",47,1843,69
"2020-11-18","Tennessee",47,4468,52
"2020-11-19","Tennessee",47,2811,77
"2020-11-20","Tennessee",47,3450,74
"2020-11-21","Tennessee",47,4208,7
"2020-11-22","Tennessee",47,4363,55
"2020-11-23","Tennessee",47,3784,36
"2020-11-24","Tennessee",47,1422,71
"2020-11-25","Tennessee",47,2397,90
"2020-11-26","Tennessee",47,3915,53
"2020-11-27","Tennessee",47,4135,7
"2020-11-28","Tennessee",47,6379,14
"2020-11-29","Tennessee",47,2924,11
"2020-11-30","Tennessee",47,7603,46
"2020-12-01","Tennessee",47,5568,38
"2020-12-02","Tennessee",47,4015,51
"2020-12-03","Tennessee",47,3684,92
"2020-12-04","Tennessee",47,4316,95
"2020-12-05","Tennessee",47,4820,29
"2020-12-06","Tennessee",47,2578,37
"2020-12-07","Tennessee",47,7930,65
"2020-12-08","Tennessee",47,5826,98
"2020-12-09","Tennessee",47,7894,62
"2020-12-10","Tennessee",47,5859,70
"2020-12-11","Tennessee",47,7052,88
"2020-12-12","Tennessee",47,6292,73
"2020-12-13","Tennessee",47,10461,62
"2020-12-14","Tennessee",47,9769,78
"2020-12-15","Tennessee",47,7978,73
"2020-12-16","Tennessee",47,10894,53
"2020-12-17","Tennessee",47,8877,173
"2020-12-18","Tennessee",47,10079,114
"2020-12-19","Tennessee",47,4193,56
"2020-12-20","Tennessee",47,11383,54
"2020-12-21","Tennessee",47,9265,65
"2020-12-22","Tennessee",47,4330,133
"2020-12-23","Tennessee",47,7851,111
"2020-12-24","Tennessee",47,5049,51
"2020-12-25","Tennessee",47,8892,0
"2020-12-26","Tennessee",47,4978,15
"2020-12-27","Tennessee",47,3054,69
"2020-12-28","Tennessee",47,3495,73
"2020-12-29","Tennessee",47,4760,123
"2020-12-30","Tennessee",47,8903,101
"2020-12-31","Tennessee",47,6122,98
"2021-01-01","Tennessee",47,0,0
"2021-01-02","Tennessee",47,16827,62
"2021-01-03","Tennessee",47,3957,54
"2021-01-04","Tennessee",47,3838,139
"2021-01-05","Tennessee",47,5196,99
"2021-01-06","Tennessee",47,7950,112
"2021-01-07","Tennessee",47,10210,112
"2021-01-08","Tennessee",47,7219,125
"2021-01-09","Tennessee",47,6446,85
"2021-01-10","Tennessee",47,6901,81
"2021-01-11","Tennessee",47,4255,80
"2021-01-12","Tennessee",47,3849,146
"2021-01-13","Tennessee",47,4341,131
"2021-01-14","Tennessee",47,4863,83
"2021-01-15","Tennessee",47,5055,78
"2021-01-16","Tennessee",47,4656,43
"2021-01-17","Tennessee",47,4150,36
"2021-01-18","Tennessee",47,2623,38
"2021-01-19","Tennessee",47,2510,41
"2021-01-20","Tennessee",47,4026,86
"2021-01-21","Tennessee",47,3586,129
"2021-01-22","Tennessee",47,3745,89
"2021-01-23","Tennessee",47,3266,41
"2021-01-24","Tennessee",47,2333,40
"2021-01-25","Tennessee",47,1554,111
"2021-01-26","Tennessee",47,3635,191
"2021-01-27","Tennessee",47,2427,152
"2021-01-28","Tennessee",47,2467,102
"2021-01-29","Tennessee",47,4257,42
"2021-01-30","Tennessee",47,2027,109
"2021-01-31","Tennessee",47,2542,74
"2021-02-01","Tennessee",47,2149,103
"2021-02-02","Tennessee",47,2033,146
"2021-02-03","Tennessee",47,1860,133
"2021-02-04","Tennessee",47,2956,168
"2021-02-05","Tennessee",47,2461,200
"2021-02-06","Tennessee",47,2679,58
"2021-02-07","Tennessee",47,1961,5
"2021-02-08","Tennessee",47,2065,95
"2021-02-09","Tennessee",47,1525,63
"2021-02-10","Tennessee",47,2618,98
"2021-02-11","Tennessee",47,2236,95
"2021-02-12","Tennessee",47,2163,81
"2021-02-13","Tennessee",47,1820,9
"2021-02-14","Tennessee",47,1450,31
"2021-02-15","Tennessee",47,1884,4
"2021-02-16","Tennessee",47,1033,16
"2021-02-17","Tennessee",47,934,30
"2021-02-18","Tennessee",47,1090,72
"2021-02-19","Tennessee",47,1305,7
