"date","state","fips","cases","deaths"
"2020-02-25","Utah",49,1,0
"2020-02-26","Utah",49,0,0
"2020-02-27","Utah",49,0,0
"2020-02-28","Utah",49,0,0
"2020-02-29","Utah",49,0,0
"2020-03-01","Utah",49,0,0
"2020-03-02","Utah",49,0,0
"2020-03-03","Utah",49,0,0
"2020-03-04","Utah",49,0,0
"2020-03-05","Utah",49,0,0
"2020-03-06","Utah",49,2,0
"2020-03-07","Utah",49,0,0
"2020-03-08","Utah",49,0,0
"2020-03-09","Utah",49,0,0
"2020-03-10","Utah",49,1,0
"2020-03-11","Utah",49,1,0
"2020-03-12","Utah",49,2,0
"2020-03-13","Utah",49,0,0
"2020-03-14","Utah",49,14,0
"2020-03-15","Utah",49,8,0
"2020-03-16","Utah",49,11,0
"2020-03-17","Utah",49,11,0
"2020-03-18","Utah",49,14,0
"2020-03-19","Utah",49,15,0
"2020-03-20","Utah",49,32,0
"2020-03-21","Utah",49,26,0
"2020-03-22","Utah",49,44,1
"2020-03-23","Utah",49,75,0
"2020-03-24","Utah",49,42,0
"2020-03-25","Utah",49,47,0
"2020-03-26","Utah",49,56,0
"2020-03-27","Utah",49,78,1
"2020-03-28","Utah",49,128,0
"2020-03-29","Utah",49,111,0
"2020-03-30","Utah",49,87,2
"2020-03-31","Utah",49,81,1
"2020-04-01","Utah",49,125,2
"2020-04-02","Utah",49,65,0
"2020-04-03","Utah",49,171,0
"2020-04-04","Utah",49,178,1
"2020-04-05","Utah",49,192,0
"2020-04-06","Utah",49,44,5
"2020-04-07","Utah",49,75,0
"2020-04-08","Utah",49,123,0
"2020-04-09","Utah",49,120,0
"2020-04-10","Utah",49,123,4
"2020-04-11","Utah",49,105,1
"2020-04-12","Utah",49,97,0
"2020-04-13","Utah",49,63,0
"2020-04-14","Utah",49,52,1
"2020-04-15","Utah",49,129,1
"2020-04-16","Utah",49,138,1
"2020-04-17","Utah",49,126,2
"2020-04-18","Utah",49,129,2
"2020-04-19","Utah",49,129,2
"2020-04-20","Utah",49,142,1
"2020-04-21","Utah",49,88,4
"2020-04-22","Utah",49,150,2
"2020-04-23","Utah",49,170,1
"2020-04-24","Utah",49,161,4
"2020-04-25","Utah",49,168,2
"2020-04-26","Utah",49,173,0
"2020-04-27","Utah",49,113,0
"2020-04-28","Utah",49,107,4
"2020-04-29","Utah",49,156,0
"2020-04-30","Utah",49,173,1
"2020-05-01","Utah",49,157,0
"2020-05-02","Utah",49,152,3
"2020-05-03","Utah",49,194,1
"2020-05-04","Utah",49,151,0
"2020-05-05","Utah",49,123,6
"2020-05-06","Utah",49,156,3
"2020-05-07","Utah",49,119,2
"2020-05-08","Utah",49,195,0
"2020-05-09","Utah",49,184,5
"2020-05-10","Utah",49,148,1
"2020-05-11","Utah",49,113,1
"2020-05-12","Utah",49,90,5
"2020-05-13","Utah",49,170,3
"2020-05-14","Utah",49,136,0
"2020-05-15","Utah",49,170,1
"2020-05-16","Utah",49,138,1
"2020-05-17","Utah",49,170,2
"2020-05-18","Utah",49,146,0
"2020-05-19","Utah",49,146,8
"2020-05-20","Utah",49,187,2
"2020-05-21","Utah",49,159,2
"2020-05-22","Utah",49,181,1
"2020-05-23","Utah",49,203,4
"2020-05-24","Utah",49,132,0
"2020-05-25","Utah",49,129,1
"2020-05-26","Utah",49,101,3
"2020-05-27","Utah",49,88,4
"2020-05-28","Utah",49,243,1
"2020-05-29","Utah",49,329,1
"2020-05-30","Utah",49,269,5
"2020-05-31","Utah",49,278,1
"2020-06-01","Utah",49,197,0
"2020-06-02","Utah",49,211,0
"2020-06-03","Utah",49,321,4
"2020-06-04","Utah",49,300,0
"2020-06-05","Utah",49,486,3
"2020-06-06","Utah",49,522,1
"2020-06-07","Utah",49,218,0
"2020-06-08","Utah",49,294,3
"2020-06-09","Utah",49,261,3
"2020-06-10","Utah",49,343,1
"2020-06-11","Utah",49,384,3
"2020-06-12","Utah",49,315,8
"2020-06-13","Utah",49,380,0
"2020-06-14","Utah",49,252,0
"2020-06-15","Utah",49,444,4
"2020-06-16","Utah",49,320,2
"2020-06-17","Utah",49,387,4
"2020-06-18","Utah",49,551,3
"2020-06-19","Utah",49,570,3
"2020-06-20","Utah",49,588,0
"2020-06-21","Utah",49,394,3
"2020-06-22","Utah",49,468,0
"2020-06-23","Utah",49,419,5
"2020-06-24","Utah",49,461,0
"2020-06-25","Utah",49,629,1
"2020-06-26","Utah",49,674,2
"2020-06-27","Utah",49,517,1
"2020-06-28","Utah",49,420,0
"2020-06-29","Utah",49,663,1
"2020-06-30","Utah",49,546,4
"2020-07-01","Utah",49,500,1
"2020-07-02","Utah",49,602,3
"2020-07-03","Utah",49,604,5
"2020-07-04","Utah",49,647,0
"2020-07-05","Utah",49,288,3
"2020-07-06","Utah",49,648,6
"2020-07-07","Utah",49,550,4
"2020-07-08","Utah",49,718,7
"2020-07-09","Utah",49,711,4
"2020-07-10","Utah",49,820,2
"2020-07-11","Utah",49,619,5
"2020-07-12","Utah",49,481,3
"2020-07-13","Utah",49,730,1
"2020-07-14","Utah",49,492,10
"2020-07-15","Utah",49,454,7
"2020-07-16","Utah",49,680,1
"2020-07-17","Utah",49,664,4
"2020-07-18","Utah",49,858,5
"2020-07-19","Utah",49,687,0
"2020-07-20","Utah",49,409,6
"2020-07-21","Utah",49,563,6
"2020-07-22","Utah",49,588,7
"2020-07-23","Utah",49,501,9
"2020-07-24","Utah",49,885,6
"2020-07-25","Utah",49,560,1
"2020-07-26","Utah",49,350,0
"2020-07-27","Utah",49,466,7
"2020-07-28","Utah",49,438,5
"2020-07-29","Utah",49,462,7
"2020-07-30","Utah",49,375,6
"2020-07-31","Utah",49,544,5
"2020-08-01","Utah",49,496,4
"2020-08-02","Utah",49,421,1
"2020-08-03","Utah",49,396,4
"2020-08-04","Utah",49,447,7
"2020-08-05","Utah",49,460,6
"2020-08-06","Utah",49,554,2
"2020-08-07","Utah",49,498,5
"2020-08-08","Utah",49,291,-1
"2020-08-09","Utah",49,309,1
"2020-08-10","Utah",49,357,9
"2020-08-11","Utah",49,349,4
"2020-08-12","Utah",49,345,5
"2020-08-13","Utah",49,356,3
"2020-08-14","Utah",49,511,4
"2020-08-15","Utah",49,365,2
"2020-08-16","Utah",49,239,0
"2020-08-17","Utah",49,284,2
"2020-08-18","Utah",49,349,6
"2020-08-19","Utah",49,362,7
"2020-08-20","Utah",49,456,5
"2020-08-21","Utah",49,513,1
"2020-08-22","Utah",49,334,2
"2020-08-23","Utah",49,175,0
"2020-08-24","Utah",49,326,4
"2020-08-25","Utah",49,419,7
"2020-08-26","Utah",49,428,6
"2020-08-27","Utah",49,370,0
"2020-08-28","Utah",49,403,4
"2020-08-29","Utah",49,415,0
"2020-08-30","Utah",49,368,0
"2020-08-31","Utah",49,312,1
"2020-09-01","Utah",49,339,1
"2020-09-02","Utah",49,445,4
