"date","state","fips","cases","deaths"
"2020-03-07","Vermont",50,1,0
"2020-03-08","Vermont",50,0,0
"2020-03-09","Vermont",50,0,0
"2020-03-10","Vermont",50,0,0
"2020-03-11","Vermont",50,1,0
"2020-03-12","Vermont",50,0,0
"2020-03-13","Vermont",50,0,0
"2020-03-14","Vermont",50,3,0
"2020-03-15","Vermont",50,3,0
"2020-03-16","Vermont",50,4,0
"2020-03-17","Vermont",50,2,0
"2020-03-18","Vermont",50,5,0
"2020-03-19","Vermont",50,3,2
"2020-03-20","Vermont",50,7,0
"2020-03-21","Vermont",50,20,0
"2020-03-22","Vermont",50,3,0
"2020-03-23","Vermont",50,23,0
"2020-03-24","Vermont",50,20,5
"2020-03-25","Vermont",50,28,1
"2020-03-26","Vermont",50,35,1
"2020-03-27","Vermont",50,26,1
"2020-03-28","Vermont",50,27,2
"2020-03-29","Vermont",50,24,0
"2020-03-30","Vermont",50,21,0
"2020-03-31","Vermont",50,37,1
"2020-04-01","Vermont",50,28,3
"2020-04-02","Vermont",50,17,1
"2020-04-03","Vermont",50,51,0
"2020-04-04","Vermont",50,72,3
"2020-04-05","Vermont",50,51,2
"2020-04-06","Vermont",50,31,1
"2020-04-07","Vermont",50,32,0
"2020-04-08","Vermont",50,30,0
"2020-04-09","Vermont",50,23,0
"2020-04-10","Vermont",50,51,1
"2020-04-11","Vermont",50,32,0
"2020-04-12","Vermont",50,16,2
"2020-04-13","Vermont",50,21,1
"2020-04-14","Vermont",50,4,1
"2020-04-15","Vermont",50,7,1
"2020-04-16","Vermont",50,9,5
"2020-04-17","Vermont",50,11,0
"2020-04-18","Vermont",50,24,2
"2020-04-19","Vermont",50,9,0
"2020-04-20","Vermont",50,4,1
"2020-04-21","Vermont",50,2,2
"2020-04-22","Vermont",50,5,0
"2020-04-23","Vermont",50,2,3
"2020-04-24","Vermont",50,2,1
"2020-04-25","Vermont",50,16,2
"2020-04-26","Vermont",50,8,0
"2020-04-27","Vermont",50,4,1
"2020-04-28","Vermont",50,7,0
"2020-04-29","Vermont",50,0,0
"2020-04-30","Vermont",50,4,2
"2020-05-01","Vermont",50,13,1
"2020-05-02","Vermont",50,7,1
"2020-05-03","Vermont",50,11,2
"2020-05-04","Vermont",50,5,0
"2020-05-05","Vermont",50,5,0
"2020-05-06","Vermont",50,1,0
"2020-05-07","Vermont",50,8,1
"2020-05-08","Vermont",50,3,0
"2020-05-09","Vermont",50,2,0
"2020-05-10","Vermont",50,5,0
"2020-05-11","Vermont",50,0,0
"2020-05-12","Vermont",50,1,0
"2020-05-13","Vermont",50,2,0
"2020-05-14","Vermont",50,3,0
"2020-05-15","Vermont",50,1,0
"2020-05-16","Vermont",50,1,0
"2020-05-17","Vermont",50,6,1
"2020-05-18","Vermont",50,0,0
"2020-05-19","Vermont",50,4,0
"2020-05-20","Vermont",50,0,0
"2020-05-21","Vermont",50,6,0
"2020-05-22","Vermont",50,2,0
"2020-05-23","Vermont",50,2,0
"2020-05-24","Vermont",50,2,0
"2020-05-25","Vermont",50,6,0
"2020-05-26","Vermont",50,5,0
