"date","state","fips","cases","deaths"
"2020-03-14","Virgin Islands",78,1,0
"2020-03-15","Virgin Islands",78,0,0
"2020-03-16","Virgin Islands",78,1,0
"2020-03-17","Virgin Islands",78,0,0
"2020-03-18","Virgin Islands",78,1,0
"2020-03-19","Virgin Islands",78,0,0
"2020-03-20","Virgin Islands",78,3,0
"2020-03-21","Virgin Islands",78,0,0
"2020-03-22","Virgin Islands",78,11,0
"2020-03-23","Virgin Islands",78,0,0
"2020-03-24","Virgin Islands",78,0,0
"2020-03-25","Virgin Islands",78,0,0
"2020-03-26","Virgin Islands",78,0,0
"2020-03-27","Virgin Islands",78,2,0
"2020-03-28","Virgin Islands",78,0,0
"2020-03-29","Virgin Islands",78,4,0
"2020-03-30","Virgin Islands",78,7,0
"2020-03-31","Virgin Islands",78,0,0
"2020-04-01","Virgin Islands",78,0,0
"2020-04-02","Virgin Islands",78,7,0
"2020-04-03","Virgin Islands",78,1,0
"2020-04-04","Virgin Islands",78,4,0
"2020-04-05","Virgin Islands",78,0,0
"2020-04-06","Virgin Islands",78,2,1
"2020-04-07","Virgin Islands",78,1,0
"2020-04-08","Virgin Islands",78,1,0
"2020-04-09","Virgin Islands",78,4,0
"2020-04-10","Virgin Islands",78,1,0
"2020-04-11","Virgin Islands",78,0,0
"2020-04-12","Virgin Islands",78,0,0
"2020-04-13","Virgin Islands",78,0,0
"2020-04-14","Virgin Islands",78,0,0
"2020-04-15","Virgin Islands",78,0,0
"2020-04-16","Virgin Islands",78,0,1
"2020-04-17","Virgin Islands",78,2,1
"2020-04-18","Virgin Islands",78,0,0
"2020-04-19","Virgin Islands",78,0,0
"2020-04-20","Virgin Islands",78,1,0
"2020-04-21","Virgin Islands",78,0,0
"2020-04-22","Virgin Islands",78,0,0
"2020-04-23","Virgin Islands",78,0,0
"2020-04-24","Virgin Islands",78,1,0
"2020-04-25","Virgin Islands",78,2,1
"2020-04-26","Virgin Islands",78,2,0
"2020-04-27","Virgin Islands",78,0,0
"2020-04-28","Virgin Islands",78,3,0
"2020-04-29","Virgin Islands",78,4,0
"2020-04-30","Virgin Islands",78,0,0
"2020-05-01","Virgin Islands",78,0,0
"2020-05-02","Virgin Islands",78,0,0
"2020-05-03","Virgin Islands",78,0,0
"2020-05-04","Virgin Islands",78,0,0
"2020-05-05","Virgin Islands",78,0,0
"2020-05-06","Virgin Islands",78,0,0
"2020-05-07","Virgin Islands",78,2,0
"2020-05-08","Virgin Islands",78,1,0
"2020-05-09","Virgin Islands",78,0,0
"2020-05-10","Virgin Islands",78,0,1
"2020-05-11","Virgin Islands",78,0,1
"2020-05-12","Virgin Islands",78,0,0
"2020-05-13","Virgin Islands",78,0,0
"2020-05-14","Virgin Islands",78,0,0
"2020-05-15","Virgin Islands",78,0,0
"2020-05-16","Virgin Islands",78,0,0
"2020-05-17","Virgin Islands",78,0,0
"2020-05-18","Virgin Islands",78,0,0
"2020-05-19","Virgin Islands",78,0,0
"2020-05-20","Virgin Islands",78,0,0
"2020-05-21","Virgin Islands",78,0,0
"2020-05-22","Virgin Islands",78,0,0
"2020-05-23","Virgin Islands",78,0,0
"2020-05-24","Virgin Islands",78,0,0
"2020-05-25","Virgin Islands",78,0,0
"2020-05-26","Virgin Islands",78,0,0
"2020-05-27","Virgin Islands",78,0,0
"2020-05-28","Virgin Islands",78,0,0
"2020-05-29","Virgin Islands",78,0,0
"2020-05-30","Virgin Islands",78,1,0
"2020-05-31","Virgin Islands",78,0,0
"2020-06-01","Virgin Islands",78,0,0
"2020-06-02","Virgin Islands",78,0,0
"2020-06-03","Virgin Islands",78,1,0
"2020-06-04","Virgin Islands",78,0,0
"2020-06-05","Virgin Islands",78,0,0
"2020-06-06","Virgin Islands",78,0,0
"2020-06-07","Virgin Islands",78,0,0
"2020-06-08","Virgin Islands",78,0,0
"2020-06-09","Virgin Islands",78,1,0
"2020-06-10","Virgin Islands",78,0,0
"2020-06-11","Virgin Islands",78,0,0
"2020-06-12","Virgin Islands",78,0,0
"2020-06-13","Virgin Islands",78,0,0
"2020-06-14","Virgin Islands",78,1,0
"2020-06-15","Virgin Islands",78,0,0
"2020-06-16","Virgin Islands",78,0,0
"2020-06-17","Virgin Islands",78,0,0
"2020-06-18","Virgin Islands",78,1,0
"2020-06-19","Virgin Islands",78,0,0
"2020-06-20","Virgin Islands",78,2,0
"2020-06-21","Virgin Islands",78,0,0
"2020-06-22","Virgin Islands",78,0,0
"2020-06-23","Virgin Islands",78,2,0
"2020-06-24","Virgin Islands",78,2,0
"2020-06-25","Virgin Islands",78,1,0
"2020-06-26","Virgin Islands",78,0,0
"2020-06-27","Virgin Islands",78,0,0
"2020-06-28","Virgin Islands",78,0,0
"2020-06-29","Virgin Islands",78,3,0
"2020-06-30","Virgin Islands",78,6,0
"2020-07-01","Virgin Islands",78,2,0
"2020-07-02","Virgin Islands",78,6,0
"2020-07-03","Virgin Islands",78,13,0
"2020-07-04","Virgin Islands",78,1,0
"2020-07-05","Virgin Islands",78,0,0
"2020-07-06","Virgin Islands",78,4,0
"2020-07-07","Virgin Islands",78,6,0
"2020-07-08","Virgin Islands",78,22,0
"2020-07-09","Virgin Islands",78,9,0
"2020-07-10","Virgin Islands",78,14,0
"2020-07-11","Virgin Islands",78,14,0
"2020-07-12","Virgin Islands",78,25,0
"2020-07-13","Virgin Islands",78,11,0
"2020-07-14","Virgin Islands",78,26,0
"2020-07-15","Virgin Islands",78,6,0
"2020-07-16","Virgin Islands",78,14,0
"2020-07-17","Virgin Islands",78,20,0
"2020-07-18","Virgin Islands",78,14,0
"2020-07-19","Virgin Islands",78,0,0
"2020-07-20","Virgin Islands",78,11,0
"2020-07-21","Virgin Islands",78,0,0
"2020-07-22","Virgin Islands",78,28,1
"2020-07-23","Virgin Islands",78,6,0
"2020-07-24","Virgin Islands",78,10,0
"2020-07-25","Virgin Islands",78,0,0
"2020-07-26","Virgin Islands",78,9,0
"2020-07-27","Virgin Islands",78,14,0
"2020-07-28","Virgin Islands",78,0,0
"2020-07-29","Virgin Islands",78,10,1
"2020-07-30","Virgin Islands",78,0,0
"2020-07-31","Virgin Islands",78,21,0
"2020-08-01","Virgin Islands",78,15,0
"2020-08-02","Virgin Islands",78,0,0
"2020-08-03","Virgin Islands",78,18,0
"2020-08-04","Virgin Islands",78,24,0
"2020-08-05","Virgin Islands",78,38,1
"2020-08-06","Virgin Islands",78,21,0
"2020-08-07","Virgin Islands",78,6,0
"2020-08-08","Virgin Islands",78,0,0
"2020-08-09","Virgin Islands",78,19,0
"2020-08-10","Virgin Islands",78,29,0
"2020-08-11","Virgin Islands",78,63,0
"2020-08-12","Virgin Islands",78,0,0
"2020-08-13","Virgin Islands",78,65,0
"2020-08-14","Virgin Islands",78,30,0
"2020-08-15","Virgin Islands",78,0,0
"2020-08-16","Virgin Islands",78,7,0
"2020-08-17","Virgin Islands",78,19,0
"2020-08-18","Virgin Islands",78,36,0
"2020-08-19","Virgin Islands",78,32,0
"2020-08-20","Virgin Islands",78,41,1
"2020-08-21","Virgin Islands",78,91,0
"2020-08-22","Virgin Islands",78,0,0
"2020-08-23","Virgin Islands",78,24,1
"2020-08-24","Virgin Islands",78,14,1
"2020-08-25","Virgin Islands",78,32,2
"2020-08-26","Virgin Islands",78,0,0
"2020-08-27","Virgin Islands",78,45,0
"2020-08-28","Virgin Islands",78,0,0
"2020-08-29","Virgin Islands",78,54,0
"2020-08-30","Virgin Islands",78,5,0
"2020-08-31","Virgin Islands",78,5,1
"2020-09-01","Virgin Islands",78,4,0
"2020-09-02","Virgin Islands",78,1,0
"2020-09-03","Virgin Islands",78,6,1
"2020-09-04","Virgin Islands",78,0,0
"2020-09-05","Virgin Islands",78,17,0
"2020-09-06","Virgin Islands",78,14,1
"2020-09-07","Virgin Islands",78,9,0
"2020-09-08","Virgin Islands",78,1,1
"2020-09-09","Virgin Islands",78,6,0
"2020-09-10","Virgin Islands",78,4,0
"2020-09-11","Virgin Islands",78,0,0
"2020-09-12","Virgin Islands",78,19,1
"2020-09-13","Virgin Islands",78,0,0
"2020-09-14","Virgin Islands",78,1,0
"2020-09-15","Virgin Islands",78,11,0
"2020-09-16","Virgin Islands",78,0,0
"2020-09-17","Virgin Islands",78,6,0
"2020-09-18","Virgin Islands",78,19,0
"2020-09-19","Virgin Islands",78,0,0
"2020-09-20","Virgin Islands",78,12,0
"2020-09-21","Virgin Islands",78,0,0
"2020-09-22","Virgin Islands",78,9,0
"2020-09-23","Virgin Islands",78,12,0
"2020-09-24","Virgin Islands",78,0,0
"2020-09-25","Virgin Islands",78,6,0
"2020-09-26","Virgin Islands",78,21,0
"2020-09-27","Virgin Islands",78,0,0
"2020-09-28","Virgin Islands",78,1,1
"2020-09-29","Virgin Islands",78,0,0
"2020-09-30","Virgin Islands",78,0,0
"2020-10-01","Virgin Islands",78,8,0
"2020-10-02","Virgin Islands",78,0,0
"2020-10-03","Virgin Islands",78,1,0
"2020-10-04","Virgin Islands",78,0,0
"2020-10-05","Virgin Islands",78,-5,0
"2020-10-06","Virgin Islands",78,-1,0
"2020-10-07","Virgin Islands",78,1,0
"2020-10-08","Virgin Islands",78,2,0
"2020-10-09","Virgin Islands",78,0,0
"2020-10-10","Virgin Islands",78,1,0
"2020-10-11","Virgin Islands",78,0,0
"2020-10-12","Virgin Islands",78,0,0
"2020-10-13","Virgin Islands",78,3,0
"2020-10-14","Virgin Islands",78,0,0
"2020-10-15","Virgin Islands",78,1,1
"2020-10-16","Virgin Islands",78,0,0
"2020-10-17","Virgin Islands",78,6,0
"2020-10-18","Virgin Islands",78,0,0
"2020-10-19","Virgin Islands",78,0,0
"2020-10-20","Virgin Islands",78,2,0
"2020-10-21","Virgin Islands",78,0,0
"2020-10-22","Virgin Islands",78,6,0
"2020-10-23","Virgin Islands",78,3,0
"2020-10-24","Virgin Islands",78,0,0
"2020-10-25","Virgin Islands",78,0,0
"2020-10-26","Virgin Islands",78,2,0
"2020-10-27","Virgin Islands",78,3,0
"2020-10-28","Virgin Islands",78,2,0
"2020-10-29","Virgin Islands",78,0,0
"2020-10-30","Virgin Islands",78,9,0
"2020-10-31","Virgin Islands",78,14,0
"2020-11-01","Virgin Islands",78,0,0
"2020-11-02","Virgin Islands",78,0,0
"2020-11-03","Virgin Islands",78,9,1
"2020-11-04","Virgin Islands",78,3,1
"2020-11-05","Virgin Islands",78,0,0
"2020-11-06","Virgin Islands",78,2,0
"2020-11-07","Virgin Islands",78,15,0
"2020-11-08","Virgin Islands",78,0,0
"2020-11-09","Virgin Islands",78,0,0
"2020-11-10","Virgin Islands",78,8,0
"2020-11-11","Virgin Islands",78,0,0
"2020-11-12","Virgin Islands",78,0,0
"2020-11-13","Virgin Islands",78,13,0
"2020-11-14","Virgin Islands",78,8,0
"2020-11-15","Virgin Islands",78,0,0
"2020-11-16","Virgin Islands",78,0,0
"2020-11-17","Virgin Islands",78,16,0
"2020-11-18","Virgin Islands",78,13,0
"2020-11-19","Virgin Islands",78,6,0
"2020-11-20","Virgin Islands",78,13,0
"2020-11-21","Virgin Islands",78,9,0
"2020-11-22","Virgin Islands",78,13,0
"2020-11-23","Virgin Islands",78,3,0
"2020-11-24","Virgin Islands",78,14,0
"2020-11-25","Virgin Islands",78,0,0
"2020-11-26","Virgin Islands",78,0,0
"2020-11-27","Virgin Islands",78,0,0
"2020-11-28","Virgin Islands",78,19,0
"2020-11-29","Virgin Islands",78,4,0
"2020-11-30","Virgin Islands",78,0,0
"2020-12-01","Virgin Islands",78,6,0
"2020-12-02","Virgin Islands",78,39,0
"2020-12-03","Virgin Islands",78,0,0
"2020-12-04","Virgin Islands",78,24,0
"2020-12-05","Virgin Islands",78,0,0
"2020-12-06","Virgin Islands",78,0,0
"2020-12-07","Virgin Islands",78,36,0
"2020-12-08","Virgin Islands",78,31,0
"2020-12-09","Virgin Islands",78,18,0
"2020-12-10","Virgin Islands",78,35,0
"2020-12-11","Virgin Islands",78,58,0
"2020-12-12","Virgin Islands",78,0,0
"2020-12-13","Virgin Islands",78,0,0
"2020-12-14","Virgin Islands",78,16,0
"2020-12-15","Virgin Islands",78,21,0
"2020-12-16","Virgin Islands",78,0,0
"2020-12-17","Virgin Islands",78,50,0
"2020-12-18","Virgin Islands",78,22,0
"2020-12-19","Virgin Islands",78,10,0
"2020-12-20","Virgin Islands",78,11,0
"2020-12-21","Virgin Islands",78,0,0
"2020-12-22","Virgin Islands",78,13,0
"2020-12-23","Virgin Islands",78,16,0
"2020-12-24","Virgin Islands",78,17,0
"2020-12-25","Virgin Islands",78,12,0
"2020-12-26","Virgin Islands",78,0,0
"2020-12-27","Virgin Islands",78,0,0
"2020-12-28","Virgin Islands",78,0,0
"2020-12-29","Virgin Islands",78,0,0
"2020-12-30","Virgin Islands",78,31,0
"2020-12-31","Virgin Islands",78,21,0
"2021-01-01","Virgin Islands",78,5,0
"2021-01-02","Virgin Islands",78,6,0
"2021-01-03","Virgin Islands",78,0,0
"2021-01-04","Virgin Islands",78,0,0
"2021-01-05","Virgin Islands",78,0,0
"2021-01-06","Virgin Islands",78,0,0
"2021-01-07","Virgin Islands",78,0,0
"2021-01-08","Virgin Islands",78,0,0
"2021-01-09","Virgin Islands",78,0,0
"2021-01-10","Virgin Islands",78,0,0
"2021-01-11","Virgin Islands",78,0,0
"2021-01-12","Virgin Islands",78,124,1
"2021-01-13","Virgin Islands",78,0,0
"2021-01-14","Virgin Islands",78,0,0
"2021-01-15","Virgin Islands",78,0,0
"2021-01-16","Virgin Islands",78,0,0
"2021-01-17","Virgin Islands",78,94,0
"2021-01-18","Virgin Islands",78,0,0
"2021-01-19","Virgin Islands",78,23,0
"2021-01-20","Virgin Islands",78,22,0
"2021-01-21","Virgin Islands",78,0,0
"2021-01-22","Virgin Islands",78,16,0
"2021-01-23","Virgin Islands",78,20,0
"2021-01-24","Virgin Islands",78,0,0
"2021-01-25","Virgin Islands",78,9,0
"2021-01-26","Virgin Islands",78,23,0
"2021-01-27","Virgin Islands",78,0,0
"2021-01-28","Virgin Islands",78,11,0
"2021-01-29","Virgin Islands",78,14,0
"2021-01-30","Virgin Islands",78,0,0
"2021-01-31","Virgin Islands",78,0,0
"2021-02-01","Virgin Islands",78,23,0
"2021-02-02","Virgin Islands",78,5,0
"2021-02-03","Virgin Islands",78,4,0
"2021-02-04","Virgin Islands",78,10,0
"2021-02-05","Virgin Islands",78,9,0
"2021-02-06","Virgin Islands",78,0,0
"2021-02-07","Virgin Islands",78,17,0
"2021-02-08","Virgin Islands",78,0,0
"2021-02-09","Virgin Islands",78,19,0
"2021-02-10","Virgin Islands",78,0,0
"2021-02-11","Virgin Islands",78,20,1
"2021-02-12","Virgin Islands",78,20,0
"2021-02-13","Virgin Islands",78,0,0
"2021-02-14","Virgin Islands",78,0,0
"2021-02-15","Virgin Islands",78,17,0
"2021-02-16","Virgin Islands",78,0,0
"2021-02-17","Virgin Islands",78,3,0
"2021-02-18","Virgin Islands",78,13,0
"2021-02-19","Virgin Islands",78,17,0
