"date","state","fips","cases","deaths"
"2020-01-21","Washington",53,1,0
"2020-01-22","Washington",53,0,0
"2020-01-23","Washington",53,0,0
"2020-01-24","Washington",53,0,0
"2020-01-25","Washington",53,0,0
"2020-01-26","Washington",53,0,0
"2020-01-27","Washington",53,0,0
"2020-01-28","Washington",53,0,0
"2020-01-29","Washington",53,0,0
"2020-01-30","Washington",53,0,0
"2020-01-31","Washington",53,0,0
"2020-02-01","Washington",53,0,0
"2020-02-02","Washington",53,0,0
"2020-02-03","Washington",53,0,0
"2020-02-04","Washington",53,0,0
"2020-02-05","Washington",53,0,0
"2020-02-06","Washington",53,0,0
"2020-02-07","Washington",53,0,0
"2020-02-08","Washington",53,0,0
"2020-02-09","Washington",53,0,0
"2020-02-10","Washington",53,0,0
"2020-02-11","Washington",53,0,0
"2020-02-12","Washington",53,0,0
"2020-02-13","Washington",53,0,0
"2020-02-14","Washington",53,0,0
"2020-02-15","Washington",53,0,0
"2020-02-16","Washington",53,0,0
"2020-02-17","Washington",53,0,0
"2020-02-18","Washington",53,0,0
"2020-02-19","Washington",53,0,0
"2020-02-20","Washington",53,0,0
"2020-02-21","Washington",53,0,0
"2020-02-22","Washington",53,0,0
"2020-02-23","Washington",53,0,0
"2020-02-24","Washington",53,4,0
"2020-02-25","Washington",53,0,0
"2020-02-26","Washington",53,0,0
"2020-02-27","Washington",53,0,0
"2020-02-28","Washington",53,2,0
"2020-02-29","Washington",53,3,1
"2020-03-01","Washington",53,7,2
"2020-03-02","Washington",53,6,3
"2020-03-03","Washington",53,9,4
"2020-03-04","Washington",53,15,1
"2020-03-05","Washington",53,28,0
"2020-03-06","Washington",53,11,1
"2020-03-07","Washington",53,24,4
"2020-03-08","Washington",53,31,3
"2020-03-09","Washington",53,38,3
"2020-03-10","Washington",53,100,2
"2020-03-11","Washington",53,59,5
"2020-03-12","Washington",53,81,3
"2020-03-13","Washington",53,92,5
"2020-03-14","Washington",53,98,3
"2020-03-15","Washington",53,66,2
"2020-03-16","Washington",53,119,6
"2020-03-17","Washington",53,114,6
"2020-03-18","Washington",53,118,14
"2020-03-19","Washington",53,202,7
"2020-03-20","Washington",53,176,8
"2020-03-21","Washington",53,251,12
"2020-03-22","Washington",53,189,2
"2020-03-23","Washington",53,257,13
"2020-03-24","Washington",53,368,13
"2020-03-25","Washington",53,116,7
"2020-03-26","Washington",53,623,22
"2020-03-27","Washington",53,562,27
"2020-03-28","Washington",53,541,14
"2020-03-29","Washington",53,586,16
"2020-03-30","Washington",53,283,12
"2020-03-31","Washington",53,113,5
"2020-04-01","Washington",53,296,24
"2020-04-02","Washington",53,997,22
"2020-04-03","Washington",53,381,21
"2020-04-04","Washington",53,532,25
"2020-04-05","Washington",53,486,26
"2020-04-06","Washington",53,400,39
"2020-04-07","Washington",53,298,26
"2020-04-08","Washington",53,415,21
"2020-04-09","Washington",53,511,26
"2020-04-10","Washington",53,279,27
"2020-04-11","Washington",53,339,15
"2020-04-12","Washington",53,187,13
"2020-04-13","Washington",53,133,14
"2020-04-14","Washington",53,164,27
"2020-04-15","Washington",53,95,20
"2020-04-16","Washington",53,374,16
"2020-04-17","Washington",53,299,22
"2020-04-18","Washington",53,371,19
"2020-04-19","Washington",53,14,8
"2020-04-20","Washington",53,391,24
"2020-04-21","Washington",53,155,22
"2020-04-22","Washington",53,196,13
"2020-04-23","Washington",53,375,21
"2020-04-24","Washington",53,216,14
"2020-04-25","Washington",53,368,12
"2020-04-26","Washington",53,179,14
"2020-04-27","Washington",53,214,14
"2020-04-28","Washington",53,207,21
"2020-04-29","Washington",53,325,13
"2020-04-30","Washington",53,324,17
"2020-05-01","Washington",53,320,7
"2020-05-02","Washington",53,249,4
"2020-05-03","Washington",53,560,7
"2020-05-04","Washington",53,104,6
"2020-05-05","Washington",53,187,17
"2020-05-06","Washington",53,639,18
"2020-05-07","Washington",53,314,22
"2020-05-08","Washington",53,290,12
"2020-05-09","Washington",53,152,10
"2020-05-10","Washington",53,152,14
"2020-05-11","Washington",53,391,18
"2020-05-12","Washington",53,210,15
"2020-05-13","Washington",53,110,5
"2020-05-14","Washington",53,369,14
"2020-05-15","Washington",53,270,17
"2020-05-16","Washington",53,205,7
"2020-05-17","Washington",53,178,1
"2020-05-18","Washington",53,242,4
"2020-05-19","Washington",53,232,22
"2020-05-20","Washington",53,122,3
"2020-05-21","Washington",53,170,9
"2020-05-22","Washington",53,246,7
"2020-05-23","Washington",53,214,1
"2020-05-24","Washington",53,249,7
"2020-05-25","Washington",53,276,7
"2020-05-26","Washington",53,273,15
"2020-05-27","Washington",53,287,15
"2020-05-28","Washington",53,266,10
"2020-05-29","Washington",53,286,4
"2020-05-30","Washington",53,241,6
"2020-05-31","Washington",53,196,0
"2020-06-01","Washington",53,458,7
"2020-06-02","Washington",53,336,6
"2020-06-03","Washington",53,168,6
"2020-06-04","Washington",53,223,5
"2020-06-05","Washington",53,547,10
"2020-06-06","Washington",53,221,3
"2020-06-07","Washington",53,297,0
"2020-06-08","Washington",53,529,5
"2020-06-09","Washington",53,203,13
"2020-06-10","Washington",53,144,2
"2020-06-11","Washington",53,232,15
"2020-06-12","Washington",53,404,9
"2020-06-13","Washington",53,344,9
"2020-06-14","Washington",53,215,4
"2020-06-15","Washington",53,442,3
"2020-06-16","Washington",53,372,11
"2020-06-17","Washington",53,321,-5
"2020-06-18","Washington",53,393,17
"2020-06-19","Washington",53,382,12
"2020-06-20","Washington",53,421,10
"2020-06-21","Washington",53,331,3
"2020-06-22","Washington",53,646,6
"2020-06-23","Washington",53,335,8
"2020-06-24","Washington",53,622,9
"2020-06-25","Washington",53,598,7
"2020-06-26","Washington",53,491,4
"2020-06-27","Washington",53,542,6
"2020-06-28","Washington",53,310,0
"2020-06-29","Washington",53,695,10
"2020-06-30","Washington",53,505,12
"2020-07-01","Washington",53,717,7
"2020-07-02","Washington",53,663,3
"2020-07-03","Washington",53,496,10
"2020-07-04","Washington",53,382,2
"2020-07-05","Washington",53,669,5
"2020-07-06","Washington",53,1049,10
"2020-07-07","Washington",53,546,15
"2020-07-08","Washington",53,598,10
"2020-07-09","Washington",53,708,15
"2020-07-10","Washington",53,721,16
"2020-07-11","Washington",53,236,0
"2020-07-12","Washington",53,855,12
"2020-07-13","Washington",53,1357,1
"2020-07-14","Washington",53,719,26
"2020-07-15","Washington",53,747,21
"2020-07-16","Washington",53,1264,6
"2020-07-17","Washington",53,958,6
"2020-07-18","Washington",53,663,11
"2020-07-19","Washington",53,712,3
"2020-07-20","Washington",53,1348,9
"2020-07-21","Washington",53,797,10
"2020-07-22","Washington",53,696,3
"2020-07-23","Washington",53,813,14
"2020-07-24","Washington",53,1023,42
"2020-07-25","Washington",53,605,1
"2020-07-26","Washington",53,538,4
"2020-07-27","Washington",53,1126,15
"2020-07-28","Washington",53,1028,22
"2020-07-29","Washington",53,724,10
"2020-07-30","Washington",53,800,10
"2020-07-31","Washington",53,626,1
"2020-08-01","Washington",53,923,22
"2020-08-02","Washington",53,512,4
"2020-08-03","Washington",53,851,5
"2020-08-04","Washington",53,817,21
"2020-08-05","Washington",53,561,-1
"2020-08-06","Washington",53,667,11
"2020-08-07","Washington",53,919,28
