"date","state","fips","cases","deaths"
"2020-03-11","Arkansas",5,1,0
"2020-03-12","Arkansas",5,5,0
"2020-03-13","Arkansas",5,1,0
"2020-03-14","Arkansas",5,2,0
"2020-03-15","Arkansas",5,7,0
"2020-03-16","Arkansas",5,6,0
"2020-03-17","Arkansas",5,0,0
"2020-03-18","Arkansas",5,11,0
"2020-03-19","Arkansas",5,29,0
"2020-03-20","Arkansas",5,38,0
"2020-03-21","Arkansas",5,18,0
"2020-03-22","Arkansas",5,47,0
"2020-03-23","Arkansas",5,36,0
"2020-03-24","Arkansas",5,30,2
"2020-03-25","Arkansas",5,76,0
"2020-03-26","Arkansas",5,43,1
"2020-03-27","Arkansas",5,35,0
"2020-03-28","Arkansas",5,24,2
"2020-03-29","Arkansas",5,40,1
"2020-03-30","Arkansas",5,59,1
"2020-03-31","Arkansas",5,56,1
"2020-04-01","Arkansas",5,60,2
"2020-04-02","Arkansas",5,59,2
"2020-04-03","Arkansas",5,55,0
"2020-04-04","Arkansas",5,5,2
"2020-04-05","Arkansas",5,110,2
"2020-04-06","Arkansas",5,74,0
"2020-04-07","Arkansas",5,70,2
"2020-04-08","Arkansas",5,80,0
"2020-04-09","Arkansas",5,69,3
"2020-04-10","Arkansas",5,56,3
"2020-04-11","Arkansas",5,26,1
"2020-04-12","Arkansas",5,52,2
"2020-04-13","Arkansas",5,195,3
"2020-04-14","Arkansas",5,23,2
"2020-04-15","Arkansas",5,101,2
"2020-04-16","Arkansas",5,21,3
"2020-04-17","Arkansas",5,75,0
"2020-04-18","Arkansas",5,82,1
"2020-04-19","Arkansas",5,4,1
"2020-04-20","Arkansas",5,190,3
"2020-04-21","Arkansas",5,291,1
"2020-04-22","Arkansas",5,130,1
"2020-04-23","Arkansas",5,207,1
"2020-04-24","Arkansas",5,211,2
"2020-04-25","Arkansas",5,99,1
"2020-04-26","Arkansas",5,92,2
"2020-04-27","Arkansas",5,68,1
"2020-04-28","Arkansas",5,58,6
"2020-04-29","Arkansas",5,80,2
"2020-04-30","Arkansas",5,74,2
"2020-05-01","Arkansas",5,29,3
"2020-05-02","Arkansas",5,62,8
"2020-05-03","Arkansas",5,59,4
"2020-05-04","Arkansas",5,38,4
"2020-05-05","Arkansas",5,56,3
"2020-05-06","Arkansas",5,86,4
"2020-05-07","Arkansas",5,83,1
"2020-05-08","Arkansas",5,53,0
"2020-05-09","Arkansas",5,0,0
"2020-05-10","Arkansas",5,265,3
"2020-05-11","Arkansas",5,31,3
"2020-05-12","Arkansas",5,121,1
"2020-05-13","Arkansas",5,72,2
"2020-05-14","Arkansas",5,130,1
"2020-05-15","Arkansas",5,97,0
"2020-05-16","Arkansas",5,115,0
"2020-05-17","Arkansas",5,181,0
"2020-05-18","Arkansas",5,54,2
"2020-05-19","Arkansas",5,110,2
"2020-05-20","Arkansas",5,80,5
"2020-05-21","Arkansas",5,455,3
"2020-05-22","Arkansas",5,154,3
"2020-05-23","Arkansas",5,163,2
"2020-05-24","Arkansas",5,147,1
"2020-05-25","Arkansas",5,107,1
"2020-05-26","Arkansas",5,151,2
"2020-05-27","Arkansas",5,97,1
"2020-05-28","Arkansas",5,261,5
"2020-05-29","Arkansas",5,239,7
"2020-05-30","Arkansas",5,236,1
"2020-05-31","Arkansas",5,240,0
"2020-06-01","Arkansas",5,190,0
"2020-06-02","Arkansas",5,375,3
"2020-06-03","Arkansas",5,249,6
"2020-06-04","Arkansas",5,358,9
"2020-06-05","Arkansas",5,226,1
"2020-06-06","Arkansas",5,450,2
"2020-06-07","Arkansas",5,325,0
"2020-06-08","Arkansas",5,314,1
"2020-06-09","Arkansas",5,340,6
"2020-06-10","Arkansas",5,288,4
"2020-06-11","Arkansas",5,448,6
"2020-06-12","Arkansas",5,731,5
"2020-06-13","Arkansas",5,548,1
"2020-06-14","Arkansas",5,406,2
"2020-06-15","Arkansas",5,416,3
"2020-06-16","Arkansas",5,274,6
"2020-06-17","Arkansas",5,415,9
"2020-06-18","Arkansas",5,322,11
"2020-06-19","Arkansas",5,703,6
"2020-06-20","Arkansas",5,511,10
"2020-06-21","Arkansas",5,419,1
"2020-06-22","Arkansas",5,522,2
"2020-06-23","Arkansas",5,595,10
"2020-06-24","Arkansas",5,697,3
"2020-06-25","Arkansas",5,687,0
"2020-06-26","Arkansas",5,678,9
"2020-06-27","Arkansas",5,570,10
"2020-06-28","Arkansas",5,508,5
"2020-06-29","Arkansas",5,439,1
"2020-06-30","Arkansas",5,520,5
"2020-07-01","Arkansas",5,420,7
"2020-07-02","Arkansas",5,878,2
"2020-07-03","Arkansas",5,547,2
"2020-07-04","Arkansas",5,587,5
"2020-07-05","Arkansas",5,605,1
"2020-07-06","Arkansas",5,439,5
"2020-07-07","Arkansas",5,259,9
"2020-07-08","Arkansas",5,734,4
"2020-07-09","Arkansas",5,806,4
"2020-07-10","Arkansas",5,751,4
"2020-07-11","Arkansas",5,1061,6
"2020-07-12","Arkansas",5,503,2
"2020-07-13","Arkansas",5,572,2
"2020-07-14","Arkansas",5,794,8
"2020-07-15","Arkansas",5,564,4
"2020-07-16","Arkansas",5,817,6
"2020-07-17","Arkansas",5,648,12
"2020-07-18","Arkansas",5,771,4
"2020-07-19","Arkansas",5,695,0
"2020-07-20","Arkansas",5,699,6
"2020-07-21","Arkansas",5,728,11
"2020-07-22","Arkansas",5,591,6
"2020-07-23","Arkansas",5,1013,6
"2020-07-24","Arkansas",5,990,8
"2020-07-25","Arkansas",5,732,5
"2020-07-26","Arkansas",5,642,2
"2020-07-27","Arkansas",5,824,7
"2020-07-28","Arkansas",5,734,20
"2020-07-29","Arkansas",5,787,6
"2020-07-30","Arkansas",5,791,8
"2020-07-31","Arkansas",5,752,11
"2020-08-01","Arkansas",5,662,5
"2020-08-02","Arkansas",5,637,6
"2020-08-03","Arkansas",5,787,11
"2020-08-04","Arkansas",5,784,15
"2020-08-05","Arkansas",5,912,18
"2020-08-06","Arkansas",5,735,7
"2020-08-07","Arkansas",5,1011,6
"2020-08-08","Arkansas",5,772,14
"2020-08-09","Arkansas",5,572,9
"2020-08-10","Arkansas",5,645,11
"2020-08-11","Arkansas",5,383,11
"2020-08-12","Arkansas",5,703,7
"2020-08-13","Arkansas",5,652,9
"2020-08-14","Arkansas",5,626,5
"2020-08-15","Arkansas",5,-400,13
"2020-08-16","Arkansas",5,673,-1
"2020-08-17","Arkansas",5,412,4
"2020-08-18","Arkansas",5,410,16
"2020-08-19","Arkansas",5,729,12
"2020-08-20","Arkansas",5,549,10
"2020-08-21","Arkansas",5,887,22
"2020-08-22","Arkansas",5,547,11
"2020-08-23","Arkansas",5,375,13
"2020-08-24","Arkansas",5,320,9
"2020-08-25","Arkansas",5,480,15
"2020-08-26","Arkansas",5,649,21
"2020-08-27","Arkansas",5,722,7
"2020-08-28","Arkansas",5,838,17
"2020-08-29","Arkansas",5,795,16
"2020-08-30","Arkansas",5,478,12
"2020-08-31","Arkansas",5,368,13
"2020-09-01","Arkansas",5,273,17
"2020-09-02","Arkansas",5,615,27
"2020-09-03","Arkansas",5,1392,20
"2020-09-04","Arkansas",5,1174,12
"2020-09-05","Arkansas",5,548,9
"2020-09-06","Arkansas",5,698,12
"2020-09-07","Arkansas",5,356,14
"2020-09-08","Arkansas",5,477,9
"2020-09-09","Arkansas",5,498,11
"2020-09-10","Arkansas",5,548,12
"2020-09-11","Arkansas",5,1184,13
"2020-09-12","Arkansas",5,723,16
"2020-09-13","Arkansas",5,509,12
"2020-09-14","Arkansas",5,408,11
"2020-09-15","Arkansas",5,870,158
"2020-09-16","Arkansas",5,722,7
"2020-09-17","Arkansas",5,992,9
"2020-09-18","Arkansas",5,871,7
"2020-09-19","Arkansas",5,1078,8
"2020-09-20","Arkansas",5,563,0
"2020-09-21","Arkansas",5,641,16
"2020-09-22","Arkansas",5,617,12
"2020-09-23","Arkansas",5,982,20
"2020-09-24","Arkansas",5,1086,17
"2020-09-25","Arkansas",5,897,20
"2020-09-26","Arkansas",5,809,19
"2020-09-27","Arkansas",5,487,23
"2020-09-28","Arkansas",5,807,21
"2020-09-29","Arkansas",5,706,21
"2020-09-30","Arkansas",5,942,19
"2020-10-01","Arkansas",5,1124,15
"2020-10-02","Arkansas",5,958,7
"2020-10-03","Arkansas",5,746,16
"2020-10-04","Arkansas",5,488,18
"2020-10-05","Arkansas",5,417,22
"2020-10-06","Arkansas",5,641,22
"2020-10-07","Arkansas",5,809,13
"2020-10-08","Arkansas",5,1265,21
"2020-10-09","Arkansas",5,1167,27
"2020-10-10","Arkansas",5,908,22
"2020-10-11","Arkansas",5,613,17
"2020-10-12","Arkansas",5,654,17
"2020-10-13","Arkansas",5,680,25
"2020-10-14","Arkansas",5,1079,23
"2020-10-15","Arkansas",5,1278,11
"2020-10-16","Arkansas",5,1015,20
"2020-10-17","Arkansas",5,883,19
"2020-10-18","Arkansas",5,644,20
"2020-10-19","Arkansas",5,531,10
"2020-10-20","Arkansas",5,844,14
"2020-10-21","Arkansas",5,1155,23
"2020-10-22","Arkansas",5,1202,21
"2020-10-23","Arkansas",5,1337,10
"2020-10-24","Arkansas",5,1183,15
"2020-10-25","Arkansas",5,797,15
"2020-10-26","Arkansas",5,612,21
"2020-10-27","Arkansas",5,952,24
"2020-10-28","Arkansas",5,961,18
"2020-10-29","Arkansas",5,1072,19
"2020-10-30","Arkansas",5,1162,6
"2020-10-31","Arkansas",5,1316,25
"2020-11-01","Arkansas",5,867,33
"2020-11-02","Arkansas",5,584,27
"2020-11-03","Arkansas",5,878,18
"2020-11-04","Arkansas",5,1293,23
"2020-11-05","Arkansas",5,1548,11
"2020-11-06","Arkansas",5,1870,19
"2020-11-07","Arkansas",5,1598,12
"2020-11-08","Arkansas",5,1038,17
"2020-11-09","Arkansas",5,945,23
"2020-11-10","Arkansas",5,1424,4
"2020-11-11","Arkansas",5,1962,14
"2020-11-12","Arkansas",5,1809,18
"2020-11-13","Arkansas",5,2312,4
"2020-11-14","Arkansas",5,1848,11
"2020-11-15","Arkansas",5,874,24
"2020-11-16","Arkansas",5,1308,42
"2020-11-17","Arkansas",5,1554,20
"2020-11-18","Arkansas",5,1715,30
"2020-11-19","Arkansas",5,2238,22
"2020-11-20","Arkansas",5,2061,24
"2020-11-21","Arkansas",5,1905,16
"2020-11-22","Arkansas",5,1352,20
"2020-11-23","Arkansas",5,1017,30
"2020-11-24","Arkansas",5,2122,18
"2020-11-25","Arkansas",5,1965,20
"2020-11-26","Arkansas",5,2348,11
"2020-11-27","Arkansas",5,1052,0
"2020-11-28","Arkansas",5,1349,13
"2020-11-29","Arkansas",5,1221,21
"2020-11-30","Arkansas",5,1112,32
"2020-12-01","Arkansas",5,1950,10
"2020-12-02","Arkansas",5,2212,10
"2020-12-03","Arkansas",5,2789,33
"2020-12-04","Arkansas",5,2827,31
"2020-12-05","Arkansas",5,2245,34
"2020-12-06","Arkansas",5,1542,40
"2020-12-07","Arkansas",5,1118,53
"2020-12-08","Arkansas",5,2283,39
"2020-12-09","Arkansas",5,2327,34
"2020-12-10","Arkansas",5,2202,34
"2020-12-11","Arkansas",5,2770,55
"2020-12-12","Arkansas",5,2628,36
"2020-12-13","Arkansas",5,1450,34
"2020-12-14","Arkansas",5,1355,45
"2020-12-15","Arkansas",5,2141,26
"2020-12-16","Arkansas",5,2306,58
"2020-12-17","Arkansas",5,3039,38
"2020-12-18","Arkansas",5,2878,27
"2020-12-19","Arkansas",5,2693,52
"2020-12-20","Arkansas",5,1536,46
"2020-12-21","Arkansas",5,1457,58
"2020-12-22","Arkansas",5,1941,43
"2020-12-23","Arkansas",5,2893,38
"2020-12-24","Arkansas",5,3204,30
"2020-12-25","Arkansas",5,2122,32
"2020-12-26","Arkansas",5,702,3
"2020-12-27","Arkansas",5,908,41
"2020-12-28","Arkansas",5,1651,55
"2020-12-29","Arkansas",5,2718,66
"2020-12-30","Arkansas",5,3184,34
"2020-12-31","Arkansas",5,2708,39
"2021-01-01","Arkansas",5,4304,35
"2021-01-02","Arkansas",5,2000,18
"2021-01-03","Arkansas",5,2033,20
"2021-01-04","Arkansas",5,1306,51
"2021-01-05","Arkansas",5,4107,36
"2021-01-06","Arkansas",5,3705,65
"2021-01-07","Arkansas",5,3323,25
"2021-01-08","Arkansas",5,2944,40
"2021-01-09","Arkansas",5,2886,44
"2021-01-10","Arkansas",5,3330,33
"2021-01-11","Arkansas",5,1268,38
"2021-01-12","Arkansas",5,3209,40
"2021-01-13","Arkansas",5,2467,65
"2021-01-14","Arkansas",5,2491,42
"2021-01-15","Arkansas",5,3124,35
"2021-01-16","Arkansas",5,2543,30
"2021-01-17","Arkansas",5,976,18
"2021-01-18","Arkansas",5,1109,32
"2021-01-19","Arkansas",5,1331,43
"2021-01-20","Arkansas",5,2520,55
"2021-01-21","Arkansas",5,3106,55
"2021-01-22","Arkansas",5,2162,53
"2021-01-23","Arkansas",5,1613,14
"2021-01-24","Arkansas",5,1071,43
"2021-01-25","Arkansas",5,636,44
"2021-01-26","Arkansas",5,2485,40
"2021-01-27","Arkansas",5,1777,52
"2021-01-28","Arkansas",5,1892,42
"2021-01-29","Arkansas",5,1707,47
"2021-01-30","Arkansas",5,1824,7
"2021-01-31","Arkansas",5,881,30
"2021-02-01","Arkansas",5,1226,27
"2021-02-02","Arkansas",5,1510,44
"2021-02-03","Arkansas",5,2426,46
"2021-02-04","Arkansas",5,2469,24
"2021-02-05","Arkansas",5,1824,41
"2021-02-06","Arkansas",5,1341,11
"2021-02-07","Arkansas",5,672,15
"2021-02-08","Arkansas",5,637,30
"2021-02-09","Arkansas",5,1475,42
"2021-02-10","Arkansas",5,1092,26
"2021-02-11","Arkansas",5,1103,25
"2021-02-12","Arkansas",5,565,13
"2021-02-13","Arkansas",5,954,40
"2021-02-14","Arkansas",5,466,13
"2021-02-15","Arkansas",5,320,10
"2021-02-16","Arkansas",5,177,12
"2021-02-17","Arkansas",5,667,26
"2021-02-18","Arkansas",5,253,10
"2021-02-19","Arkansas",5,268,13
