"date","state","fips","cases","deaths"
"2020-03-11","Delaware",10,1,0
"2020-03-12","Delaware",10,3,0
"2020-03-13","Delaware",10,0,0
"2020-03-14","Delaware",10,0,0
"2020-03-15","Delaware",10,3,0
"2020-03-16","Delaware",10,1,0
"2020-03-17","Delaware",10,8,0
"2020-03-18","Delaware",10,10,0
"2020-03-19","Delaware",10,4,0
"2020-03-20","Delaware",10,9,0
"2020-03-21","Delaware",10,6,0
"2020-03-22","Delaware",10,11,0
"2020-03-23","Delaware",10,31,0
"2020-03-24","Delaware",10,17,0
"2020-03-25","Delaware",10,15,0
"2020-03-26","Delaware",10,24,1
"2020-03-27","Delaware",10,22,1
"2020-03-28","Delaware",10,49,3
"2020-03-29","Delaware",10,18,1
"2020-03-30","Delaware",10,32,1
"2020-03-31","Delaware",10,55,3
"2020-04-01","Delaware",10,49,1
"2020-04-02","Delaware",10,25,1
"2020-04-03","Delaware",10,57,2
"2020-04-04","Delaware",10,143,0
"2020-04-05","Delaware",10,80,0
"2020-04-06","Delaware",10,110,1
"2020-04-07","Delaware",10,145,1
"2020-04-08","Delaware",10,188,3
"2020-04-09","Delaware",10,93,4
"2020-04-10","Delaware",10,117,9
"2020-04-11","Delaware",10,153,1
"2020-04-12","Delaware",10,146,2
"2020-04-13","Delaware",10,136,6
"2020-04-14","Delaware",10,165,2
"2020-04-15","Delaware",10,88,3
"2020-04-16","Delaware",10,61,6
"2020-04-17","Delaware",10,248,9
"2020-04-18","Delaware",10,215,6
"2020-04-19","Delaware",10,0,0
"2020-04-20","Delaware",10,207,5
"2020-04-21","Delaware",10,186,10
"2020-04-22","Delaware",10,269,7
"2020-04-23","Delaware",10,108,3
"2020-04-24","Delaware",10,134,8
"2020-04-25","Delaware",10,134,12
"2020-04-26","Delaware",10,458,8
"2020-04-27","Delaware",10,128,5
"2020-04-28","Delaware",10,413,12
"2020-04-29","Delaware",10,80,7
"2020-04-30","Delaware",10,79,8
"2020-05-01","Delaware",10,184,7
"2020-05-02","Delaware",10,120,9
"2020-05-03","Delaware",10,170,9
"2020-05-04","Delaware",10,80,5
"2020-05-05","Delaware",10,83,5
"2020-05-06","Delaware",10,407,6
"2020-05-07","Delaware",10,161,9
"2020-05-08","Delaware",10,144,11
"2020-05-09","Delaware",10,194,8
"2020-05-10","Delaware",10,170,3
"2020-05-11","Delaware",10,118,1
"2020-05-12","Delaware",10,176,12
"2020-05-13","Delaware",10,211,10
"2020-05-14","Delaware",10,271,13
"2020-05-15","Delaware",10,150,11
"2020-05-16","Delaware",10,174,15
"2020-05-17","Delaware",10,123,4
"2020-05-18","Delaware",10,199,7
"2020-05-19","Delaware",10,168,7
"2020-05-20","Delaware",10,157,6
"2020-05-21","Delaware",10,192,7
"2020-05-22","Delaware",10,143,5
"2020-05-23","Delaware",10,161,2
"2020-05-24","Delaware",10,119,2
"2020-05-25","Delaware",10,156,6
"2020-05-26","Delaware",10,101,3
"2020-05-27","Delaware",10,30,9
"2020-05-28","Delaware",10,75,1
"2020-05-29","Delaware",10,65,11
"2020-05-30","Delaware",10,186,5
"2020-05-31","Delaware",10,76,5
"2020-06-01","Delaware",10,107,2
"2020-06-02","Delaware",10,80,5
"2020-06-03","Delaware",10,27,2
"2020-06-04","Delaware",10,34,11
"2020-06-05","Delaware",10,27,2
"2020-06-06","Delaware",10,72,2
"2020-06-07","Delaware",10,97,8
"2020-06-08","Delaware",10,30,0
"2020-06-09","Delaware",10,48,12
"2020-06-10","Delaware",10,36,3
"2020-06-11","Delaware",10,50,1
"2020-06-12","Delaware",10,67,0
"2020-06-13","Delaware",10,56,5
"2020-06-14","Delaware",10,35,3
"2020-06-15","Delaware",10,76,1
"2020-06-16","Delaware",10,63,1
"2020-06-17","Delaware",10,41,2
"2020-06-18","Delaware",10,55,5
"2020-06-19","Delaware",10,112,2
"2020-06-20","Delaware",10,70,1
"2020-06-21","Delaware",10,94,1
"2020-06-22","Delaware",10,45,0
"2020-06-23","Delaware",10,27,69
"2020-06-24","Delaware",10,42,1
"2020-06-25","Delaware",10,91,2
"2020-06-26","Delaware",10,37,0
"2020-06-27","Delaware",10,74,0
"2020-06-28","Delaware",10,135,0
"2020-06-29","Delaware",10,150,0
"2020-06-30","Delaware",10,98,2
"2020-07-01","Delaware",10,36,0
"2020-07-02","Delaware",10,221,1
"2020-07-03","Delaware",10,192,2
"2020-07-04","Delaware",10,73,0
"2020-07-05","Delaware",10,132,0
"2020-07-06","Delaware",10,165,0
"2020-07-07","Delaware",10,121,2
"2020-07-08","Delaware",10,48,1
"2020-07-09","Delaware",10,69,2
"2020-07-10","Delaware",10,121,0
"2020-07-11","Delaware",10,91,0
"2020-07-12","Delaware",10,61,0
"2020-07-13","Delaware",10,75,0
"2020-07-14","Delaware",10,90,1
"2020-07-15","Delaware",10,81,3
"2020-07-16","Delaware",10,64,0
"2020-07-17","Delaware",10,223,0
"2020-07-18","Delaware",10,92,2
"2020-07-19","Delaware",10,90,0
"2020-07-20","Delaware",10,105,0
"2020-07-21","Delaware",10,122,2
"2020-07-22","Delaware",10,46,2
"2020-07-23","Delaware",10,132,2
"2020-07-24","Delaware",10,278,49
"2020-07-25","Delaware",10,-27,1
"2020-07-26","Delaware",10,115,0
"2020-07-27","Delaware",10,116,0
"2020-07-28","Delaware",10,70,1
"2020-07-29","Delaware",10,126,1
"2020-07-30","Delaware",10,87,0
"2020-07-31","Delaware",10,99,4
"2020-08-01","Delaware",10,89,0
"2020-08-02","Delaware",10,72,0
"2020-08-03","Delaware",10,106,0
"2020-08-04","Delaware",10,82,2
"2020-08-05","Delaware",10,159,0
"2020-08-06","Delaware",10,69,0
"2020-08-07","Delaware",10,80,1
"2020-08-08","Delaware",10,57,2
"2020-08-09","Delaware",10,73,1
"2020-08-10","Delaware",10,59,0
"2020-08-11","Delaware",10,65,0
"2020-08-12","Delaware",10,66,1
"2020-08-13","Delaware",10,202,1
"2020-08-14","Delaware",10,373,0
"2020-08-15","Delaware",10,56,0
"2020-08-16","Delaware",10,55,0
"2020-08-17","Delaware",10,85,0
"2020-08-18","Delaware",10,57,0
"2020-08-19","Delaware",10,50,2
"2020-08-20","Delaware",10,75,0
"2020-08-21","Delaware",10,52,5
"2020-08-22","Delaware",10,58,0
