"date","state","fips","cases","deaths"
"2020-03-01","Florida",12,2,0
"2020-03-02","Florida",12,0,0
"2020-03-03","Florida",12,1,0
"2020-03-04","Florida",12,0,0
"2020-03-05","Florida",12,1,0
"2020-03-06","Florida",12,3,2
"2020-03-07","Florida",12,5,0
"2020-03-08","Florida",12,1,0
"2020-03-09","Florida",12,1,0
"2020-03-10","Florida",12,9,0
"2020-03-11","Florida",12,3,0
"2020-03-12","Florida",12,20,0
"2020-03-13","Florida",12,24,0
"2020-03-14","Florida",12,0,1
"2020-03-15","Florida",12,39,0
"2020-03-16","Florida",12,32,1
"2020-03-17","Florida",12,69,2
"2020-03-18","Florida",12,116,1
"2020-03-19","Florida",12,108,1
"2020-03-20","Florida",12,130,1
"2020-03-21","Florida",12,200,2
"2020-03-22","Florida",12,236,2
"2020-03-23","Florida",12,222,5
"2020-03-24","Florida",12,245,2
"2020-03-25","Florida",12,504,3
"2020-03-26","Florida",12,507,6
"2020-03-27","Florida",12,720,17
"2020-03-28","Florida",12,840,10
"2020-03-29","Florida",12,905,4
"2020-03-30","Florida",12,752,12
"2020-03-31","Florida",12,1047,13
"2020-04-01","Florida",12,1027,15
"2020-04-02","Florida",12,1231,44
"2020-04-03","Florida",12,1260,25
"2020-04-04","Florida",12,1277,25
"2020-04-05","Florida",12,805,26
"2020-04-06","Florida",12,1279,33
"2020-04-07","Florida",12,1118,42
"2020-04-08","Florida",12,951,27
"2020-04-09","Florida",12,1129,48
"2020-04-10","Florida",12,1141,48
"2020-04-11","Florida",12,1018,27
"2020-04-12","Florida",12,877,15
"2020-04-13","Florida",12,1156,38
"2020-04-14","Florida",12,609,72
"2020-04-15","Florida",12,906,43
"2020-04-16","Florida",12,806,54
"2020-04-17","Florida",12,1413,58
"2020-04-18","Florida",12,739,22
"2020-04-19","Florida",12,822,26
"2020-04-20","Florida",12,744,49
"2020-04-21","Florida",12,811,44
"2020-04-22","Florida",12,440,60
"2020-04-23","Florida",12,1339,60
"2020-04-24","Florida",12,885,59
"2020-04-25","Florida",12,306,9
"2020-04-26","Florida",12,689,19
"2020-04-27","Florida",12,610,14
"2020-04-28","Florida",12,708,83
"2020-04-29","Florida",12,347,46
"2020-04-30","Florida",12,498,51
"2020-05-01","Florida",12,1037,46
"2020-05-02","Florida",12,735,50
"2020-05-03","Florida",12,615,15
"2020-05-04","Florida",12,819,20
"2020-05-05","Florida",12,542,72
"2020-05-06","Florida",12,563,68
"2020-05-07","Florida",12,826,61
"2020-05-08","Florida",12,371,69
"2020-05-09","Florida",12,802,46
"2020-05-10","Florida",12,595,6
"2020-05-11","Florida",12,386,14
"2020-05-12","Florida",12,941,44
"2020-05-13","Florida",12,479,48
"2020-05-14","Florida",12,808,48
"2020-05-15","Florida",12,928,42
"2020-05-16","Florida",12,673,47
"2020-05-17","Florida",12,777,9
"2020-05-18","Florida",12,854,24
"2020-05-19","Florida",12,502,55
"2020-05-20","Florida",12,527,44
"2020-05-21","Florida",12,1204,48
"2020-05-22","Florida",12,776,46
"2020-05-23","Florida",12,676,43
"2020-05-24","Florida",12,740,4
"2020-05-25","Florida",12,879,15
"2020-05-26","Florida",12,509,7
"2020-05-27","Florida",12,379,60
"2020-05-28","Florida",12,651,45
"2020-05-29","Florida",12,1212,49
"2020-05-30","Florida",12,927,34
"2020-05-31","Florida",12,739,4
"2020-06-01","Florida",12,667,9
"2020-06-02","Florida",12,617,70
"2020-06-03","Florida",12,1317,36
"2020-06-04","Florida",12,1419,41
"2020-06-05","Florida",12,1305,53
"2020-06-06","Florida",12,1270,28
"2020-06-07","Florida",12,1180,12
"2020-06-08","Florida",12,966,12
"2020-06-09","Florida",12,1096,53
"2020-06-10","Florida",12,1371,36
"2020-06-11","Florida",12,1698,47
"2020-06-12","Florida",12,1902,29
"2020-06-13","Florida",12,2581,48
"2020-06-14","Florida",12,2016,6
