"date","state","fips","cases","deaths"
"2020-03-02","Georgia",13,2,0
"2020-03-03","Georgia",13,0,0
"2020-03-04","Georgia",13,0,0
"2020-03-05","Georgia",13,0,0
"2020-03-06","Georgia",13,1,0
"2020-03-07","Georgia",13,4,0
"2020-03-08","Georgia",13,4,0
"2020-03-09","Georgia",13,6,0
"2020-03-10","Georgia",13,5,0
"2020-03-11","Georgia",13,9,0
"2020-03-12","Georgia",13,0,1
"2020-03-13","Georgia",13,10,0
"2020-03-14","Georgia",13,24,0
"2020-03-15","Georgia",13,32,0
"2020-03-16","Georgia",13,21,0
"2020-03-17","Georgia",13,24,0
"2020-03-18","Georgia",13,51,2
"2020-03-19","Georgia",13,89,7
"2020-03-20","Georgia",13,200,4
"2020-03-21","Georgia",13,70,6
"2020-03-22","Georgia",13,68,5
"2020-03-23","Georgia",13,180,0
"2020-03-24","Georgia",13,295,13
"2020-03-25","Georgia",13,290,9
"2020-03-26","Georgia",13,256,9
"2020-03-27","Georgia",13,557,8
"2020-03-28","Georgia",13,249,15
"2020-03-29","Georgia",13,236,4
"2020-03-30","Georgia",13,349,20
"2020-03-31","Georgia",13,1084,23
"2020-04-01","Georgia",13,631,28
"2020-04-02","Georgia",13,697,22
"2020-04-03","Georgia",13,523,22
"2020-04-04","Georgia",13,416,10
"2020-04-05","Georgia",13,359,11
"2020-04-06","Georgia",13,816,75
"2020-04-07","Georgia",13,1598,54
"2020-04-08","Georgia",13,1048,22
"2020-04-09","Georgia",13,681,42
"2020-04-10","Georgia",13,974,13
"2020-04-11","Georgia",13,402,7
"2020-04-12","Georgia",13,-158,6
"2020-04-13","Georgia",13,1022,41
"2020-04-14","Georgia",13,788,38
"2020-04-15","Georgia",13,670,52
"2020-04-16","Georgia",13,1061,42
"2020-04-17","Georgia",13,1014,50
"2020-04-18","Georgia",13,356,9
"2020-04-19","Georgia",13,605,12
"2020-04-20","Georgia",13,828,85
"2020-04-21","Georgia",13,742,43
"2020-04-22","Georgia",13,910,27
"2020-04-23","Georgia",13,806,34
"2020-04-24","Georgia",13,670,18
"2020-04-25","Georgia",13,650,8
"2020-04-26","Georgia",13,234,10
"2020-04-27","Georgia",13,770,74
"2020-04-28","Georgia",13,378,41
"2020-04-29","Georgia",13,693,64
"2020-04-30","Georgia",13,1131,35
"2020-05-01","Georgia",13,1005,32
"2020-05-02","Georgia",13,832,8
"2020-05-03","Georgia",13,350,7
"2020-05-04","Georgia",13,732,60
"2020-05-05","Georgia",13,526,49
"2020-05-06","Georgia",13,848,32
"2020-05-07","Georgia",13,800,23
"2020-05-08","Georgia",13,565,46
"2020-05-09","Georgia",13,392,2
"2020-05-10","Georgia",13,786,3
"2020-05-11","Georgia",13,181,37
"2020-05-12","Georgia",13,863,50
"2020-05-13","Georgia",13,555,24
"2020-05-14","Georgia",13,556,27
"2020-05-15","Georgia",13,820,42
"2020-05-16","Georgia",13,413,10
"2020-05-17","Georgia",13,299,11
"2020-05-18","Georgia",13,680,40
"2020-05-19","Georgia",13,580,26
"2020-05-20","Georgia",13,948,22
"2020-05-21","Georgia",13,807,77
"2020-05-22","Georgia",13,765,30
"2020-05-23","Georgia",13,674,15
"2020-05-24","Georgia",13,581,5
"2020-05-25","Georgia",13,425,21
"2020-05-26","Georgia",13,652,47
"2020-05-27","Georgia",13,647,37
"2020-05-28","Georgia",13,650,38
"2020-05-29","Georgia",13,525,11
"2020-05-30","Georgia",13,448,20
"2020-05-31","Georgia",13,715,46
"2020-06-01","Georgia",13,706,38
"2020-06-02","Georgia",13,306,13
"2020-06-03","Georgia",13,648,22
"2020-06-04","Georgia",13,817,24
"2020-06-05","Georgia",13,752,27
"2020-06-06","Georgia",13,663,4
"2020-06-07","Georgia",13,428,1
"2020-06-08","Georgia",13,624,28
"2020-06-09","Georgia",13,774,74
"2020-06-10","Georgia",13,696,42
"2020-06-11","Georgia",13,867,45
"2020-06-12","Georgia",13,869,47
"2020-06-13","Georgia",13,977,27
"2020-06-14","Georgia",13,696,5
"2020-06-15","Georgia",13,631,41
"2020-06-16","Georgia",13,797,35
"2020-06-17","Georgia",13,915,44
"2020-06-18","Georgia",13,823,29
"2020-06-19","Georgia",13,1077,31
"2020-06-20","Georgia",13,1552,6
"2020-06-21","Georgia",13,824,1
"2020-06-22","Georgia",13,1212,4
"2020-06-23","Georgia",13,1872,39
"2020-06-24","Georgia",13,1713,12
"2020-06-25","Georgia",13,1506,46
"2020-06-26","Georgia",13,1746,23
"2020-06-27","Georgia",13,1524,6
"2020-06-28","Georgia",13,1734,2
"2020-06-29","Georgia",13,2016,4
"2020-06-30","Georgia",13,2464,19
"2020-07-01","Georgia",13,2309,21
"2020-07-02","Georgia",13,2886,22
"2020-07-03","Georgia",13,2604,7
