"date","state","fips","cases","deaths"
"2020-03-06","Hawaii",15,1,0
"2020-03-07","Hawaii",15,0,0
"2020-03-08","Hawaii",15,1,0
"2020-03-09","Hawaii",15,0,0
"2020-03-10","Hawaii",15,0,0
"2020-03-11","Hawaii",15,0,0
"2020-03-12","Hawaii",15,0,0
"2020-03-13","Hawaii",15,0,0
"2020-03-14","Hawaii",15,2,0
"2020-03-15","Hawaii",15,3,0
"2020-03-16","Hawaii",15,3,0
"2020-03-17","Hawaii",15,4,0
"2020-03-18","Hawaii",15,2,0
"2020-03-19","Hawaii",15,10,0
"2020-03-20","Hawaii",15,11,0
"2020-03-21","Hawaii",15,11,0
"2020-03-22","Hawaii",15,8,0
"2020-03-23","Hawaii",15,21,0
"2020-03-24","Hawaii",15,13,0
"2020-03-25","Hawaii",15,5,0
"2020-03-26","Hawaii",15,11,0
"2020-03-27","Hawaii",15,14,0
"2020-03-28","Hawaii",15,31,0
"2020-03-29","Hawaii",15,24,0
"2020-03-30","Hawaii",15,29,0
"2020-03-31","Hawaii",15,20,1
"2020-04-01","Hawaii",15,34,0
"2020-04-02","Hawaii",15,25,1
"2020-04-03","Hawaii",15,34,1
"2020-04-04","Hawaii",15,32,0
"2020-04-05","Hawaii",15,20,1
"2020-04-06","Hawaii",15,16,1
"2020-04-07","Hawaii",15,23,0
"2020-04-08","Hawaii",15,25,0
"2020-04-09","Hawaii",15,7,1
"2020-04-10","Hawaii",15,23,2
"2020-04-11","Hawaii",15,21,0
"2020-04-12","Hawaii",15,13,1
"2020-04-13","Hawaii",15,5,0
"2020-04-14","Hawaii",15,9,0
"2020-04-15","Hawaii",15,13,0
"2020-04-16","Hawaii",15,11,0
"2020-04-17","Hawaii",15,12,0
"2020-04-18","Hawaii",15,21,0
"2020-04-19","Hawaii",15,6,1
"2020-04-20","Hawaii",15,4,0
"2020-04-21","Hawaii",15,2,2
"2020-04-22","Hawaii",15,6,0
"2020-04-23","Hawaii",15,4,0
"2020-04-24","Hawaii",15,5,1
"2020-04-25","Hawaii",15,2,1
"2020-04-26","Hawaii",15,2,0
"2020-04-27","Hawaii",15,1,2
"2020-04-28","Hawaii",15,2,0
"2020-04-29","Hawaii",15,3,0
"2020-04-30","Hawaii",15,4,0
"2020-05-01","Hawaii",15,1,0
"2020-05-02","Hawaii",15,1,0
"2020-05-03","Hawaii",15,0,1
"2020-05-04","Hawaii",15,1,0
"2020-05-05","Hawaii",15,3,0
"2020-05-06","Hawaii",15,1,0
"2020-05-07","Hawaii",15,3,0
"2020-05-08","Hawaii",15,0,0
"2020-05-09","Hawaii",15,1,0
"2020-05-10","Hawaii",15,1,0
"2020-05-11","Hawaii",15,2,0
"2020-05-12","Hawaii",15,1,0
"2020-05-13","Hawaii",15,3,0
"2020-05-14","Hawaii",15,0,0
"2020-05-15","Hawaii",15,1,0
"2020-05-16","Hawaii",15,1,0
"2020-05-17","Hawaii",15,1,0
"2020-05-18","Hawaii",15,0,0
"2020-05-19","Hawaii",15,1,0
"2020-05-20","Hawaii",15,2,0
