"date","state","fips","cases","deaths"
"2020-03-13","Idaho",16,1,0
"2020-03-14","Idaho",16,4,0
"2020-03-15","Idaho",16,0,0
"2020-03-16","Idaho",16,0,0
"2020-03-17","Idaho",16,4,0
"2020-03-18","Idaho",16,2,0
"2020-03-19","Idaho",16,12,0
"2020-03-20","Idaho",16,8,0
"2020-03-21","Idaho",16,11,0
"2020-03-22","Idaho",16,5,0
"2020-03-23","Idaho",16,3,0
"2020-03-24","Idaho",16,23,0
"2020-03-25","Idaho",16,50,0
"2020-03-26","Idaho",16,66,3
"2020-03-27","Idaho",16,43,1
"2020-03-28","Idaho",16,30,1
"2020-03-29","Idaho",16,48,1
"2020-03-30","Idaho",16,105,1
"2020-03-31","Idaho",16,111,2
"2020-04-01","Idaho",16,143,0
"2020-04-02","Idaho",16,222,0
"2020-04-03","Idaho",16,121,1
"2020-04-04","Idaho",16,64,0
"2020-04-05","Idaho",16,24,0
"2020-04-06","Idaho",16,70,3
"2020-04-07","Idaho",16,40,2
"2020-04-08","Idaho",16,22,4
"2020-04-09","Idaho",16,134,5
"2020-04-10","Idaho",16,59,1
"2020-04-11","Idaho",16,13,2
"2020-04-12","Idaho",16,19,0
"2020-04-13","Idaho",16,42,6
"2020-04-14","Idaho",16,39,6
"2020-04-15","Idaho",16,49,2
"2020-04-16","Idaho",16,22,0
"2020-04-17","Idaho",16,46,2
"2020-04-18","Idaho",16,13,1
"2020-04-19","Idaho",16,4,1
"2020-04-20","Idaho",16,64,3
"2020-04-21","Idaho",16,30,3
"2020-04-22","Idaho",16,36,3
"2020-04-23","Idaho",16,34,0
"2020-04-24","Idaho",16,34,0
"2020-04-25","Idaho",16,17,2
"2020-04-26","Idaho",16,10,0
"2020-04-27","Idaho",16,20,2
"2020-04-28","Idaho",16,35,2
"2020-04-29","Idaho",16,32,0
"2020-04-30","Idaho",16,32,3
"2020-05-01","Idaho",16,19,0
"2020-05-02","Idaho",16,26,1
"2020-05-03","Idaho",16,-2,0
"2020-05-04","Idaho",16,47,0
"2020-05-05","Idaho",16,21,2
"2020-05-06","Idaho",16,31,1
"2020-05-07","Idaho",16,20,0
"2020-05-08","Idaho",16,27,0
"2020-05-09","Idaho",16,25,0
"2020-05-10","Idaho",16,2,0
"2020-05-11","Idaho",16,29,2
"2020-05-12","Idaho",16,33,0
"2020-05-13","Idaho",16,31,0
"2020-05-14","Idaho",16,27,3
"2020-05-15","Idaho",16,37,1
"2020-05-16","Idaho",16,30,0
"2020-05-17","Idaho",16,2,0
"2020-05-18","Idaho",16,34,1
"2020-05-19","Idaho",16,21,3
"2020-05-20","Idaho",16,30,0
"2020-05-21","Idaho",16,28,0
"2020-05-22","Idaho",16,61,2
"2020-05-23","Idaho",16,31,0
"2020-05-24","Idaho",16,24,0
"2020-05-25","Idaho",16,14,0
"2020-05-26","Idaho",16,35,2
"2020-05-27","Idaho",16,32,1
"2020-05-28","Idaho",16,39,0
"2020-05-29","Idaho",16,34,0
"2020-05-30","Idaho",16,36,0
"2020-05-31","Idaho",16,15,0
"2020-06-01","Idaho",16,53,1
"2020-06-02","Idaho",16,27,0
"2020-06-03","Idaho",16,55,0
"2020-06-04","Idaho",16,64,0
"2020-06-05","Idaho",16,57,0
"2020-06-06","Idaho",16,28,0
"2020-06-07","Idaho",16,14,0
"2020-06-08","Idaho",16,44,0
"2020-06-09","Idaho",16,29,2
"2020-06-10","Idaho",16,36,0
"2020-06-11","Idaho",16,41,1
"2020-06-12","Idaho",16,51,1
"2020-06-13","Idaho",16,45,0
"2020-06-14","Idaho",16,14,1
"2020-06-15","Idaho",16,59,1
"2020-06-16","Idaho",16,71,0
"2020-06-17","Idaho",16,91,0
"2020-06-18","Idaho",16,110,1
"2020-06-19","Idaho",16,127,0
"2020-06-20","Idaho",16,135,0
"2020-06-21","Idaho",16,19,0
"2020-06-22","Idaho",16,242,0
"2020-06-23","Idaho",16,145,0
"2020-06-24","Idaho",16,238,1
"2020-06-25","Idaho",16,219,0
"2020-06-26","Idaho",16,280,0
"2020-06-27","Idaho",16,170,1
"2020-06-28","Idaho",16,224,-1
"2020-06-29","Idaho",16,227,0
"2020-06-30","Idaho",16,354,1
"2020-07-01","Idaho",16,255,0
"2020-07-02","Idaho",16,309,1
"2020-07-03","Idaho",16,346,1
"2020-07-04","Idaho",16,397,0
"2020-07-05","Idaho",16,368,0
"2020-07-06","Idaho",16,423,0
"2020-07-07","Idaho",16,360,0
"2020-07-08","Idaho",16,422,4
"2020-07-09","Idaho",16,594,3
"2020-07-10","Idaho",16,475,0
"2020-07-11","Idaho",16,511,1
"2020-07-12","Idaho",16,387,0
"2020-07-13","Idaho",16,560,0
"2020-07-14","Idaho",16,431,1
"2020-07-15","Idaho",16,637,8
"2020-07-16","Idaho",16,662,3
"2020-07-17","Idaho",16,618,5
"2020-07-18","Idaho",16,554,1
"2020-07-19","Idaho",16,527,0
"2020-07-20","Idaho",16,420,3
"2020-07-21","Idaho",16,519,4
"2020-07-22","Idaho",16,496,9
"2020-07-23","Idaho",16,467,6
"2020-07-24","Idaho",16,549,6
"2020-07-25","Idaho",16,509,2
"2020-07-26","Idaho",16,342,0
"2020-07-27","Idaho",16,574,9
"2020-07-28","Idaho",16,482,9
"2020-07-29","Idaho",16,492,8
"2020-07-30","Idaho",16,568,4
"2020-07-31","Idaho",16,475,13
"2020-08-01","Idaho",16,378,4
"2020-08-02","Idaho",16,234,0
"2020-08-03","Idaho",16,373,5
"2020-08-04","Idaho",16,519,12
"2020-08-05","Idaho",16,497,4
"2020-08-06","Idaho",16,656,9
"2020-08-07","Idaho",16,563,4
"2020-08-08","Idaho",16,520,5
"2020-08-09","Idaho",16,204,1
"2020-08-10","Idaho",16,470,2
"2020-08-11","Idaho",16,500,9
"2020-08-12","Idaho",16,513,3
"2020-08-13","Idaho",16,534,5
"2020-08-14","Idaho",16,498,11
"2020-08-15","Idaho",16,308,2
"2020-08-16","Idaho",16,174,0
"2020-08-17","Idaho",16,319,6
"2020-08-18","Idaho",16,373,8
"2020-08-19","Idaho",16,343,9
"2020-08-20","Idaho",16,423,7
"2020-08-21","Idaho",16,258,6
"2020-08-22","Idaho",16,298,2
"2020-08-23","Idaho",16,165,1
"2020-08-24","Idaho",16,287,7
"2020-08-25","Idaho",16,388,13
"2020-08-26","Idaho",16,320,9
"2020-08-27","Idaho",16,358,6
"2020-08-28","Idaho",16,317,14
"2020-08-29","Idaho",16,231,2
"2020-08-30","Idaho",16,160,1
"2020-08-31","Idaho",16,222,4
"2020-09-01","Idaho",16,447,6
"2020-09-02","Idaho",16,356,4
"2020-09-03","Idaho",16,302,1
"2020-09-04","Idaho",16,267,11
"2020-09-05","Idaho",16,256,0
"2020-09-06","Idaho",16,169,1
"2020-09-07","Idaho",16,100,0
"2020-09-08","Idaho",16,308,3
"2020-09-09","Idaho",16,246,16
"2020-09-10","Idaho",16,320,1
"2020-09-11","Idaho",16,327,8
"2020-09-12","Idaho",16,234,1
"2020-09-13","Idaho",16,105,0
"2020-09-14","Idaho",16,291,4
"2020-09-15","Idaho",16,322,5
"2020-09-16","Idaho",16,288,5
"2020-09-17","Idaho",16,330,5
"2020-09-18","Idaho",16,434,4
"2020-09-19","Idaho",16,266,2
"2020-09-20","Idaho",16,144,2
"2020-09-21","Idaho",16,428,4
"2020-09-22","Idaho",16,480,5
"2020-09-23","Idaho",16,354,2
"2020-09-24","Idaho",16,517,4
"2020-09-25","Idaho",16,681,0
"2020-09-26","Idaho",16,183,2
"2020-09-27","Idaho",16,90,0
"2020-09-28","Idaho",16,885,0
"2020-09-29","Idaho",16,468,6
"2020-09-30","Idaho",16,695,3
"2020-10-01","Idaho",16,366,4
"2020-10-02","Idaho",16,613,5
"2020-10-03","Idaho",16,174,2
"2020-10-04","Idaho",16,262,2
"2020-10-05","Idaho",16,868,5
"2020-10-06","Idaho",16,655,7
"2020-10-07","Idaho",16,746,8
"2020-10-08","Idaho",16,615,2
"2020-10-09","Idaho",16,826,2
"2020-10-10","Idaho",16,253,2
"2020-10-11","Idaho",16,228,0
"2020-10-12","Idaho",16,508,3
"2020-10-13","Idaho",16,1324,3
"2020-10-14","Idaho",16,547,6
"2020-10-15","Idaho",16,937,1
"2020-10-16","Idaho",16,763,8
"2020-10-17","Idaho",16,348,3
"2020-10-18","Idaho",16,510,0
"2020-10-19","Idaho",16,1031,3
"2020-10-20","Idaho",16,1030,6
"2020-10-21","Idaho",16,769,10
"2020-10-22","Idaho",16,1022,9
"2020-10-23","Idaho",16,1139,8
"2020-10-24","Idaho",16,881,5
"2020-10-25","Idaho",16,380,1
"2020-10-26","Idaho",16,1056,8
"2020-10-27","Idaho",16,882,6
"2020-10-28","Idaho",16,915,12
"2020-10-29","Idaho",16,998,18
"2020-10-30","Idaho",16,980,9
"2020-10-31","Idaho",16,622,3
"2020-11-01","Idaho",16,475,1
"2020-11-02","Idaho",16,977,10
"2020-11-03","Idaho",16,1255,8
"2020-11-04","Idaho",16,1287,16
"2020-11-05","Idaho",16,1214,8
"2020-11-06","Idaho",16,1491,12
"2020-11-07","Idaho",16,1032,0
"2020-11-08","Idaho",16,684,6
"2020-11-09","Idaho",16,1501,13
"2020-11-10","Idaho",16,1297,16
