"date","state","fips","cases","deaths"
"2020-03-08","Iowa",19,3,0
"2020-03-09","Iowa",19,5,0
"2020-03-10","Iowa",19,5,0
"2020-03-11","Iowa",19,1,0
"2020-03-12","Iowa",19,2,0
"2020-03-13","Iowa",19,1,0
"2020-03-14","Iowa",19,1,0
"2020-03-15","Iowa",19,4,0
"2020-03-16","Iowa",19,0,0
"2020-03-17","Iowa",19,7,0
"2020-03-18","Iowa",19,9,0
"2020-03-19","Iowa",19,6,0
"2020-03-20","Iowa",19,1,0
"2020-03-21","Iowa",19,23,0
"2020-03-22","Iowa",19,22,0
"2020-03-23","Iowa",19,15,0
"2020-03-24","Iowa",19,19,1
"2020-03-25","Iowa",19,23,0
"2020-03-26","Iowa",19,32,0
"2020-03-27","Iowa",19,57,2
"2020-03-28","Iowa",19,62,0
"2020-03-29","Iowa",19,38,1
"2020-03-30","Iowa",19,88,2
"2020-03-31","Iowa",19,74,1
"2020-04-01","Iowa",19,51,2
"2020-04-02","Iowa",19,65,2
"2020-04-03","Iowa",19,85,0
"2020-04-04","Iowa",19,87,0
"2020-04-05","Iowa",19,82,11
"2020-04-06","Iowa",19,78,3
"2020-04-07","Iowa",19,102,1
"2020-04-08","Iowa",19,97,1
"2020-04-09","Iowa",19,125,0
"2020-04-10","Iowa",19,118,4
"2020-04-11","Iowa",19,122,3
"2020-04-12","Iowa",19,77,7
"2020-04-13","Iowa",19,123,3
"2020-04-14","Iowa",19,189,0
"2020-04-15","Iowa",19,96,9
"2020-04-16","Iowa",19,146,7
"2020-04-17","Iowa",19,191,4
"2020-04-18","Iowa",19,181,10
"2020-04-19","Iowa",19,402,1
"2020-04-20","Iowa",19,260,4
"2020-04-21","Iowa",19,466,4
"2020-04-22","Iowa",19,123,7
"2020-04-23","Iowa",19,175,6
"2020-04-24","Iowa",19,520,11
"2020-04-25","Iowa",19,650,5
"2020-04-26","Iowa",19,381,6
"2020-04-27","Iowa",19,378,9
"2020-04-28","Iowa",19,508,9
"2020-04-29","Iowa",19,467,12
"2020-04-30","Iowa",19,302,14
"2020-05-01","Iowa",19,738,8
"2020-05-02","Iowa",19,758,5
"2020-05-03","Iowa",19,528,9
"2020-05-04","Iowa",19,534,4
"2020-05-05","Iowa",19,408,19
"2020-05-06","Iowa",19,293,12
"2020-05-07","Iowa",19,655,12
"2020-05-08","Iowa",19,398,12
"2020-05-09","Iowa",19,214,9
"2020-05-10","Iowa",19,288,13
"2020-05-11","Iowa",19,414,6
"2020-05-12","Iowa",19,539,18
"2020-05-13","Iowa",19,377,17
"2020-05-14","Iowa",19,386,12
"2020-05-15","Iowa",19,374,18
"2020-05-16","Iowa",19,279,10
"2020-05-17","Iowa",19,323,5
"2020-05-18","Iowa",19,304,4
"2020-05-19","Iowa",19,341,12
"2020-05-20","Iowa",19,572,33
"2020-05-21","Iowa",19,302,14
"2020-05-22","Iowa",19,340,27
"2020-05-23","Iowa",19,388,5
"2020-05-24","Iowa",19,536,10
"2020-05-25","Iowa",19,194,4
"2020-05-26","Iowa",19,371,20
"2020-05-27","Iowa",19,447,16
"2020-05-28","Iowa",19,226,14
"2020-05-29","Iowa",19,347,15
"2020-05-30","Iowa",19,317,6
"2020-05-31","Iowa",19,285,6
"2020-06-01","Iowa",19,168,21
"2020-06-02","Iowa",19,228,6
"2020-06-03","Iowa",19,359,10
"2020-06-04","Iowa",19,567,16
"2020-06-05","Iowa",19,389,7
"2020-06-06","Iowa",19,195,5
"2020-06-07","Iowa",19,267,4
"2020-06-08","Iowa",19,317,17
"2020-06-09","Iowa",19,160,6
"2020-06-10","Iowa",19,462,9
"2020-06-11","Iowa",19,370,3
"2020-06-12","Iowa",19,352,9
"2020-06-13","Iowa",19,337,1
"2020-06-14","Iowa",19,167,1
"2020-06-15","Iowa",19,151,9
"2020-06-16","Iowa",19,153,9
"2020-06-17","Iowa",19,353,7
"2020-06-18","Iowa",19,343,3
"2020-06-19","Iowa",19,465,1
"2020-06-20","Iowa",19,128,4
"2020-06-21","Iowa",19,468,1
"2020-06-22","Iowa",19,197,1
"2020-06-23","Iowa",19,253,3
"2020-06-24","Iowa",19,427,4
"2020-06-25","Iowa",19,487,8
"2020-06-26","Iowa",19,444,2
"2020-06-27","Iowa",19,375,0
"2020-06-28","Iowa",19,317,2
"2020-06-29","Iowa",19,354,6
"2020-06-30","Iowa",19,278,5
"2020-07-01","Iowa",19,466,0
"2020-07-02","Iowa",19,641,2
"2020-07-03","Iowa",19,372,2
"2020-07-04","Iowa",19,536,0
"2020-07-05","Iowa",19,445,0
"2020-07-06","Iowa",19,152,4
"2020-07-07","Iowa",19,389,7
"2020-07-08","Iowa",19,563,7
"2020-07-09","Iowa",19,600,3
"2020-07-10","Iowa",19,916,6
"2020-07-11","Iowa",19,463,0
"2020-07-12","Iowa",19,715,4
"2020-07-13","Iowa",19,221,3
"2020-07-14","Iowa",19,311,4
"2020-07-15","Iowa",19,594,18
"2020-07-16","Iowa",19,878,4
"2020-07-17","Iowa",19,489,4
"2020-07-18","Iowa",19,411,5
"2020-07-19","Iowa",19,499,3
"2020-07-20","Iowa",19,530,5
"2020-07-21","Iowa",19,378,10
"2020-07-22","Iowa",19,487,6
"2020-07-23","Iowa",19,588,6
"2020-07-24","Iowa",19,638,6
"2020-07-25","Iowa",19,452,0
"2020-07-26","Iowa",19,471,3
"2020-07-27","Iowa",19,339,7
"2020-07-28","Iowa",19,232,3
"2020-07-29","Iowa",19,695,15
"2020-07-30","Iowa",19,662,11
"2020-07-31","Iowa",19,468,7
"2020-08-01","Iowa",19,540,2
"2020-08-02","Iowa",19,430,4
"2020-08-03","Iowa",19,182,6
"2020-08-04","Iowa",19,326,4
"2020-08-05","Iowa",19,605,12
"2020-08-06","Iowa",19,723,12
"2020-08-07","Iowa",19,361,3
"2020-08-08","Iowa",19,391,11
"2020-08-09","Iowa",19,608,5
"2020-08-10","Iowa",19,245,4
"2020-08-11","Iowa",19,357,11
"2020-08-12","Iowa",19,452,7
"2020-08-13","Iowa",19,705,11
"2020-08-14","Iowa",19,594,8
"2020-08-15","Iowa",19,793,3
"2020-08-16","Iowa",19,382,0
"2020-08-17","Iowa",19,382,12
"2020-08-18","Iowa",19,372,15
"2020-08-19","Iowa",19,340,9
"2020-08-20","Iowa",19,992,5
"2020-08-21","Iowa",19,798,14
"2020-08-22","Iowa",19,665,3
"2020-08-23","Iowa",19,445,4
"2020-08-24","Iowa",19,500,10
"2020-08-25","Iowa",19,665,12
"2020-08-26","Iowa",19,1258,18
"2020-08-27","Iowa",19,2620,14
