"date","state","fips","cases","deaths"
"2020-03-06","Kentucky",21,1,0
"2020-03-07","Kentucky",21,0,0
"2020-03-08","Kentucky",21,3,0
"2020-03-09","Kentucky",21,1,0
"2020-03-10","Kentucky",21,2,0
"2020-03-11","Kentucky",21,0,0
"2020-03-12","Kentucky",21,4,0
"2020-03-13","Kentucky",21,0,0
"2020-03-14","Kentucky",21,7,0
"2020-03-15","Kentucky",21,3,0
"2020-03-16","Kentucky",21,1,1
"2020-03-17","Kentucky",21,4,0
"2020-03-18","Kentucky",21,9,0
"2020-03-19","Kentucky",21,12,1
"2020-03-20","Kentucky",21,16,0
"2020-03-21","Kentucky",21,21,1
"2020-03-22","Kentucky",21,19,0
"2020-03-23","Kentucky",21,21,0
"2020-03-24","Kentucky",21,33,0
"2020-03-25","Kentucky",21,41,2
"2020-03-26","Kentucky",21,50,0
"2020-03-27","Kentucky",21,54,3
"2020-03-28","Kentucky",21,92,1
"2020-03-29","Kentucky",21,45,0
"2020-03-30","Kentucky",21,41,2
"2020-03-31","Kentucky",21,110,7
"2020-04-01","Kentucky",21,84,2
"2020-04-02","Kentucky",21,73,14
"2020-04-03","Kentucky",21,15,0
"2020-04-04","Kentucky",21,147,6
"2020-04-05","Kentucky",21,139,4
"2020-04-06","Kentucky",21,9,8
"2020-04-07","Kentucky",21,232,14
"2020-04-08","Kentucky",21,104,7
"2020-04-09","Kentucky",21,132,11
"2020-04-10","Kentucky",21,177,6
"2020-04-11","Kentucky",21,149,4
"2020-04-12","Kentucky",21,112,4
"2020-04-13","Kentucky",21,85,8
"2020-04-14","Kentucky",21,162,9
"2020-04-15","Kentucky",21,85,9
"2020-04-16","Kentucky",21,134,7
"2020-04-17","Kentucky",21,93,9
"2020-04-18","Kentucky",21,185,5
"2020-04-19","Kentucky",21,253,4
"2020-04-20","Kentucky",21,90,6
"2020-04-21","Kentucky",21,143,17
"2020-04-22","Kentucky",21,180,13
"2020-04-23","Kentucky",21,175,9
"2020-04-24","Kentucky",21,231,9
"2020-04-25","Kentucky",21,126,5
"2020-04-26","Kentucky",21,169,3
"2020-04-27","Kentucky",21,72,5
"2020-04-28","Kentucky",21,229,15
"2020-04-29","Kentucky",21,163,4
"2020-04-30","Kentucky",21,170,5
"2020-05-01","Kentucky",21,171,8
"2020-05-02","Kentucky",21,2,4
"2020-05-03","Kentucky",21,342,4
"2020-05-04","Kentucky",21,147,11
"2020-05-05","Kentucky",21,452,11
"2020-05-06","Kentucky",21,124,8
"2020-05-07","Kentucky",21,227,16
"2020-05-08","Kentucky",21,125,2
"2020-05-09","Kentucky",21,171,8
"2020-05-10","Kentucky",21,17,0
"2020-05-11","Kentucky",21,224,13
"2020-05-12","Kentucky",21,293,8
"2020-05-13","Kentucky",21,99,1
"2020-05-14","Kentucky",21,295,7
"2020-05-15","Kentucky",21,181,2
"2020-05-16","Kentucky",21,195,3
"2020-05-17","Kentucky",21,20,0
"2020-05-18","Kentucky",21,248,8
"2020-05-19","Kentucky",21,164,15
"2020-05-20","Kentucky",21,131,12
"2020-05-21","Kentucky",21,139,12
"2020-05-22","Kentucky",21,213,5
"2020-05-23","Kentucky",21,124,1
"2020-05-24","Kentucky",21,30,0
"2020-05-25","Kentucky",21,57,4
"2020-05-26","Kentucky",21,276,4
"2020-05-27","Kentucky",21,138,13
"2020-05-28","Kentucky",21,197,4
"2020-05-29","Kentucky",21,178,10
"2020-05-30","Kentucky",21,199,7
"2020-05-31","Kentucky",21,50,0
"2020-06-01","Kentucky",21,213,4
"2020-06-02","Kentucky",21,137,6
"2020-06-03","Kentucky",21,198,7
"2020-06-04","Kentucky",21,296,11
"2020-06-05","Kentucky",21,270,7
"2020-06-06","Kentucky",21,308,4
"2020-06-07","Kentucky",21,34,1
"2020-06-08","Kentucky",21,308,6
"2020-06-09","Kentucky",21,190,7
"2020-06-10","Kentucky",21,138,4
"2020-06-11","Kentucky",21,99,15
"2020-06-12","Kentucky",21,224,12
"2020-06-13","Kentucky",21,253,2
"2020-06-14","Kentucky",21,47,0
"2020-06-15","Kentucky",21,211,-3
"2020-06-16","Kentucky",21,36,6
"2020-06-17","Kentucky",21,291,6
"2020-06-18","Kentucky",21,201,4
"2020-06-19","Kentucky",21,238,2
"2020-06-20","Kentucky",21,171,0
"2020-06-21","Kentucky",21,119,2
"2020-06-22","Kentucky",21,154,5
"2020-06-23","Kentucky",21,250,10
"2020-06-24","Kentucky",21,199,2
"2020-06-25","Kentucky",21,271,8
"2020-06-26","Kentucky",21,240,6
"2020-06-27","Kentucky",21,304,0
"2020-06-28","Kentucky",21,143,2
"2020-06-29","Kentucky",21,177,7
"2020-06-30","Kentucky",21,259,4
"2020-07-01","Kentucky",21,198,9
"2020-07-02","Kentucky",21,256,8
"2020-07-03","Kentucky",21,285,3
"2020-07-04","Kentucky",21,54,0
"2020-07-05","Kentucky",21,3,0
"2020-07-06","Kentucky",21,752,13
"2020-07-07","Kentucky",21,356,9
"2020-07-08","Kentucky",21,384,4
"2020-07-09","Kentucky",21,372,6
"2020-07-10","Kentucky",21,500,7
"2020-07-11","Kentucky",21,454,0
"2020-07-12","Kentucky",21,232,2
"2020-07-13","Kentucky",21,365,7
"2020-07-14","Kentucky",21,575,9
"2020-07-15","Kentucky",21,446,3
"2020-07-16","Kentucky",21,469,7
"2020-07-17","Kentucky",21,545,12
"2020-07-18","Kentucky",21,588,1
"2020-07-19","Kentucky",21,850,3
"2020-07-20","Kentucky",21,378,3
"2020-07-21","Kentucky",21,660,1
"2020-07-22","Kentucky",21,531,5
"2020-07-23","Kentucky",21,659,6
"2020-07-24","Kentucky",21,800,9
"2020-07-25","Kentucky",21,767,2
"2020-07-26","Kentucky",21,287,1
"2020-07-27","Kentucky",21,568,8
"2020-07-28","Kentucky",21,626,9
"2020-07-29","Kentucky",21,603,11
"2020-07-30","Kentucky",21,653,2
"2020-07-31","Kentucky",21,849,5
"2020-08-01","Kentucky",21,631,5
"2020-08-02","Kentucky",21,354,1
"2020-08-03","Kentucky",21,534,3
"2020-08-04","Kentucky",21,709,7
"2020-08-05","Kentucky",21,614,2
"2020-08-06","Kentucky",21,612,9
"2020-08-07","Kentucky",21,712,5
"2020-08-08","Kentucky",21,839,5
"2020-08-09","Kentucky",21,330,0
"2020-08-10","Kentucky",21,423,4
"2020-08-11","Kentucky",21,698,9
"2020-08-12","Kentucky",21,1109,6
"2020-08-13","Kentucky",21,760,8
"2020-08-14","Kentucky",21,706,5
"2020-08-15","Kentucky",21,665,7
"2020-08-16","Kentucky",21,206,3
"2020-08-17","Kentucky",21,727,7
"2020-08-18","Kentucky",21,660,19
"2020-08-19","Kentucky",21,688,8
"2020-08-20","Kentucky",21,742,15
"2020-08-21","Kentucky",21,732,6
"2020-08-22","Kentucky",21,793,12
"2020-08-23","Kentucky",21,176,2
"2020-08-24","Kentucky",21,656,8
"2020-08-25","Kentucky",21,741,9
"2020-08-26","Kentucky",21,744,9
"2020-08-27","Kentucky",21,780,10
"2020-08-28","Kentucky",21,615,8
"2020-08-29","Kentucky",21,977,6
"2020-08-30","Kentucky",21,256,4
"2020-08-31","Kentucky",21,714,10
"2020-09-01","Kentucky",21,878,18
"2020-09-02","Kentucky",21,942,25
"2020-09-03","Kentucky",21,1363,13
"2020-09-04","Kentucky",21,1433,7
"2020-09-05","Kentucky",21,516,5
"2020-09-06","Kentucky",21,156,2
