"date","state","fips","cases","deaths"
"2020-03-12","Maine",23,1,0
"2020-03-13","Maine",23,1,0
"2020-03-14","Maine",23,1,0
"2020-03-15","Maine",23,9,0
"2020-03-16","Maine",23,5,0
"2020-03-17","Maine",23,15,0
"2020-03-18","Maine",23,11,0
"2020-03-19","Maine",23,9,0
"2020-03-20","Maine",23,5,0
"2020-03-21","Maine",23,13,0
"2020-03-22","Maine",23,19,0
"2020-03-23","Maine",23,18,0
"2020-03-24","Maine",23,11,0
"2020-03-25","Maine",23,24,0
"2020-03-26","Maine",23,13,0
"2020-03-27","Maine",23,13,1
"2020-03-28","Maine",23,43,0
"2020-03-29","Maine",23,42,2
"2020-03-30","Maine",23,22,0
"2020-03-31","Maine",23,28,2
"2020-04-01","Maine",23,41,2
"2020-04-02","Maine",23,32,0
"2020-04-03","Maine",23,56,2
"2020-04-04","Maine",23,24,1
"2020-04-05","Maine",23,14,0
"2020-04-06","Maine",23,29,0
"2020-04-07","Maine",23,20,2
"2020-04-08","Maine",23,18,2
"2020-04-09","Maine",23,23,2
"2020-04-10","Maine",23,26,1
"2020-04-11","Maine",23,30,2
"2020-04-12","Maine",23,17,0
"2020-04-13","Maine",23,65,0
"2020-04-14","Maine",23,36,1
"2020-04-15","Maine",23,36,4
"2020-04-16","Maine",23,26,3
"2020-04-17","Maine",23,31,2
"2020-04-18","Maine",23,20,3
"2020-04-19","Maine",23,20,2
"2020-04-20","Maine",23,8,1
"2020-04-21","Maine",23,13,1
"2020-04-22","Maine",23,19,3
"2020-04-23","Maine",23,30,5
"2020-04-24","Maine",23,28,3
"2020-04-25","Maine",23,25,3
"2020-04-26","Maine",23,25,0
"2020-04-27","Maine",23,8,1
"2020-04-28","Maine",23,17,0
"2020-04-29","Maine",23,16,1
"2020-04-30","Maine",23,39,1
"2020-05-01","Maine",23,28,2
"2020-05-02","Maine",23,29,1
"2020-05-03","Maine",23,33,1
"2020-05-04","Maine",23,20,0
"2020-05-05","Maine",23,21,4
"2020-05-06","Maine",23,28,1
"2020-05-07","Maine",23,76,0
"2020-05-08","Maine",23,44,1
"2020-05-09","Maine",23,34,1
"2020-05-10","Maine",23,28,0
"2020-05-11","Maine",23,26,1
"2020-05-12","Maine",23,15,0
"2020-05-13","Maine",23,38,1
"2020-05-14","Maine",23,50,3
"2020-05-15","Maine",23,38,0
"2020-05-16","Maine",23,45,1
"2020-05-17","Maine",23,39,0
"2020-05-18","Maine",23,26,1
"2020-05-19","Maine",23,28,2
"2020-05-20","Maine",23,78,0
"2020-05-21","Maine",23,58,0
"2020-05-22","Maine",23,71,2
"2020-05-23","Maine",23,65,2
"2020-05-24","Maine",23,42,1
"2020-05-25","Maine",23,19,0
"2020-05-26","Maine",23,35,1
"2020-05-27","Maine",23,28,2
"2020-05-28","Maine",23,52,3
"2020-05-29","Maine",23,37,1
"2020-05-30","Maine",23,56,4
"2020-05-31","Maine",23,43,0
"2020-06-01","Maine",23,24,0
"2020-06-02","Maine",23,28,5
"2020-06-03","Maine",23,41,1
"2020-06-04","Maine",23,28,0
"2020-06-05","Maine",23,36,3
"2020-06-06","Maine",23,42,0
"2020-06-07","Maine",23,46,1
"2020-06-08","Maine",23,18,0
"2020-06-09","Maine",23,18,1
"2020-06-10","Maine",23,31,0
"2020-06-11","Maine",23,30,0
"2020-06-12","Maine",23,54,0
"2020-06-13","Maine",23,36,0
"2020-06-14","Maine",23,36,0
"2020-06-15","Maine",23,17,1
"2020-06-16","Maine",23,9,0
"2020-06-17","Maine",23,17,1
"2020-06-18","Maine",23,42,0
"2020-06-19","Maine",23,35,0
"2020-06-20","Maine",23,25,0
"2020-06-21","Maine",23,19,0
