"date","state","fips","cases","deaths"
"2020-03-05","Maryland",24,3,0
"2020-03-06","Maryland",24,0,0
"2020-03-07","Maryland",24,0,0
"2020-03-08","Maryland",24,2,0
"2020-03-09","Maryland",24,1,0
"2020-03-10","Maryland",24,3,0
"2020-03-11","Maryland",24,4,0
"2020-03-12","Maryland",24,0,0
"2020-03-13","Maryland",24,5,0
"2020-03-14","Maryland",24,9,0
"2020-03-15","Maryland",24,5,0
"2020-03-16","Maryland",24,7,0
"2020-03-17","Maryland",24,18,0
"2020-03-18","Maryland",24,28,1
"2020-03-19","Maryland",24,23,0
"2020-03-20","Maryland",24,42,1
"2020-03-21","Maryland",24,45,1
"2020-03-22","Maryland",24,50,0
"2020-03-23","Maryland",24,45,0
"2020-03-24","Maryland",24,59,1
"2020-03-25","Maryland",24,74,0
"2020-03-26","Maryland",24,158,0
"2020-03-27","Maryland",24,209,1
"2020-03-28","Maryland",24,276,5
"2020-03-29","Maryland",24,178,1
"2020-03-30","Maryland",24,171,4
"2020-03-31","Maryland",24,247,3
"2020-04-01","Maryland",24,323,15
"2020-04-02","Maryland",24,346,3
"2020-04-03","Maryland",24,427,6
"2020-04-04","Maryland",24,367,12
"2020-04-05","Maryland",24,484,14
"2020-04-06","Maryland",24,436,24
"2020-04-07","Maryland",24,326,12
"2020-04-08","Maryland",24,1158,20
"2020-04-09","Maryland",24,656,15
"2020-04-10","Maryland",24,783,33
"2020-04-11","Maryland",24,726,35
"2020-04-12","Maryland",24,531,29
"2020-04-13","Maryland",24,711,26
"2020-04-14","Maryland",24,536,40
"2020-04-15","Maryland",24,624,111
"2020-04-16","Maryland",24,755,46
"2020-04-17","Maryland",24,790,35
"2020-04-18","Maryland",24,738,40
"2020-04-19","Maryland",24,513,14
"2020-04-20","Maryland",24,858,34
"2020-04-21","Maryland",24,511,70
"2020-04-22","Maryland",24,581,46
"2020-04-23","Maryland",24,963,50
"2020-04-24","Maryland",24,888,50
"2020-04-25","Maryland",24,1151,77
"2020-04-26","Maryland",24,820,35
"2020-04-27","Maryland",24,910,35
"2020-04-28","Maryland",24,626,71
"2020-04-29","Maryland",24,742,62
"2020-04-30","Maryland",24,883,61
"2020-05-01","Maryland",24,1741,53
"2020-05-02","Maryland",24,1002,59
"2020-05-03","Maryland",24,993,30
"2020-05-04","Maryland",24,948,36
"2020-05-05","Maryland",24,708,73
"2020-05-06","Maryland",24,1046,53
"2020-05-07","Maryland",24,1213,60
"2020-05-08","Maryland",24,1116,57
"2020-05-09","Maryland",24,1046,54
"2020-05-10","Maryland",24,1055,30
"2020-05-11","Maryland",24,790,39
"2020-05-12","Maryland",24,691,73
"2020-05-13","Maryland",24,753,53
"2020-05-14","Maryland",24,1094,57
"2020-05-15","Maryland",24,1084,45
"2020-05-16","Maryland",24,978,46
"2020-05-17","Maryland",24,837,35
"2020-05-18","Maryland",24,962,31
"2020-05-19","Maryland",24,1782,58
"2020-05-20","Maryland",24,778,42
"2020-05-21","Maryland",24,1203,36
"2020-05-22","Maryland",24,894,48
"2020-05-23","Maryland",24,1069,36
"2020-05-24","Maryland",24,1311,34
"2020-05-25","Maryland",24,835,25
"2020-05-26","Maryland",24,536,31
"2020-05-27","Maryland",24,752,59
"2020-05-28","Maryland",24,1292,36
"2020-05-29","Maryland",24,1297,38
"2020-05-30","Maryland",24,1031,43
"2020-05-31","Maryland",24,794,23
"2020-06-01","Maryland",24,579,20
"2020-06-02","Maryland",24,796,45
"2020-06-03","Maryland",24,786,44
"2020-06-04","Maryland",24,873,27
"2020-06-05","Maryland",24,917,34
"2020-06-06","Maryland",24,692,38
"2020-06-07","Maryland",24,494,9
"2020-06-08","Maryland",24,431,27
"2020-06-09","Maryland",24,519,35
"2020-06-10","Maryland",24,571,33
"2020-06-11","Maryland",24,709,31
"2020-06-12","Maryland",24,439,25
"2020-06-13","Maryland",24,673,26
"2020-06-14","Maryland",24,393,13
"2020-06-15","Maryland",24,325,8
"2020-06-16","Maryland",24,351,35
"2020-06-17","Maryland",24,561,14
"2020-06-18","Maryland",24,274,20
"2020-06-19","Maryland",24,311,14
"2020-06-20","Maryland",24,415,22
"2020-06-21","Maryland",24,338,14
"2020-06-22","Maryland",24,299,8
"2020-06-23","Maryland",24,400,18
"2020-06-24","Maryland",24,332,16
"2020-06-25","Maryland",24,463,21
"2020-06-26","Maryland",24,307,13
"2020-06-27","Maryland",24,328,15
"2020-06-28","Maryland",24,328,11
"2020-06-29","Maryland",24,477,7
"2020-06-30","Maryland",24,315,15
"2020-07-01","Maryland",24,350,15
"2020-07-02","Maryland",24,513,7
"2020-07-03","Maryland",24,407,11
"2020-07-04","Maryland",24,302,13
"2020-07-05","Maryland",24,233,7
"2020-07-06","Maryland",24,540,3
"2020-07-07","Maryland",24,489,20
"2020-07-08","Maryland",24,469,9
"2020-07-09","Maryland",24,582,13
"2020-07-10","Maryland",24,466,15
"2020-07-11","Maryland",24,557,7
"2020-07-12","Maryland",24,645,9
"2020-07-13","Maryland",24,419,6
"2020-07-14","Maryland",24,712,9
"2020-07-15","Maryland",24,740,7
"2020-07-16","Maryland",24,661,6
"2020-07-17","Maryland",24,704,12
"2020-07-18","Maryland",24,832,9
"2020-07-19","Maryland",24,925,9
"2020-07-20","Maryland",24,553,5
"2020-07-21","Maryland",24,860,20
"2020-07-22","Maryland",24,627,3
"2020-07-23","Maryland",24,658,4
"2020-07-24","Maryland",24,930,13
"2020-07-25","Maryland",24,1291,11
"2020-07-26","Maryland",24,689,7
"2020-07-27","Maryland",24,1130,7
"2020-07-28","Maryland",24,655,11
"2020-07-29","Maryland",24,755,20
"2020-07-30","Maryland",24,894,10
"2020-07-31","Maryland",24,1167,5
"2020-08-01","Maryland",24,1018,13
"2020-08-02","Maryland",24,910,9
"2020-08-03","Maryland",24,870,8
"2020-08-04","Maryland",24,711,7
"2020-08-05","Maryland",24,584,6
"2020-08-06","Maryland",24,598,15
"2020-08-07","Maryland",24,797,14
"2020-08-08","Maryland",24,762,12
"2020-08-09","Maryland",24,908,8
"2020-08-10","Maryland",24,756,6
"2020-08-11","Maryland",24,582,13
"2020-08-12","Maryland",24,556,8
"2020-08-13","Maryland",24,769,8
"2020-08-14","Maryland",24,702,11
"2020-08-15","Maryland",24,807,5
"2020-08-16","Maryland",24,535,3
"2020-08-17","Maryland",24,504,2
"2020-08-18","Maryland",24,504,9
"2020-08-19","Maryland",24,435,11
"2020-08-20","Maryland",24,568,8
"2020-08-21","Maryland",24,678,5
"2020-08-22","Maryland",24,579,11
"2020-08-23","Maryland",24,578,6
"2020-08-24","Maryland",24,550,3
"2020-08-25","Maryland",24,386,13
"2020-08-26","Maryland",24,442,10
"2020-08-27","Maryland",24,562,5
"2020-08-28","Maryland",24,588,14
"2020-08-29","Maryland",24,644,10
"2020-08-30","Maryland",24,496,6
"2020-08-31","Maryland",24,456,3
"2020-09-01","Maryland",24,611,6
"2020-09-02","Maryland",24,455,5
"2020-09-03","Maryland",24,696,12
"2020-09-04","Maryland",24,828,11
