"date","state","fips","cases","deaths"
"2020-02-01","Massachusetts",25,1,0
"2020-02-02","Massachusetts",25,0,0
"2020-02-03","Massachusetts",25,0,0
"2020-02-04","Massachusetts",25,0,0
"2020-02-05","Massachusetts",25,0,0
"2020-02-06","Massachusetts",25,0,0
"2020-02-07","Massachusetts",25,0,0
"2020-02-08","Massachusetts",25,0,0
"2020-02-09","Massachusetts",25,0,0
"2020-02-10","Massachusetts",25,0,0
"2020-02-11","Massachusetts",25,0,0
"2020-02-12","Massachusetts",25,0,0
"2020-02-13","Massachusetts",25,0,0
"2020-02-14","Massachusetts",25,0,0
"2020-02-15","Massachusetts",25,0,0
"2020-02-16","Massachusetts",25,0,0
"2020-02-17","Massachusetts",25,0,0
"2020-02-18","Massachusetts",25,0,0
"2020-02-19","Massachusetts",25,0,0
"2020-02-20","Massachusetts",25,0,0
"2020-02-21","Massachusetts",25,0,0
"2020-02-22","Massachusetts",25,0,0
"2020-02-23","Massachusetts",25,0,0
"2020-02-24","Massachusetts",25,0,0
"2020-02-25","Massachusetts",25,0,0
"2020-02-26","Massachusetts",25,0,0
"2020-02-27","Massachusetts",25,0,0
"2020-02-28","Massachusetts",25,0,0
"2020-02-29","Massachusetts",25,0,0
"2020-03-01","Massachusetts",25,0,0
"2020-03-02","Massachusetts",25,1,0
"2020-03-03","Massachusetts",25,0,0
"2020-03-04","Massachusetts",25,0,0
"2020-03-05","Massachusetts",25,1,0
"2020-03-06","Massachusetts",25,5,0
"2020-03-07","Massachusetts",25,5,0
"2020-03-08","Massachusetts",25,15,0
"2020-03-09","Massachusetts",25,13,0
"2020-03-10","Massachusetts",25,51,0
"2020-03-11","Massachusetts",25,3,0
"2020-03-12","Massachusetts",25,13,0
"2020-03-13","Massachusetts",25,15,0
"2020-03-14","Massachusetts",25,15,0
"2020-03-15","Massachusetts",25,26,0
"2020-03-16","Massachusetts",25,33,0
"2020-03-17","Massachusetts",25,21,0
"2020-03-18","Massachusetts",25,38,0
"2020-03-19","Massachusetts",25,72,0
"2020-03-20","Massachusetts",25,85,1
"2020-03-21","Massachusetts",25,112,1
"2020-03-22","Massachusetts",25,121,3
"2020-03-23","Massachusetts",25,131,4
"2020-03-24","Massachusetts",25,382,2
"2020-03-25","Massachusetts",25,679,4
"2020-03-26","Massachusetts",25,579,10
"2020-03-27","Massachusetts",25,823,10
"2020-03-28","Massachusetts",25,1017,9
"2020-03-29","Massachusetts",25,698,4
"2020-03-30","Massachusetts",25,797,8
"2020-03-31","Massachusetts",25,868,33
"2020-04-01","Massachusetts",25,1118,33
"2020-04-02","Massachusetts",25,1228,32
"2020-04-03","Massachusetts",25,1436,38
"2020-04-04","Massachusetts",25,1334,24
"2020-04-05","Massachusetts",25,764,15
"2020-04-06","Massachusetts",25,1337,29
"2020-04-07","Massachusetts",25,1365,96
"2020-04-08","Massachusetts",25,1588,77
"2020-04-09","Massachusetts",25,2151,70
"2020-04-10","Massachusetts",25,2033,96
"2020-04-11","Massachusetts",25,1886,87
"2020-04-12","Massachusetts",25,2615,70
"2020-04-13","Massachusetts",25,1392,88
"2020-04-14","Massachusetts",25,1296,113
"2020-04-15","Massachusetts",25,1755,151
"2020-04-16","Massachusetts",25,2263,137
"2020-04-17","Massachusetts",25,2221,159
"2020-04-18","Massachusetts",25,1970,156
"2020-04-19","Massachusetts",25,1705,146
"2020-04-20","Massachusetts",25,1566,103
"2020-04-21","Massachusetts",25,1556,152
"2020-04-22","Massachusetts",25,1745,221
"2020-04-23","Massachusetts",25,3079,178
"2020-04-24","Massachusetts",25,4946,196
"2020-04-25","Massachusetts",25,2379,174
"2020-04-26","Massachusetts",25,1590,169
"2020-04-27","Massachusetts",25,1524,104
"2020-04-28","Massachusetts",25,1840,150
"2020-04-29","Massachusetts",25,1963,252
"2020-04-30","Massachusetts",25,1940,157
"2020-05-01","Massachusetts",25,2106,154
"2020-05-02","Massachusetts",25,1952,130
"2020-05-03","Massachusetts",25,1824,158
"2020-05-04","Massachusetts",25,1000,86
"2020-05-05","Massachusetts",25,1184,122
"2020-05-06","Massachusetts",25,1754,208
"2020-05-07","Massachusetts",25,1696,132
"2020-05-08","Massachusetts",25,1612,150
"2020-05-09","Massachusetts",25,1410,138
"2020-05-10","Massachusetts",25,1050,139
"2020-05-11","Massachusetts",25,669,129
"2020-05-12","Massachusetts",25,870,33
"2020-05-13","Massachusetts",25,1165,174
"2020-05-14","Massachusetts",25,1685,167
"2020-05-15","Massachusetts",25,1239,110
"2020-05-16","Massachusetts",25,1512,113
"2020-05-17","Massachusetts",25,1077,92
"2020-05-18","Massachusetts",25,1042,65
"2020-05-19","Massachusetts",25,873,76
"2020-05-20","Massachusetts",25,1045,128
"2020-05-21","Massachusetts",25,1114,82
"2020-05-22","Massachusetts",25,805,80
"2020-05-23","Massachusetts",25,773,76
"2020-05-24","Massachusetts",25,1013,68
"2020-05-25","Massachusetts",25,596,44
"2020-05-26","Massachusetts",25,422,57
"2020-05-27","Massachusetts",25,527,74
"2020-05-28","Massachusetts",25,675,93
"2020-05-29","Massachusetts",25,617,78
"2020-05-30","Massachusetts",25,789,50
"2020-05-31","Massachusetts",25,664,78
"2020-06-01","Massachusetts",25,3840,189
"2020-06-02","Massachusetts",25,358,50
"2020-06-03","Massachusetts",25,429,67
"2020-06-04","Massachusetts",25,471,49
"2020-06-05","Massachusetts",25,494,34
"2020-06-06","Massachusetts",25,575,54
"2020-06-07","Massachusetts",25,304,27
"2020-06-08","Massachusetts",25,190,37
"2020-06-09","Massachusetts",25,263,55
"2020-06-10","Massachusetts",25,267,46
"2020-06-11","Massachusetts",25,511,38
