"date","state","fips","cases","deaths"
"2020-03-06","Minnesota",27,1,0
"2020-03-07","Minnesota",27,0,0
"2020-03-08","Minnesota",27,1,0
"2020-03-09","Minnesota",27,0,0
"2020-03-10","Minnesota",27,1,0
"2020-03-11","Minnesota",27,2,0
"2020-03-12","Minnesota",27,4,0
"2020-03-13","Minnesota",27,5,0
"2020-03-14","Minnesota",27,7,0
"2020-03-15","Minnesota",27,14,0
"2020-03-16","Minnesota",27,19,0
"2020-03-17","Minnesota",27,6,0
"2020-03-18","Minnesota",27,17,0
"2020-03-19","Minnesota",27,12,0
"2020-03-20","Minnesota",27,26,0
"2020-03-21","Minnesota",27,23,1
"2020-03-22","Minnesota",27,33,0
"2020-03-23","Minnesota",27,64,0
"2020-03-24","Minnesota",27,29,0
"2020-03-25","Minnesota",27,25,0
"2020-03-26","Minnesota",27,57,1
"2020-03-27","Minnesota",27,52,2
"2020-03-28","Minnesota",27,44,1
"2020-03-29","Minnesota",27,62,4
"2020-03-30","Minnesota",27,72,1
"2020-03-31","Minnesota",27,53,2
"2020-04-01","Minnesota",27,60,5
"2020-04-02","Minnesota",27,53,1
"2020-04-03","Minnesota",27,47,4
"2020-04-04","Minnesota",27,76,2
"2020-04-05","Minnesota",27,70,5
"2020-04-06","Minnesota",27,51,1
"2020-04-07","Minnesota",27,83,4
"2020-04-08","Minnesota",27,85,5
"2020-04-09","Minnesota",27,88,11
"2020-04-10","Minnesota",27,93,7
"2020-04-11","Minnesota",27,92,7
"2020-04-12","Minnesota",27,194,6
"2020-04-13","Minnesota",27,29,0
"2020-04-14","Minnesota",27,45,9
"2020-04-15","Minnesota",27,114,8
"2020-04-16","Minnesota",27,103,7
"2020-04-17","Minnesota",27,159,17
"2020-04-18","Minnesota",27,142,10
"2020-04-19","Minnesota",27,143,13
"2020-04-20","Minnesota",27,114,9
"2020-04-21","Minnesota",27,97,17
"2020-04-22","Minnesota",27,154,19
"2020-04-23","Minnesota",27,221,21
"2020-04-24","Minnesota",27,243,21
"2020-04-25","Minnesota",27,261,23
"2020-04-26","Minnesota",27,156,28
"2020-04-27","Minnesota",27,214,14
"2020-04-28","Minnesota",27,365,15
"2020-04-29","Minnesota",27,463,18
"2020-04-30","Minnesota",27,492,24
"2020-05-01","Minnesota",27,594,28
