"date","state","fips","cases","deaths"
"2020-03-13","Montana",30,4,0
"2020-03-14","Montana",30,2,0
"2020-03-15","Montana",30,0,0
"2020-03-16","Montana",30,2,0
"2020-03-17","Montana",30,0,0
"2020-03-18","Montana",30,4,0
"2020-03-19","Montana",30,7,0
"2020-03-20","Montana",30,0,0
"2020-03-21","Montana",30,10,0
"2020-03-22","Montana",30,5,0
"2020-03-23","Montana",30,11,0
"2020-03-24","Montana",30,6,0
"2020-03-25","Montana",30,14,0
"2020-03-26","Montana",30,25,0
"2020-03-27","Montana",30,31,1
"2020-03-28","Montana",30,26,0
"2020-03-29","Montana",30,14,0
"2020-03-30","Montana",30,16,3
"2020-03-31","Montana",30,21,1
"2020-04-01","Montana",30,21,0
"2020-04-02","Montana",30,22,0
"2020-04-03","Montana",30,21,0
"2020-04-04","Montana",30,19,1
"2020-04-05","Montana",30,17,0
"2020-04-06","Montana",30,21,0
"2020-04-07","Montana",30,0,0
"2020-04-08","Montana",30,13,0
"2020-04-09","Montana",30,22,0
"2020-04-10","Montana",30,11,0
"2020-04-11","Montana",30,12,0
"2020-04-12","Montana",30,10,0
"2020-04-13","Montana",30,7,1
"2020-04-14","Montana",30,5,0
"2020-04-15","Montana",30,5,0
"2020-04-16","Montana",30,11,0
"2020-04-17","Montana",30,7,1
"2020-04-18","Montana",30,4,2
"2020-04-19","Montana",30,7,0
"2020-04-20","Montana",30,0,2
"2020-04-21","Montana",30,4,0
"2020-04-22","Montana",30,2,2
"2020-04-23","Montana",30,3,0
"2020-04-24","Montana",30,2,0
"2020-04-25","Montana",30,1,0
"2020-04-26","Montana",30,3,0
"2020-04-27","Montana",30,1,0
"2020-04-28","Montana",30,2,1
"2020-04-29","Montana",30,0,1
"2020-04-30","Montana",30,1,0
"2020-05-01","Montana",30,0,0
"2020-05-02","Montana",30,2,0
"2020-05-03","Montana",30,0,0
"2020-05-04","Montana",30,2,0
"2020-05-05","Montana",30,0,0
"2020-05-06","Montana",30,0,0
"2020-05-07","Montana",30,0,0
"2020-05-08","Montana",30,2,0
"2020-05-09","Montana",30,0,0
"2020-05-10","Montana",30,0,0
"2020-05-11","Montana",30,1,0
"2020-05-12","Montana",30,2,0
"2020-05-13","Montana",30,1,0
"2020-05-14","Montana",30,0,0
"2020-05-15","Montana",30,4,0
"2020-05-16","Montana",30,2,0
"2020-05-17","Montana",30,0,0
"2020-05-18","Montana",30,2,0
"2020-05-19","Montana",30,1,0
"2020-05-20","Montana",30,7,0
"2020-05-21","Montana",30,1,0
"2020-05-22","Montana",30,0,0
"2020-05-23","Montana",30,0,0
"2020-05-24","Montana",30,0,0
"2020-05-25","Montana",30,0,0
"2020-05-26","Montana",30,0,1
"2020-05-27","Montana",30,2,0
"2020-05-28","Montana",30,4,0
"2020-05-29","Montana",30,8,0
"2020-05-30","Montana",30,12,0
"2020-05-31","Montana",30,10,0
"2020-06-01","Montana",30,4,0
"2020-06-02","Montana",30,4,0
"2020-06-03","Montana",30,2,0
"2020-06-04","Montana",30,12,0
"2020-06-05","Montana",30,2,1
"2020-06-06","Montana",30,1,0
"2020-06-07","Montana",30,5,0
"2020-06-08","Montana",30,3,0
"2020-06-09","Montana",30,6,0
"2020-06-10","Montana",30,7,0
"2020-06-11","Montana",30,2,0
"2020-06-12","Montana",30,10,0
"2020-06-13","Montana",30,15,0
"2020-06-14","Montana",30,13,1
"2020-06-15","Montana",30,8,0
"2020-06-16","Montana",30,5,0
"2020-06-17","Montana",30,16,1
"2020-06-18","Montana",30,25,0
"2020-06-19","Montana",30,11,0
"2020-06-20","Montana",30,32,0
"2020-06-21","Montana",30,19,0
"2020-06-22","Montana",30,17,1
"2020-06-23","Montana",30,9,0
"2020-06-24","Montana",30,23,0
"2020-06-25","Montana",30,37,0
"2020-06-26","Montana",30,26,1
"2020-06-27","Montana",30,23,0
"2020-06-28","Montana",30,11,0
"2020-06-29","Montana",30,56,0
"2020-06-30","Montana",30,48,0
"2020-07-01","Montana",30,49,0
"2020-07-02","Montana",30,67,0
"2020-07-03","Montana",30,45,1
"2020-07-04","Montana",30,39,0
"2020-07-05","Montana",30,45,0
"2020-07-06","Montana",30,37,0
"2020-07-07","Montana",30,78,0
"2020-07-08","Montana",30,44,0
"2020-07-09","Montana",30,95,2
"2020-07-10","Montana",30,127,3
"2020-07-11","Montana",30,84,1
"2020-07-12","Montana",30,81,0
"2020-07-13","Montana",30,150,3
"2020-07-14","Montana",30,130,2
"2020-07-15","Montana",30,111,0
"2020-07-16","Montana",30,116,1
"2020-07-17","Montana",30,118,2
"2020-07-18","Montana",30,88,0
"2020-07-19","Montana",30,62,0
"2020-07-20","Montana",30,107,2
"2020-07-21","Montana",30,101,1
"2020-07-22","Montana",30,99,2
"2020-07-23","Montana",30,84,1
"2020-07-24","Montana",30,189,3
"2020-07-25","Montana",30,147,0
"2020-07-26","Montana",30,82,0
"2020-07-27","Montana",30,64,1
"2020-07-28","Montana",30,85,5
"2020-07-29","Montana",30,204,2
"2020-07-30","Montana",30,134,1
"2020-07-31","Montana",30,148,5
"2020-08-01","Montana",30,104,1
"2020-08-02","Montana",30,112,0
"2020-08-03","Montana",30,56,3
"2020-08-04","Montana",30,111,0
"2020-08-05","Montana",30,121,1
"2020-08-06","Montana",30,140,1
"2020-08-07","Montana",30,150,5
"2020-08-08","Montana",30,118,4
"2020-08-09","Montana",30,63,0
"2020-08-10","Montana",30,80,0
"2020-08-11","Montana",30,93,2
"2020-08-12","Montana",30,167,3
"2020-08-13","Montana",30,138,1
"2020-08-14","Montana",30,134,1
"2020-08-15","Montana",30,99,0
"2020-08-16","Montana",30,88,0
"2020-08-17","Montana",30,59,0
"2020-08-18","Montana",30,57,2
"2020-08-19","Montana",30,109,0
"2020-08-20","Montana",30,119,5
"2020-08-21","Montana",30,144,1
"2020-08-22","Montana",30,153,0
"2020-08-23","Montana",30,52,0
"2020-08-24","Montana",30,66,1
"2020-08-25","Montana",30,139,6
"2020-08-26","Montana",30,158,1
"2020-08-27","Montana",30,153,0
"2020-08-28","Montana",30,126,2
"2020-08-29","Montana",30,170,4
"2020-08-30","Montana",30,84,0
"2020-08-31","Montana",30,100,0
"2020-09-01","Montana",30,86,1
"2020-09-02","Montana",30,189,4
"2020-09-03","Montana",30,188,2
"2020-09-04","Montana",30,143,3
"2020-09-05","Montana",30,132,2
"2020-09-06","Montana",30,94,1
"2020-09-07","Montana",30,68,1
"2020-09-08","Montana",30,69,1
"2020-09-09","Montana",30,90,3
"2020-09-10","Montana",30,195,1
"2020-09-11","Montana",30,123,9
"2020-09-12","Montana",30,129,2
"2020-09-13","Montana",30,91,2
"2020-09-14","Montana",30,127,3
"2020-09-15","Montana",30,117,2
"2020-09-16","Montana",30,206,0
"2020-09-17","Montana",30,234,2
"2020-09-18","Montana",30,213,3
"2020-09-19","Montana",30,259,10
"2020-09-20","Montana",30,132,1
"2020-09-21","Montana",30,184,3
"2020-09-22","Montana",30,283,3
"2020-09-23","Montana",30,242,2
"2020-09-24","Montana",30,347,0
"2020-09-25","Montana",30,275,5
"2020-09-26","Montana",30,287,1
"2020-09-27","Montana",30,183,2
"2020-09-28","Montana",30,412,1
"2020-09-29","Montana",30,287,3
"2020-09-30","Montana",30,354,3
"2020-10-01","Montana",30,447,1
"2020-10-02","Montana",30,418,5
"2020-10-03","Montana",30,446,0
"2020-10-04","Montana",30,248,1
"2020-10-05","Montana",30,389,3
"2020-10-06","Montana",30,506,2
"2020-10-07","Montana",30,561,1
"2020-10-08","Montana",30,572,4
"2020-10-09","Montana",30,712,9
"2020-10-10","Montana",30,640,3
"2020-10-11","Montana",30,615,1
"2020-10-12","Montana",30,472,2
"2020-10-13","Montana",30,477,5
"2020-10-14","Montana",30,639,8
"2020-10-15","Montana",30,722,5
"2020-10-16","Montana",30,631,5
"2020-10-17","Montana",30,610,5
"2020-10-18","Montana",30,537,1
"2020-10-19","Montana",30,682,1
"2020-10-20","Montana",30,698,10
"2020-10-21","Montana",30,617,24
"2020-10-22","Montana",30,918,3
"2020-10-23","Montana",30,864,4
"2020-10-24","Montana",30,549,12
"2020-10-25","Montana",30,731,3
"2020-10-26","Montana",30,700,6
"2020-10-27","Montana",30,842,5
"2020-10-28","Montana",30,629,17
"2020-10-29","Montana",30,881,13
"2020-10-30","Montana",30,1063,29
"2020-10-31","Montana",30,806,9
"2020-11-01","Montana",30,694,1
"2020-11-02","Montana",30,822,9
"2020-11-03","Montana",30,905,13
"2020-11-04","Montana",30,790,4
"2020-11-05","Montana",30,1012,5
"2020-11-06","Montana",30,988,11
"2020-11-07","Montana",30,936,25
"2020-11-08","Montana",30,731,11
"2020-11-09","Montana",30,439,7
"2020-11-10","Montana",30,1101,5
"2020-11-11","Montana",30,913,7
"2020-11-12","Montana",30,952,3
"2020-11-13","Montana",30,1213,5
"2020-11-14","Montana",30,1622,36
"2020-11-15","Montana",30,1239,6
"2020-11-16","Montana",30,943,3
"2020-11-17","Montana",30,1395,20
"2020-11-18","Montana",30,1154,20
"2020-11-19","Montana",30,1222,1
"2020-11-20","Montana",30,1474,6
"2020-11-21","Montana",30,1196,29
"2020-11-22","Montana",30,1138,3
"2020-11-23","Montana",30,748,8
"2020-11-24","Montana",30,1131,15
"2020-11-25","Montana",30,1061,23
"2020-11-26","Montana",30,1062,5
"2020-11-27","Montana",30,114,0
"2020-11-28","Montana",30,1049,12
"2020-11-29","Montana",30,956,2
"2020-11-30","Montana",30,455,12
"2020-12-01","Montana",30,1068,16
"2020-12-02","Montana",30,1075,13
"2020-12-03","Montana",30,843,10
"2020-12-04","Montana",30,1252,5
"2020-12-05","Montana",30,598,6
"2020-12-06","Montana",30,783,2
"2020-12-07","Montana",30,776,7
"2020-12-08","Montana",30,814,20
"2020-12-09","Montana",30,726,8
"2020-12-10","Montana",30,763,15
"2020-12-11","Montana",30,977,19
"2020-12-12","Montana",30,728,11
"2020-12-13","Montana",30,644,2
"2020-12-14","Montana",30,53,0
"2020-12-15","Montana",30,804,8
"2020-12-16","Montana",30,604,10
"2020-12-17","Montana",30,781,13
"2020-12-18","Montana",30,511,6
"2020-12-19","Montana",30,652,9
"2020-12-20","Montana",30,462,1
"2020-12-21","Montana",30,286,16
"2020-12-22","Montana",30,561,20
"2020-12-23","Montana",30,574,16
"2020-12-24","Montana",30,475,1
"2020-12-25","Montana",30,0,0
"2020-12-26","Montana",30,455,1
"2020-12-27","Montana",30,259,5
"2020-12-28","Montana",30,300,3
"2020-12-29","Montana",30,436,12
"2020-12-30","Montana",30,836,11
"2020-12-31","Montana",30,349,12
"2021-01-01","Montana",30,0,0
"2021-01-02","Montana",30,290,9
"2021-01-03","Montana",30,390,1
"2021-01-04","Montana",30,372,3
"2021-01-05","Montana",30,776,31
"2021-01-06","Montana",30,626,9
"2021-01-07","Montana",30,693,24
"2021-01-08","Montana",30,820,10
"2021-01-09","Montana",30,448,5
"2021-01-10","Montana",30,208,2
"2021-01-11","Montana",30,433,1
"2021-01-12","Montana",30,422,10
"2021-01-13","Montana",30,580,2
"2021-01-14","Montana",30,431,10
"2021-01-15","Montana",30,535,7
"2021-01-16","Montana",30,331,2
"2021-01-17","Montana",30,337,4
"2021-01-18","Montana",30,191,1
"2021-01-19","Montana",30,368,0
"2021-01-20","Montana",30,397,1
"2021-01-21","Montana",30,393,8
"2021-01-22","Montana",30,403,4
"2021-01-23","Montana",30,303,36
"2021-01-24","Montana",30,214,10
