"date","state","fips","cases","deaths"
"2020-03-03","North Carolina",37,1,0
"2020-03-04","North Carolina",37,0,0
"2020-03-05","North Carolina",37,0,0
"2020-03-06","North Carolina",37,1,0
"2020-03-07","North Carolina",37,0,0
"2020-03-08","North Carolina",37,0,0
"2020-03-09","North Carolina",37,5,0
"2020-03-10","North Carolina",37,0,0
"2020-03-11","North Carolina",37,1,0
"2020-03-12","North Carolina",37,8,0
"2020-03-13","North Carolina",37,2,0
"2020-03-14","North Carolina",37,7,0
"2020-03-15","North Carolina",37,7,0
"2020-03-16","North Carolina",37,2,0
"2020-03-17","North Carolina",37,8,0
"2020-03-18","North Carolina",37,24,0
"2020-03-19","North Carolina",37,38,0
"2020-03-20","North Carolina",37,40,0
"2020-03-21","North Carolina",37,40,0
"2020-03-22","North Carolina",37,85,0
"2020-03-23","North Carolina",37,33,0
"2020-03-24","North Carolina",37,95,0
"2020-03-25","North Carolina",37,165,1
"2020-03-26","North Carolina",37,77,1
"2020-03-27","North Carolina",37,145,1
"2020-03-28","North Carolina",37,188,1
"2020-03-29","North Carolina",37,194,2
"2020-03-30","North Carolina",37,137,0
"2020-03-31","North Carolina",37,224,4
"2020-04-01","North Carolina",37,64,1
"2020-04-02","North Carolina",37,267,6
"2020-04-03","North Carolina",37,235,6
"2020-04-04","North Carolina",37,309,7
"2020-04-05","North Carolina",37,183,7
"2020-04-06","North Carolina",37,285,5
"2020-04-07","North Carolina",37,350,8
"2020-04-08","North Carolina",37,203,11
"2020-04-09","North Carolina",37,228,13
"2020-04-10","North Carolina",37,255,4
"2020-04-11","North Carolina",37,404,8
"2020-04-12","North Carolina",37,210,0
"2020-04-13","North Carolina",37,268,5
"2020-04-14","North Carolina",37,204,25
"2020-04-15","North Carolina",37,131,12
"2020-04-16","North Carolina",37,340,12
"2020-04-17","North Carolina",37,396,19
"2020-04-18","North Carolina",37,281,16
"2020-04-19","North Carolina",37,353,8
"2020-04-20","North Carolina",37,271,4
"2020-04-21","North Carolina",37,187,30
"2020-04-22","North Carolina",37,269,25
"2020-04-23","North Carolina",37,388,11
"2020-04-24","North Carolina",37,444,17
"2020-04-25","North Carolina",37,496,34
"2020-04-26","North Carolina",37,282,5
"2020-04-27","North Carolina",37,205,22
"2020-04-28","North Carolina",37,533,22
"2020-04-29","North Carolina",37,379,13
"2020-04-30","North Carolina",37,560,19
"2020-05-01","North Carolina",37,415,20
"2020-05-02","North Carolina",37,592,23
"2020-05-03","North Carolina",37,154,8
"2020-05-04","North Carolina",37,203,18
"2020-05-05","North Carolina",37,412,23
"2020-05-06","North Carolina",37,500,20
"2020-05-07","North Carolina",37,648,24
"2020-05-08","North Carolina",37,448,16
"2020-05-09","North Carolina",37,508,17
"2020-05-10","North Carolina",37,396,7
"2020-05-11","North Carolina",37,286,10
"2020-05-12","North Carolina",37,333,26
"2020-05-13","North Carolina",37,448,18
"2020-05-14","North Carolina",37,743,17
"2020-05-15","North Carolina",37,597,28
"2020-05-16","North Carolina",37,819,11
"2020-05-17","North Carolina",37,528,8
"2020-05-18","North Carolina",37,584,5
"2020-05-19","North Carolina",37,641,27
"2020-05-20","North Carolina",37,459,10
"2020-05-21","North Carolina",37,713,13
"2020-05-22","North Carolina",37,727,20
"2020-05-23","North Carolina",37,1070,9
"2020-05-24","North Carolina",37,500,8
"2020-05-25","North Carolina",37,766,9
"2020-05-26","North Carolina",37,191,9
"2020-05-27","North Carolina",37,599,38
"2020-05-28","North Carolina",37,829,32
"2020-05-29","North Carolina",37,1119,29
"2020-05-30","North Carolina",37,1026,15
"2020-05-31","North Carolina",37,925,8
"2020-06-01","North Carolina",37,682,12
"2020-06-02","North Carolina",37,684,27
"2020-06-03","North Carolina",37,961,21
"2020-06-04","North Carolina",37,1263,22
"2020-06-05","North Carolina",37,1141,8
"2020-06-06","North Carolina",37,1392,19
"2020-06-07","North Carolina",37,854,4
"2020-06-08","North Carolina",37,918,17
"2020-06-09","North Carolina",37,812,28
"2020-06-10","North Carolina",37,912,27
"2020-06-11","North Carolina",37,1430,18
"2020-06-12","North Carolina",37,1732,14
"2020-06-13","North Carolina",37,1444,7
"2020-06-14","North Carolina",37,1288,4
"2020-06-15","North Carolina",37,1058,17
"2020-06-16","North Carolina",37,848,29
"2020-06-17","North Carolina",37,1037,13
"2020-06-18","North Carolina",37,1284,11
"2020-06-19","North Carolina",37,1588,14
"2020-06-20","North Carolina",37,1626,16
"2020-06-21","North Carolina",37,1214,6
"2020-06-22","North Carolina",37,986,5
"2020-06-23","North Carolina",37,986,26
"2020-06-24","North Carolina",37,1437,19
"2020-06-25","North Carolina",37,1277,10
"2020-06-26","North Carolina",37,1717,14
"2020-06-27","North Carolina",37,1452,15
"2020-06-28","North Carolina",37,1469,4
"2020-06-29","North Carolina",37,1514,3
"2020-06-30","North Carolina",37,1372,21
"2020-07-01","North Carolina",37,1751,27
"2020-07-02","North Carolina",37,1697,13
"2020-07-03","North Carolina",37,1939,11
"2020-07-04","North Carolina",37,1284,1
"2020-07-05","North Carolina",37,1361,0
"2020-07-06","North Carolina",37,1837,10
"2020-07-07","North Carolina",37,1255,22
"2020-07-08","North Carolina",37,1473,24
"2020-07-09","North Carolina",37,1903,17
"2020-07-10","North Carolina",37,2173,16
"2020-07-11","North Carolina",37,2259,17
"2020-07-12","North Carolina",37,1835,12
"2020-07-13","North Carolina",37,1822,15
"2020-07-14","North Carolina",37,2114,35
"2020-07-15","North Carolina",37,1806,16
"2020-07-16","North Carolina",37,2084,19
"2020-07-17","North Carolina",37,1976,21
"2020-07-18","North Carolina",37,2434,15
"2020-07-19","North Carolina",37,1774,8
"2020-07-20","North Carolina",37,1335,15
"2020-07-21","North Carolina",37,1871,26
"2020-07-22","North Carolina",37,2091,27
"2020-07-23","North Carolina",37,1912,25
"2020-07-24","North Carolina",37,2156,15
"2020-07-25","North Carolina",37,2076,32
"2020-07-26","North Carolina",37,1520,6
"2020-07-27","North Carolina",37,1810,8
"2020-07-28","North Carolina",37,1688,32
"2020-07-29","North Carolina",37,1727,42
"2020-07-30","North Carolina",37,2364,40
"2020-07-31","North Carolina",37,1979,18
"2020-08-01","North Carolina",37,1645,42
"2020-08-02","North Carolina",37,1266,7
"2020-08-03","North Carolina",37,1467,17
"2020-08-04","North Carolina",37,1488,25
"2020-08-05","North Carolina",37,1218,41
"2020-08-06","North Carolina",37,2024,43
"2020-08-07","North Carolina",37,1555,38
"2020-08-08","North Carolina",37,1882,24
"2020-08-09","North Carolina",37,1335,11
"2020-08-10","North Carolina",37,756,3
"2020-08-11","North Carolina",37,1068,40
"2020-08-12","North Carolina",37,1339,39
"2020-08-13","North Carolina",37,1593,36
"2020-08-14","North Carolina",37,1538,31
"2020-08-15","North Carolina",37,1412,26
"2020-08-16","North Carolina",37,1155,2
"2020-08-17","North Carolina",37,831,12
"2020-08-18","North Carolina",37,1199,41
"2020-08-19","North Carolina",37,1350,39
"2020-08-20","North Carolina",37,1931,32
"2020-08-21","North Carolina",37,1922,26
"2020-08-22","North Carolina",37,1622,24
"2020-08-23","North Carolina",37,1424,14
"2020-08-24","North Carolina",37,1537,7
"2020-08-25","North Carolina",37,1258,40
"2020-08-26","North Carolina",37,1523,27
"2020-08-27","North Carolina",37,2007,20
"2020-08-28","North Carolina",37,1439,22
"2020-08-29","North Carolina",37,2379,32
"2020-08-30","North Carolina",37,977,13
"2020-08-31","North Carolina",37,1479,12
"2020-09-01","North Carolina",37,1977,36
"2020-09-02","North Carolina",37,1174,37
"2020-09-03","North Carolina",37,1651,23
"2020-09-04","North Carolina",37,2057,39
"2020-09-05","North Carolina",37,1276,45
"2020-09-06","North Carolina",37,1017,7
"2020-09-07","North Carolina",37,1071,0
"2020-09-08","North Carolina",37,938,22
"2020-09-09","North Carolina",37,911,48
"2020-09-10","North Carolina",37,1274,26
"2020-09-11","North Carolina",37,1599,34
"2020-09-12","North Carolina",37,1371,23
"2020-09-13","North Carolina",37,1020,7
"2020-09-14","North Carolina",37,1122,14
"2020-09-15","North Carolina",37,1039,41
"2020-09-16","North Carolina",37,1314,41
"2020-09-17","North Carolina",37,1507,32
"2020-09-18","North Carolina",37,1365,24
"2020-09-19","North Carolina",37,1079,28
"2020-09-20","North Carolina",37,1227,10
"2020-09-21","North Carolina",37,1115,13
"2020-09-22","North Carolina",37,1165,37
"2020-09-23","North Carolina",37,1173,25
"2020-09-24","North Carolina",37,1805,35
"2020-09-25","North Carolina",37,5422,47
"2020-09-26","North Carolina",37,1583,31
"2020-09-27","North Carolina",37,1166,2
"2020-09-28","North Carolina",37,1090,9
"2020-09-29","North Carolina",37,887,42
"2020-09-30","North Carolina",37,1620,54
"2020-10-01","North Carolina",37,2214,36
"2020-10-02","North Carolina",37,1817,27
"2020-10-03","North Carolina",37,2014,19
"2020-10-04","North Carolina",37,592,6
"2020-10-05","North Carolina",37,2404,3
"2020-10-06","North Carolina",37,1393,35
"2020-10-07","North Carolina",37,1911,25
"2020-10-08","North Carolina",37,2389,28
"2020-10-09","North Carolina",37,2018,24
"2020-10-10","North Carolina",37,2203,18
"2020-10-11","North Carolina",37,1605,5
"2020-10-12","North Carolina",37,1495,8
"2020-10-13","North Carolina",37,1783,50
"2020-10-14","North Carolina",37,1970,33
"2020-10-15","North Carolina",37,2526,17
"2020-10-16","North Carolina",37,2694,39
"2020-10-17","North Carolina",37,1988,17
"2020-10-18","North Carolina",37,2096,6
"2020-10-19","North Carolina",37,1435,8
"2020-10-20","North Carolina",37,1607,49
"2020-10-21","North Carolina",37,1852,45
"2020-10-22","North Carolina",37,2408,47
"2020-10-23","North Carolina",37,2116,30
"2020-10-24","North Carolina",37,2905,30
"2020-10-25","North Carolina",37,1689,13
"2020-10-26","North Carolina",37,2031,17
"2020-10-27","North Carolina",37,2175,36
"2020-10-28","North Carolina",37,2232,39
"2020-10-29","North Carolina",37,2853,32
"2020-10-30","North Carolina",37,2812,47
"2020-10-31","North Carolina",37,2574,46
"2020-11-01","North Carolina",37,1901,5
"2020-11-02","North Carolina",37,1771,8
"2020-11-03","North Carolina",37,2180,68
"2020-11-04","North Carolina",37,2623,54
"2020-11-05","North Carolina",37,2930,37
"2020-11-06","North Carolina",37,2914,36
"2020-11-07","North Carolina",37,2439,21
"2020-11-08","North Carolina",37,1868,1
"2020-11-09","North Carolina",37,1674,8
"2020-11-10","North Carolina",37,2984,47
"2020-11-11","North Carolina",37,2636,38
"2020-11-12","North Carolina",37,3206,7
"2020-11-13","North Carolina",37,2567,19
"2020-11-14","North Carolina",37,3205,34
"2020-11-15","North Carolina",37,2703,47
"2020-11-16","North Carolina",37,2908,13
"2020-11-17","North Carolina",37,3223,38
"2020-11-18","North Carolina",37,3721,46
"2020-11-19","North Carolina",37,3400,41
"2020-11-20","North Carolina",37,4363,44
"2020-11-21","North Carolina",37,3053,23
"2020-11-22","North Carolina",37,3909,27
"2020-11-23","North Carolina",37,2689,14
"2020-11-24","North Carolina",37,3894,38
"2020-11-25","North Carolina",37,4536,63
"2020-11-26","North Carolina",37,46,0
"2020-11-27","North Carolina",37,7516,63
"2020-11-28","North Carolina",37,2990,9
"2020-11-29","North Carolina",37,3470,30
"2020-11-30","North Carolina",37,2844,17
"2020-12-01","North Carolina",37,3647,26
"2020-12-02","North Carolina",37,3910,84
"2020-12-03","North Carolina",37,5845,48
"2020-12-04","North Carolina",37,5795,51
"2020-12-05","North Carolina",37,4595,42
"2020-12-06","North Carolina",37,6260,31
"2020-12-07","North Carolina",37,4776,20
"2020-12-08","North Carolina",37,4724,44
"2020-12-09","North Carolina",37,7620,62
"2020-12-10","North Carolina",37,5811,48
"2020-12-11","North Carolina",37,7040,39
"2020-12-12","North Carolina",37,5334,40
"2020-12-13","North Carolina",37,6330,24
"2020-12-14","North Carolina",37,5066,44
"2020-12-15","North Carolina",37,5582,27
"2020-12-16","North Carolina",37,6325,104
"2020-12-17","North Carolina",37,5111,90
"2020-12-18","North Carolina",37,9456,52
"2020-12-19","North Carolina",37,5496,50
"2020-12-20","North Carolina",37,6184,37
"2020-12-21","North Carolina",37,4638,26
"2020-12-22","North Carolina",37,6729,57
"2020-12-23","North Carolina",37,6627,76
"2020-12-24","North Carolina",37,136,2
"2020-12-25","North Carolina",37,0,0
"2020-12-26","North Carolina",37,16719,154
"2020-12-27","North Carolina",37,2725,18
