"date","state","fips","cases","deaths"
"2020-03-11","North Dakota",38,1,0
"2020-03-12","North Dakota",38,0,0
"2020-03-13","North Dakota",38,0,0
"2020-03-14","North Dakota",38,0,0
"2020-03-15","North Dakota",38,0,0
"2020-03-16","North Dakota",38,0,0
"2020-03-17","North Dakota",38,4,0
"2020-03-18","North Dakota",38,2,0
"2020-03-19","North Dakota",38,12,0
"2020-03-20","North Dakota",38,8,0
"2020-03-21","North Dakota",38,1,0
"2020-03-22","North Dakota",38,2,0
"2020-03-23","North Dakota",38,2,0
"2020-03-24","North Dakota",38,5,0
"2020-03-25","North Dakota",38,8,0
"2020-03-26","North Dakota",38,13,0
"2020-03-27","North Dakota",38,10,1
"2020-03-28","North Dakota",38,25,0
"2020-03-29","North Dakota",38,4,0
"2020-03-30","North Dakota",38,12,2
"2020-03-31","North Dakota",38,17,0
"2020-04-01","North Dakota",38,21,0
"2020-04-02","North Dakota",38,12,0
"2020-04-03","North Dakota",38,14,0
"2020-04-04","North Dakota",38,13,0
"2020-04-05","North Dakota",38,21,0
"2020-04-06","North Dakota",38,18,0
"2020-04-07","North Dakota",38,12,1
"2020-04-08","North Dakota",38,14,0
"2020-04-09","North Dakota",38,18,1
"2020-04-10","North Dakota",38,9,2
"2020-04-11","North Dakota",38,15,0
"2020-04-12","North Dakota",38,15,1
"2020-04-13","North Dakota",38,23,1
"2020-04-14","North Dakota",38,10,0
"2020-04-15","North Dakota",38,24,0
"2020-04-16","North Dakota",38,28,0
"2020-04-17","North Dakota",38,46,0
"2020-04-18","North Dakota",38,89,0
"2020-04-19","North Dakota",38,57,1
"2020-04-20","North Dakota",38,42,3
"2020-04-21","North Dakota",38,17,0
"2020-04-22","North Dakota",38,35,1
"2020-04-23","North Dakota",38,30,1
"2020-04-24","North Dakota",38,39,0
"2020-04-25","North Dakota",38,55,1
"2020-04-26","North Dakota",38,64,1
"2020-04-27","North Dakota",38,75,2
"2020-04-28","North Dakota",38,49,0
"2020-04-29","North Dakota",38,42,0
"2020-04-30","North Dakota",38,34,0
"2020-05-01","North Dakota",38,40,4
"2020-05-02","North Dakota",38,46,1
"2020-05-03","North Dakota",38,38,1
"2020-05-04","North Dakota",38,34,0
"2020-05-05","North Dakota",38,41,0
"2020-05-06","North Dakota",38,57,6
"2020-05-07","North Dakota",38,48,0
"2020-05-08","North Dakota",38,54,2
"2020-05-09","North Dakota",38,39,2
"2020-05-10","North Dakota",38,27,0
"2020-05-11","North Dakota",38,27,1
"2020-05-12","North Dakota",38,53,2
"2020-05-13","North Dakota",38,76,2
"2020-05-14","North Dakota",38,65,0
"2020-05-15","North Dakota",38,49,2
"2020-05-16","North Dakota",38,87,0
"2020-05-17","North Dakota",38,52,1
"2020-05-18","North Dakota",38,31,1
"2020-05-19","North Dakota",38,63,1
"2020-05-20","North Dakota",38,101,4
"2020-05-21","North Dakota",38,134,2
"2020-05-22","North Dakota",38,88,1
"2020-05-23","North Dakota",38,48,0
"2020-05-24","North Dakota",38,53,1
"2020-05-25","North Dakota",38,39,1
"2020-05-26","North Dakota",38,-35,0
"2020-05-27","North Dakota",38,20,5
"2020-05-28","North Dakota",38,42,1
"2020-05-29","North Dakota",38,39,2
"2020-05-30","North Dakota",38,34,1
"2020-05-31","North Dakota",38,23,1
"2020-06-01","North Dakota",38,48,0
"2020-06-02","North Dakota",38,21,4
"2020-06-03","North Dakota",38,33,1
"2020-06-04","North Dakota",38,27,0
"2020-06-05","North Dakota",38,39,5
"2020-06-06","North Dakota",38,71,1
"2020-06-07","North Dakota",38,45,0
"2020-06-08","North Dakota",38,19,0
"2020-06-09","North Dakota",38,21,0
"2020-06-10","North Dakota",38,40,1
"2020-06-11","North Dakota",38,39,1
"2020-06-12","North Dakota",38,36,0
"2020-06-13","North Dakota",38,42,0
"2020-06-14","North Dakota",38,22,0
"2020-06-15","North Dakota",38,21,0
"2020-06-16","North Dakota",38,23,0
"2020-06-17","North Dakota",38,43,1
"2020-06-18","North Dakota",38,29,3
"2020-06-19","North Dakota",38,33,1
"2020-06-20","North Dakota",38,25,0
"2020-06-21","North Dakota",38,37,1
"2020-06-22","North Dakota",38,25,0
"2020-06-23","North Dakota",38,7,1
"2020-06-24","North Dakota",38,44,2
"2020-06-25","North Dakota",38,32,1
"2020-06-26","North Dakota",38,28,0
"2020-06-27","North Dakota",38,37,0
"2020-06-28","North Dakota",38,37,1
"2020-06-29","North Dakota",38,44,0
"2020-06-30","North Dakota",38,37,0
"2020-07-01","North Dakota",38,39,1
"2020-07-02","North Dakota",38,42,0
"2020-07-03","North Dakota",38,65,0
"2020-07-04","North Dakota",38,57,0
"2020-07-05","North Dakota",38,37,0
"2020-07-06","North Dakota",38,33,0
"2020-07-07","North Dakota",38,45,0
"2020-07-08","North Dakota",38,72,0
"2020-07-09","North Dakota",38,99,0
"2020-07-10","North Dakota",38,84,0
"2020-07-11","North Dakota",38,89,2
"2020-07-12","North Dakota",38,91,0
"2020-07-13","North Dakota",38,108,0
"2020-07-14","North Dakota",38,51,1
"2020-07-15","North Dakota",38,72,0
"2020-07-16","North Dakota",38,103,1
"2020-07-17","North Dakota",38,124,1
"2020-07-18","North Dakota",38,115,0
"2020-07-19","North Dakota",38,112,2
"2020-07-20","North Dakota",38,107,1
"2020-07-21","North Dakota",38,81,1
"2020-07-22","North Dakota",38,160,2
"2020-07-23","North Dakota",38,126,1
"2020-07-24","North Dakota",38,121,2
"2020-07-25","North Dakota",38,122,0
"2020-07-26","North Dakota",38,140,0
"2020-07-27","North Dakota",38,110,0
"2020-07-28","North Dakota",38,155,1
"2020-07-29","North Dakota",38,86,2
"2020-07-30","North Dakota",38,74,1
"2020-07-31","North Dakota",38,168,0
"2020-08-01","North Dakota",38,133,0
"2020-08-02","North Dakota",38,58,2
"2020-08-03","North Dakota",38,125,0
"2020-08-04","North Dakota",38,148,2
"2020-08-05","North Dakota",38,124,1
"2020-08-06","North Dakota",38,120,1
"2020-08-07","North Dakota",38,150,1
"2020-08-08","North Dakota",38,181,2
"2020-08-09","North Dakota",38,88,0
"2020-08-10","North Dakota",38,117,1
"2020-08-11","North Dakota",38,172,5
"2020-08-12","North Dakota",38,85,2
"2020-08-13","North Dakota",38,201,0
"2020-08-14","North Dakota",38,151,1
"2020-08-15","North Dakota",38,122,0
"2020-08-16","North Dakota",38,143,4
"2020-08-17","North Dakota",38,60,1
"2020-08-18","North Dakota",38,135,2
"2020-08-19","North Dakota",38,186,2
"2020-08-20","North Dakota",38,274,0
"2020-08-21","North Dakota",38,232,2
"2020-08-22","North Dakota",38,262,3
"2020-08-23","North Dakota",38,140,1
"2020-08-24","North Dakota",38,124,1
"2020-08-25","North Dakota",38,229,1
"2020-08-26","North Dakota",38,238,0
"2020-08-27","North Dakota",38,333,1
"2020-08-28","North Dakota",38,310,0
"2020-08-29","North Dakota",38,374,2
"2020-08-30","North Dakota",38,218,1
"2020-08-31","North Dakota",38,114,1
"2020-09-01","North Dakota",38,184,2
"2020-09-02","North Dakota",38,267,3
"2020-09-03","North Dakota",38,362,2
"2020-09-04","North Dakota",38,344,0
"2020-09-05","North Dakota",38,361,5
"2020-09-06","North Dakota",38,297,1
"2020-09-07","North Dakota",38,170,0
"2020-09-08","North Dakota",38,71,0
"2020-09-09","North Dakota",38,238,1
"2020-09-10","North Dakota",38,332,2
"2020-09-11","North Dakota",38,241,4
