"date","state","fips","cases","deaths"
"2020-02-28","Oregon",41,1,0
"2020-02-29","Oregon",41,0,0
"2020-03-01","Oregon",41,1,0
"2020-03-02","Oregon",41,0,0
"2020-03-03","Oregon",41,0,0
"2020-03-04","Oregon",41,0,0
"2020-03-05","Oregon",41,0,0
"2020-03-06","Oregon",41,0,0
"2020-03-07","Oregon",41,4,0
"2020-03-08","Oregon",41,7,0
"2020-03-09","Oregon",41,0,0
"2020-03-10","Oregon",41,1,0
"2020-03-11","Oregon",41,6,0
"2020-03-12","Oregon",41,10,0
"2020-03-13","Oregon",41,0,0
"2020-03-14","Oregon",41,6,1
"2020-03-15","Oregon",41,3,0
"2020-03-16","Oregon",41,7,0
"2020-03-17","Oregon",41,20,1
"2020-03-18","Oregon",41,8,1
"2020-03-19","Oregon",41,13,0
"2020-03-20","Oregon",41,27,0
"2020-03-21","Oregon",41,23,1
"2020-03-22","Oregon",41,24,1
"2020-03-23","Oregon",41,30,0
"2020-03-24","Oregon",41,18,3
"2020-03-25","Oregon",41,57,2
"2020-03-26","Oregon",41,50,1
"2020-03-27","Oregon",41,99,1
"2020-03-28","Oregon",41,65,1
"2020-03-29","Oregon",41,69,0
"2020-03-30","Oregon",41,58,3
"2020-03-31","Oregon",41,83,2
"2020-04-01","Oregon",41,47,1
"2020-04-02","Oregon",41,90,2
"2020-04-03","Oregon",41,72,1
"2020-04-04","Oregon",41,101,4
"2020-04-05","Oregon",41,68,1
"2020-04-06","Oregon",41,64,2
"2020-04-07","Oregon",41,49,4
"2020-04-08","Oregon",41,58,5
"2020-04-09","Oregon",41,82,6
"2020-04-10","Oregon",41,50,4
"2020-04-11","Oregon",41,76,3
"2020-04-12","Oregon",41,80,1
"2020-04-13","Oregon",41,57,1
"2020-04-14","Oregon",41,49,2
"2020-04-15","Oregon",41,30,3
"2020-04-16","Oregon",41,73,6
"2020-04-17","Oregon",41,49,6
"2020-04-18","Oregon",41,59,2
"2020-04-19","Oregon",41,66,2
"2020-04-20","Oregon",41,46,1
"2020-04-21","Oregon",41,46,3
"2020-04-22","Oregon",41,57,0
"2020-04-23","Oregon",41,68,5
"2020-04-24","Oregon",41,50,3
"2020-04-25","Oregon",41,76,1
"2020-04-26","Oregon",41,58,4
"2020-04-27","Oregon",41,43,1
"2020-04-28","Oregon",41,31,7
"2020-04-29","Oregon",41,61,2
"2020-04-30","Oregon",41,64,2
"2020-05-01","Oregon",41,69,1
"2020-05-02","Oregon",41,56,5
"2020-05-03","Oregon",41,45,0
"2020-05-04","Oregon",41,79,0
"2020-05-05","Oregon",41,80,4
"2020-05-06","Oregon",41,77,2
"2020-05-07","Oregon",41,73,6
"2020-05-08","Oregon",41,79,3
"2020-05-09","Oregon",41,92,3
"2020-05-10","Oregon",41,68,0
"2020-05-11","Oregon",41,58,3
"2020-05-12","Oregon",41,73,0
"2020-05-13","Oregon",41,57,4
"2020-05-14","Oregon",41,63,3
"2020-05-15","Oregon",41,62,0
"2020-05-16","Oregon",41,71,0
"2020-05-17","Oregon",41,11,0
"2020-05-18","Oregon",41,64,1
"2020-05-19","Oregon",41,39,2
"2020-05-20","Oregon",41,75,4
"2020-05-21","Oregon",41,16,1
"2020-05-22","Oregon",41,47,2
"2020-05-23","Oregon",41,24,0
"2020-05-24","Oregon",41,39,1
"2020-05-25","Oregon",41,22,0
"2020-05-26","Oregon",41,19,0
