"date","state","fips","cases","deaths"
"2020-03-13","Puerto Rico",72,3,0
"2020-03-14","Puerto Rico",72,1,0
"2020-03-15","Puerto Rico",72,1,0
"2020-03-16","Puerto Rico",72,0,0
"2020-03-17","Puerto Rico",72,0,0
"2020-03-18","Puerto Rico",72,0,0
"2020-03-19","Puerto Rico",72,1,0
"2020-03-20","Puerto Rico",72,8,0
"2020-03-21","Puerto Rico",72,7,1
"2020-03-22","Puerto Rico",72,2,0
"2020-03-23","Puerto Rico",72,8,1
"2020-03-24","Puerto Rico",72,8,0
"2020-03-25","Puerto Rico",72,12,0
"2020-03-26","Puerto Rico",72,13,0
"2020-03-27","Puerto Rico",72,15,1
"2020-03-28","Puerto Rico",72,21,0
"2020-03-29","Puerto Rico",72,27,2
"2020-03-30","Puerto Rico",72,47,1
"2020-03-31","Puerto Rico",72,65,2
"2020-04-01","Puerto Rico",72,47,3
"2020-04-02","Puerto Rico",72,30,1
"2020-04-03","Puerto Rico",72,62,3
"2020-04-04","Puerto Rico",72,74,3
"2020-04-05","Puerto Rico",72,23,2
"2020-04-06","Puerto Rico",72,38,1
"2020-04-07","Puerto Rico",72,60,2
"2020-04-08","Puerto Rico",72,47,1
"2020-04-09","Puerto Rico",72,63,9
"2020-04-10","Puerto Rico",72,42,6
"2020-04-11","Puerto Rico",72,63,3
"2020-04-12","Puerto Rico",72,109,2
"2020-04-13","Puerto Rico",72,6,1
"2020-04-14","Puerto Rico",72,20,0
"2020-04-15","Puerto Rico",72,51,6
"2020-04-16","Puerto Rico",72,69,5
"2020-04-17","Puerto Rico",72,25,2
"2020-04-18","Puerto Rico",72,50,2
"2020-04-19","Puerto Rico",72,95,-19
"2020-04-20","Puerto Rico",72,39,1
"2020-04-21","Puerto Rico",72,-337,1
"2020-04-22","Puerto Rico",72,0,3
"2020-04-23","Puerto Rico",72,315,23
"2020-04-24","Puerto Rico",72,46,8
"2020-04-25","Puerto Rico",72,31,6
"2020-04-26","Puerto Rico",72,64,1
"2020-04-27","Puerto Rico",72,17,0
"2020-04-28","Puerto Rico",72,12,2
"2020-04-29","Puerto Rico",72,65,0
"2020-04-30","Puerto Rico",72,72,6
"2020-05-01","Puerto Rico",72,36,2
"2020-05-02","Puerto Rico",72,182,1
"2020-05-03","Puerto Rico",72,51,2
"2020-05-04","Puerto Rico",72,69,0
"2020-05-05","Puerto Rico",72,49,2
"2020-05-06","Puerto Rico",72,44,0
"2020-05-07","Puerto Rico",72,63,3
"2020-05-08","Puerto Rico",72,125,5
"2020-05-09","Puerto Rico",72,17,1
"2020-05-10","Puerto Rico",72,25,3
"2020-05-11","Puerto Rico",72,58,2
"2020-05-12","Puerto Rico",72,43,1
"2020-05-13","Puerto Rico",72,30,1
"2020-05-14","Puerto Rico",72,98,2
"2020-05-15","Puerto Rico",72,115,5
"2020-05-16","Puerto Rico",72,47,0
"2020-05-17","Puerto Rico",72,57,1
"2020-05-18","Puerto Rico",72,64,1
"2020-05-19","Puerto Rico",72,95,0
"2020-05-20","Puerto Rico",72,61,1
"2020-05-21","Puerto Rico",72,47,1
"2020-05-22","Puerto Rico",72,117,0
"2020-05-23","Puerto Rico",72,70,1
"2020-05-24","Puerto Rico",72,89,0
"2020-05-25","Puerto Rico",72,71,2
"2020-05-26","Puerto Rico",72,64,0
"2020-05-27","Puerto Rico",72,73,0
"2020-05-28","Puerto Rico",72,89,2
"2020-05-29","Puerto Rico",72,161,1
"2020-05-30","Puerto Rico",72,71,1
"2020-05-31","Puerto Rico",72,58,3
"2020-06-01","Puerto Rico",72,97,0
"2020-06-02","Puerto Rico",72,62,2
"2020-06-03","Puerto Rico",72,88,2
"2020-06-04","Puerto Rico",72,485,0
"2020-06-05","Puerto Rico",72,112,1
"2020-06-06","Puerto Rico",72,295,1
"2020-06-07","Puerto Rico",72,70,0
"2020-06-08","Puerto Rico",72,61,0
"2020-06-09","Puerto Rico",72,139,0
"2020-06-10","Puerto Rico",72,144,1
"2020-06-11","Puerto Rico",72,23,1
"2020-06-12","Puerto Rico",72,184,2
"2020-06-13","Puerto Rico",72,154,0
"2020-06-14","Puerto Rico",72,121,1
"2020-06-15","Puerto Rico",72,79,0
"2020-06-16","Puerto Rico",72,61,0
"2020-06-17","Puerto Rico",72,52,0
"2020-06-18","Puerto Rico",72,108,0
"2020-06-19","Puerto Rico",72,84,0
"2020-06-20","Puerto Rico",72,268,0
"2020-06-21","Puerto Rico",72,62,2
"2020-06-22","Puerto Rico",72,39,0
"2020-06-23","Puerto Rico",72,121,0
"2020-06-24","Puerto Rico",72,135,0
"2020-06-25","Puerto Rico",72,57,2
"2020-06-26","Puerto Rico",72,45,0
"2020-06-27","Puerto Rico",72,144,1
"2020-06-28","Puerto Rico",72,123,1
"2020-06-29","Puerto Rico",72,61,0
"2020-06-30","Puerto Rico",72,215,0
"2020-07-01","Puerto Rico",72,72,0
"2020-07-02","Puerto Rico",72,71,0
