"date","state","fips","cases","deaths"
"2020-03-01","Rhode Island",44,2,0
"2020-03-02","Rhode Island",44,0,0
"2020-03-03","Rhode Island",44,0,0
"2020-03-04","Rhode Island",44,0,0
"2020-03-05","Rhode Island",44,0,0
"2020-03-06","Rhode Island",44,1,0
"2020-03-07","Rhode Island",44,0,0
"2020-03-08","Rhode Island",44,0,0
"2020-03-09","Rhode Island",44,0,0
"2020-03-10","Rhode Island",44,2,0
"2020-03-11","Rhode Island",44,0,0
"2020-03-12","Rhode Island",44,0,0
"2020-03-13","Rhode Island",44,15,0
"2020-03-14","Rhode Island",44,0,0
"2020-03-15","Rhode Island",44,0,0
"2020-03-16","Rhode Island",44,1,0
"2020-03-17","Rhode Island",44,2,0
"2020-03-18","Rhode Island",44,10,0
"2020-03-19","Rhode Island",44,11,0
"2020-03-20","Rhode Island",44,0,0
"2020-03-21","Rhode Island",44,22,0
"2020-03-22","Rhode Island",44,17,0
"2020-03-23","Rhode Island",44,23,0
"2020-03-24","Rhode Island",44,18,0
"2020-03-25","Rhode Island",44,8,0
"2020-03-26","Rhode Island",44,33,0
"2020-03-27","Rhode Island",44,38,0
"2020-03-28","Rhode Island",44,36,2
"2020-03-29","Rhode Island",44,55,1
"2020-03-30","Rhode Island",44,114,1
"2020-03-31","Rhode Island",44,80,4
"2020-04-01","Rhode Island",44,78,2
"2020-04-02","Rhode Island",44,91,2
"2020-04-03","Rhode Island",44,54,2
"2020-04-04","Rhode Island",44,95,3
"2020-04-05","Rhode Island",44,116,8
"2020-04-06","Rhode Island",44,160,2
"2020-04-07","Rhode Island",44,147,3
"2020-04-08","Rhode Island",44,221,5
"2020-04-09","Rhode Island",44,277,8
"2020-04-10","Rhode Island",44,288,6
"2020-04-11","Rhode Island",44,334,7
"2020-04-12","Rhode Island",44,316,7
"2020-04-13","Rhode Island",44,311,10
"2020-04-14","Rhode Island",44,275,7
"2020-04-15","Rhode Island",44,278,7
"2020-04-16","Rhode Island",44,309,18
"2020-04-17","Rhode Island",44,339,13
"2020-04-18","Rhode Island",44,314,19
"2020-04-19","Rhode Island",44,215,13
"2020-04-20","Rhode Island",44,384,5
"2020-04-21","Rhode Island",44,410,16
"2020-04-22","Rhode Island",44,341,10
"2020-04-23","Rhode Island",44,415,8
"2020-04-24","Rhode Island",44,443,13
"2020-04-25","Rhode Island",44,430,13
"2020-04-26","Rhode Island",44,310,11
"2020-04-27","Rhode Island",44,269,7
"2020-04-28","Rhode Island",44,218,6
"2020-04-29","Rhode Island",44,321,12
"2020-04-30","Rhode Island",44,374,15
"2020-05-01","Rhode Island",44,341,13
"2020-05-02","Rhode Island",44,327,17
"2020-05-03","Rhode Island",44,188,24
"2020-05-04","Rhode Island",44,175,21
"2020-05-05","Rhode Island",44,281,14
"2020-05-06","Rhode Island",44,272,15
"2020-05-07","Rhode Island",44,325,18
"2020-05-08","Rhode Island",44,249,11
"2020-05-09","Rhode Island",44,210,19
"2020-05-10","Rhode Island",44,285,4
"2020-05-11","Rhode Island",44,176,8
"2020-05-12","Rhode Island",44,164,14
"2020-05-13","Rhode Island",44,221,18
"2020-05-14","Rhode Island",44,181,6
"2020-05-15","Rhode Island",44,203,11
"2020-05-16","Rhode Island",44,215,10
"2020-05-17","Rhode Island",44,240,10
"2020-05-18","Rhode Island",44,121,7
"2020-05-19","Rhode Island",44,156,26
"2020-05-20","Rhode Island",44,405,6
"2020-05-21","Rhode Island",44,215,18
"2020-05-22","Rhode Island",44,165,23
"2020-05-23","Rhode Island",44,216,18
"2020-05-24","Rhode Island",44,113,11
"2020-05-25","Rhode Island",44,0,0
"2020-05-26","Rhode Island",44,145,26
"2020-05-27","Rhode Island",44,143,21
"2020-05-28","Rhode Island",44,141,22
"2020-05-29","Rhode Island",44,141,16
"2020-05-30","Rhode Island",44,184,18
"2020-05-31","Rhode Island",44,109,7
"2020-06-01","Rhode Island",44,63,2
"2020-06-02","Rhode Island",44,121,12
"2020-06-03","Rhode Island",44,107,10
"2020-06-04","Rhode Island",44,106,14
"2020-06-05","Rhode Island",44,116,16
"2020-06-06","Rhode Island",44,0,0
"2020-06-07","Rhode Island",44,0,0
"2020-06-08","Rhode Island",44,201,27
"2020-06-09","Rhode Island",44,49,9
"2020-06-10","Rhode Island",44,65,4
"2020-06-11","Rhode Island",44,106,11
"2020-06-12","Rhode Island",44,85,10
"2020-06-13","Rhode Island",44,0,0
"2020-06-14","Rhode Island",44,0,0
"2020-06-15","Rhode Island",44,146,18
"2020-06-16","Rhode Island",44,71,14
"2020-06-17","Rhode Island",44,49,11
"2020-06-18","Rhode Island",44,56,9
"2020-06-19","Rhode Island",44,68,9
"2020-06-20","Rhode Island",44,0,0
"2020-06-21","Rhode Island",44,0,0
"2020-06-22","Rhode Island",44,122,9
"2020-06-23","Rhode Island",44,74,3
"2020-06-24","Rhode Island",44,73,6
"2020-06-25","Rhode Island",44,34,8
"2020-06-26","Rhode Island",44,21,7
"2020-06-27","Rhode Island",44,0,0
"2020-06-28","Rhode Island",44,0,0
"2020-06-29","Rhode Island",44,103,19
"2020-06-30","Rhode Island",44,49,4
"2020-07-01","Rhode Island",44,40,6
"2020-07-02","Rhode Island",44,88,3
"2020-07-03","Rhode Island",44,50,1
"2020-07-04","Rhode Island",44,0,0
"2020-07-05","Rhode Island",44,0,0
"2020-07-06","Rhode Island",44,0,0
"2020-07-07","Rhode Island",44,163,9
"2020-07-08","Rhode Island",44,50,2
"2020-07-09","Rhode Island",44,39,3
"2020-07-10","Rhode Island",44,69,2
"2020-07-11","Rhode Island",44,0,0
"2020-07-12","Rhode Island",44,0,0
"2020-07-13","Rhode Island",44,175,8
"2020-07-14","Rhode Island",44,101,1
"2020-07-15","Rhode Island",44,52,2
"2020-07-16","Rhode Island",44,71,1
"2020-07-17","Rhode Island",44,82,2
"2020-07-18","Rhode Island",44,0,0
"2020-07-19","Rhode Island",44,0,0
"2020-07-20","Rhode Island",44,111,5
"2020-07-21","Rhode Island",44,82,1
"2020-07-22","Rhode Island",44,76,1
"2020-07-23","Rhode Island",44,86,4
"2020-07-24","Rhode Island",44,76,1
"2020-07-25","Rhode Island",44,0,0
"2020-07-26","Rhode Island",44,0,0
"2020-07-27","Rhode Island",44,291,2
"2020-07-28","Rhode Island",44,210,1
"2020-07-29","Rhode Island",44,75,2
"2020-07-30","Rhode Island",44,150,0
"2020-07-31","Rhode Island",44,72,0
"2020-08-01","Rhode Island",44,0,0
"2020-08-02","Rhode Island",44,0,0
"2020-08-03","Rhode Island",44,224,3
"2020-08-04","Rhode Island",44,144,1
"2020-08-05","Rhode Island",44,91,1
"2020-08-06","Rhode Island",44,130,2
"2020-08-07","Rhode Island",44,127,0
"2020-08-08","Rhode Island",44,0,0
"2020-08-09","Rhode Island",44,0,0
"2020-08-10","Rhode Island",44,196,1
"2020-08-11","Rhode Island",44,119,1
"2020-08-12","Rhode Island",44,76,2
"2020-08-13","Rhode Island",44,111,1
"2020-08-14","Rhode Island",44,95,2
"2020-08-15","Rhode Island",44,0,0
"2020-08-16","Rhode Island",44,0,0
"2020-08-17","Rhode Island",44,237,2
"2020-08-18","Rhode Island",44,120,1
"2020-08-19","Rhode Island",44,103,3
"2020-08-20","Rhode Island",44,76,1
"2020-08-21","Rhode Island",44,151,2
"2020-08-22","Rhode Island",44,0,0
"2020-08-23","Rhode Island",44,0,0
"2020-08-24","Rhode Island",44,280,5
"2020-08-25","Rhode Island",44,70,4
"2020-08-26","Rhode Island",44,82,2
"2020-08-27","Rhode Island",44,135,3
"2020-08-28","Rhode Island",44,94,2
"2020-08-29","Rhode Island",44,0,0
"2020-08-30","Rhode Island",44,0,0
"2020-08-31","Rhode Island",44,266,2
"2020-09-01","Rhode Island",44,53,2
"2020-09-02","Rhode Island",44,76,1
"2020-09-03","Rhode Island",44,65,4
"2020-09-04","Rhode Island",44,100,0
"2020-09-05","Rhode Island",44,0,0
"2020-09-06","Rhode Island",44,0,0
"2020-09-07","Rhode Island",44,0,0
"2020-09-08","Rhode Island",44,349,4
"2020-09-09","Rhode Island",44,84,3
"2020-09-10","Rhode Island",44,106,5
"2020-09-11","Rhode Island",44,123,4
"2020-09-12","Rhode Island",44,0,0
"2020-09-13","Rhode Island",44,0,0
"2020-09-14","Rhode Island",44,225,4
"2020-09-15","Rhode Island",44,120,3
"2020-09-16","Rhode Island",44,108,3
"2020-09-17","Rhode Island",44,130,4
"2020-09-18","Rhode Island",44,132,3
"2020-09-19","Rhode Island",44,0,0
"2020-09-20","Rhode Island",44,0,0
"2020-09-21","Rhode Island",44,312,9
"2020-09-22","Rhode Island",44,112,2
"2020-09-23","Rhode Island",44,133,3
"2020-09-24","Rhode Island",44,134,4
"2020-09-25","Rhode Island",44,-130,1
"2020-09-26","Rhode Island",44,0,0
"2020-09-27","Rhode Island",44,0,0
"2020-09-28","Rhode Island",44,243,3
"2020-09-29","Rhode Island",44,132,3
"2020-09-30","Rhode Island",44,192,1
"2020-10-01","Rhode Island",44,166,3
"2020-10-02","Rhode Island",44,162,1
"2020-10-03","Rhode Island",44,0,0
"2020-10-04","Rhode Island",44,0,0
"2020-10-05","Rhode Island",44,343,3
"2020-10-06","Rhode Island",44,177,4
"2020-10-07","Rhode Island",44,180,1
"2020-10-08","Rhode Island",44,269,1
"2020-10-09","Rhode Island",44,249,3
"2020-10-10","Rhode Island",44,0,0
"2020-10-11","Rhode Island",44,0,0
"2020-10-12","Rhode Island",44,0,0
"2020-10-13","Rhode Island",44,666,9
"2020-10-14","Rhode Island",44,204,8
"2020-10-15","Rhode Island",44,274,2
"2020-10-16","Rhode Island",44,253,3
"2020-10-17","Rhode Island",44,0,0
"2020-10-18","Rhode Island",44,0,0
"2020-10-19","Rhode Island",44,656,7
"2020-10-20","Rhode Island",44,302,5
"2020-10-21","Rhode Island",44,474,5
"2020-10-22","Rhode Island",44,471,4
"2020-10-23","Rhode Island",44,524,4
"2020-10-24","Rhode Island",44,0,0
"2020-10-25","Rhode Island",44,0,0
"2020-10-26","Rhode Island",44,906,7
"2020-10-27","Rhode Island",44,421,4
"2020-10-28","Rhode Island",44,499,4
"2020-10-29","Rhode Island",44,368,3
"2020-10-30","Rhode Island",44,562,6
"2020-10-31","Rhode Island",44,0,0
"2020-11-01","Rhode Island",44,0,0
"2020-11-02","Rhode Island",44,1246,9
"2020-11-03","Rhode Island",44,423,2
"2020-11-04","Rhode Island",44,579,2
"2020-11-05","Rhode Island",44,628,8
"2020-11-06","Rhode Island",44,630,2
