"date","state","fips","cases","deaths"
"2020-03-06","South Carolina",45,2,0
"2020-03-07","South Carolina",45,0,0
"2020-03-08","South Carolina",45,4,0
"2020-03-09","South Carolina",45,1,0
"2020-03-10","South Carolina",45,2,0
"2020-03-11","South Carolina",45,1,0
"2020-03-12","South Carolina",45,2,0
"2020-03-13","South Carolina",45,1,0
"2020-03-14","South Carolina",45,6,0
"2020-03-15","South Carolina",45,9,0
"2020-03-16","South Carolina",45,5,1
"2020-03-17","South Carolina",45,14,0
"2020-03-18","South Carolina",45,13,0
"2020-03-19","South Carolina",45,21,0
"2020-03-20","South Carolina",45,45,2
"2020-03-21","South Carolina",45,46,0
"2020-03-22","South Carolina",45,22,0
"2020-03-23","South Carolina",45,105,2
"2020-03-24","South Carolina",45,43,3
"2020-03-25","South Carolina",45,83,0
"2020-03-26","South Carolina",45,31,1
"2020-03-27","South Carolina",45,86,4
"2020-03-28","South Carolina",45,119,2
"2020-03-29","South Carolina",45,114,1
"2020-03-30","South Carolina",45,150,2
"2020-03-31","South Carolina",45,158,4
"2020-04-01","South Carolina",45,210,4
"2020-04-02","South Carolina",45,261,5
"2020-04-03","South Carolina",45,146,3
"2020-04-04","South Carolina",45,217,6
"2020-04-05","South Carolina",45,132,4
"2020-04-06","South Carolina",45,183,4
"2020-04-07","South Carolina",45,185,3
"2020-04-08","South Carolina",45,135,12
"2020-04-09","South Carolina",45,240,4
"2020-04-10","South Carolina",45,273,5
"2020-04-11","South Carolina",45,142,8
"2020-04-12","South Carolina",45,112,2
"2020-04-13","South Carolina",45,120,5
"2020-04-14","South Carolina",45,114,10
"2020-04-15","South Carolina",45,103,10
"2020-04-16","South Carolina",45,275,2
"2020-04-17","South Carolina",45,155,7
"2020-04-18","South Carolina",45,160,3
"2020-04-19","South Carolina",45,131,1
"2020-04-20","South Carolina",45,62,4
"2020-04-21","South Carolina",45,169,11
"2020-04-22","South Carolina",45,153,5
"2020-04-23","South Carolina",45,156,10
"2020-04-24","South Carolina",45,153,7
"2020-04-25","South Carolina",45,183,9
"2020-04-26","South Carolina",45,237,8
"2020-04-27","South Carolina",45,123,3
"2020-04-28","South Carolina",45,122,15
"2020-04-29","South Carolina",45,146,40
"2020-04-30","South Carolina",45,214,12
"2020-05-01","South Carolina",45,163,12
"2020-05-02","South Carolina",45,231,11
"2020-05-03","South Carolina",45,137,8
"2020-05-04","South Carolina",45,131,8
"2020-05-05","South Carolina",45,84,13
"2020-05-06","South Carolina",45,95,9
"2020-05-07","South Carolina",45,206,11
"2020-05-08","South Carolina",45,225,4
"2020-05-09","South Carolina",45,164,10
"2020-05-10","South Carolina",45,122,1
"2020-05-11","South Carolina",45,139,15
"2020-05-12","South Carolina",45,135,9
"2020-05-13","South Carolina",45,103,7
"2020-05-14","South Carolina",45,159,9
"2020-05-15","South Carolina",45,218,9
"2020-05-16","South Carolina",45,254,0
"2020-05-17","South Carolina",45,155,5
"2020-05-18","South Carolina",45,126,6
"2020-05-19","South Carolina",45,114,8
"2020-05-20","South Carolina",45,119,8
"2020-05-21","South Carolina",45,204,9
"2020-05-22","South Carolina",45,259,3
"2020-05-23","South Carolina",45,257,6
"2020-05-24","South Carolina",45,201,10
"2020-05-25","South Carolina",45,82,5
"2020-05-26","South Carolina",45,238,6
"2020-05-27","South Carolina",45,207,20
"2020-05-28","South Carolina",45,165,4
"2020-05-29","South Carolina",45,343,13
"2020-05-30","South Carolina",45,263,4
"2020-05-31","South Carolina",45,467,7
"2020-06-01","South Carolina",45,287,6
"2020-06-02","South Carolina",45,267,1
"2020-06-03","South Carolina",45,236,17
"2020-06-04","South Carolina",45,354,7
"2020-06-05","South Carolina",45,448,13
"2020-06-06","South Carolina",45,463,7
"2020-06-07","South Carolina",45,370,1
"2020-06-08","South Carolina",45,514,11
"2020-06-09","South Carolina",45,428,11
"2020-06-10","South Carolina",45,531,7
"2020-06-11","South Carolina",45,682,13
"2020-06-12","South Carolina",45,729,5
"2020-06-13","South Carolina",45,785,6
"2020-06-14","South Carolina",45,841,1
"2020-06-15","South Carolina",45,585,2
"2020-06-16","South Carolina",45,614,5
"2020-06-17","South Carolina",45,561,10
"2020-06-18","South Carolina",45,992,4
"2020-06-19","South Carolina",45,1083,18
"2020-06-20","South Carolina",45,1155,5
"2020-06-21","South Carolina",45,907,9
"2020-06-22","South Carolina",45,1008,6
"2020-06-23","South Carolina",45,912,14
"2020-06-24","South Carolina",45,1284,10
"2020-06-25","South Carolina",45,1125,10
"2020-06-26","South Carolina",45,1313,1
"2020-06-27","South Carolina",45,1604,17
"2020-06-28","South Carolina",45,1381,5
"2020-06-29","South Carolina",45,1324,4
"2020-06-30","South Carolina",45,1755,19
"2020-07-01","South Carolina",45,1520,27
"2020-07-02","South Carolina",45,1782,18
"2020-07-03","South Carolina",45,1831,9
"2020-07-04","South Carolina",45,1854,20
"2020-07-05","South Carolina",45,1461,7
"2020-07-06","South Carolina",45,1533,7
"2020-07-07","South Carolina",45,972,19
"2020-07-08","South Carolina",45,1557,38
"2020-07-09","South Carolina",45,1782,21
"2020-07-10","South Carolina",45,1728,24
"2020-07-11","South Carolina",45,2280,22
"2020-07-12","South Carolina",45,1949,10
"2020-07-13","South Carolina",45,1520,11
"2020-07-14","South Carolina",45,2221,21
"2020-07-15","South Carolina",45,1856,5
"2020-07-16","South Carolina",45,1838,72
"2020-07-17","South Carolina",45,1977,26
"2020-07-18","South Carolina",45,1552,39
"2020-07-19","South Carolina",45,2374,20
"2020-07-20","South Carolina",45,1459,9
"2020-07-21","South Carolina",45,1892,57
"2020-07-22","South Carolina",45,1705,64
"2020-07-23","South Carolina",45,1564,49
"2020-07-24","South Carolina",45,2001,51
"2020-07-25","South Carolina",45,1401,80
"2020-07-26","South Carolina",45,1191,26
"2020-07-27","South Carolina",45,1218,15
"2020-07-28","South Carolina",45,1692,59
"2020-07-29","South Carolina",45,1737,50
"2020-07-30","South Carolina",45,1726,52
"2020-07-31","South Carolina",45,1444,45
"2020-08-01","South Carolina",45,1583,39
"2020-08-02","South Carolina",45,1189,26
"2020-08-03","South Carolina",45,1163,16
"2020-08-04","South Carolina",45,1239,54
"2020-08-05","South Carolina",45,1282,47
"2020-08-06","South Carolina",45,1325,49
"2020-08-07","South Carolina",45,1422,19
"2020-08-08","South Carolina",45,1241,45
"2020-08-09","South Carolina",45,975,24
"2020-08-10","South Carolina",45,724,18
"2020-08-11","South Carolina",45,971,49
"2020-08-12","South Carolina",45,844,46
"2020-08-13","South Carolina",45,935,42
"2020-08-14","South Carolina",45,932,18
"2020-08-15","South Carolina",45,1041,56
"2020-08-16","South Carolina",45,615,9
"2020-08-17","South Carolina",45,456,19
"2020-08-18","South Carolina",45,719,55
"2020-08-19","South Carolina",45,739,17
"2020-08-20","South Carolina",45,909,41
"2020-08-21","South Carolina",45,1058,58
"2020-08-22","South Carolina",45,917,34
"2020-08-23","South Carolina",45,693,11
"2020-08-24","South Carolina",45,563,7
"2020-08-25","South Carolina",45,937,18
"2020-08-26","South Carolina",45,605,44
"2020-08-27","South Carolina",45,505,55
"2020-08-28","South Carolina",45,1353,27
"2020-08-29","South Carolina",45,1298,43
"2020-08-30","South Carolina",45,1075,11
"2020-08-31","South Carolina",45,668,11
"2020-09-01","South Carolina",45,854,37
"2020-09-02","South Carolina",45,657,37
"2020-09-03","South Carolina",45,1193,13
"2020-09-04","South Carolina",45,1629,39
"2020-09-05","South Carolina",45,964,31
"2020-09-06","South Carolina",45,663,10
"2020-09-07","South Carolina",45,655,20
"2020-09-08","South Carolina",45,301,5
"2020-09-09","South Carolina",45,305,30
"2020-09-10","South Carolina",45,379,33
"2020-09-11","South Carolina",45,2454,53
"2020-09-12","South Carolina",45,932,12
"2020-09-13","South Carolina",45,1886,24
"2020-09-14","South Carolina",45,816,13
"2020-09-15","South Carolina",45,790,21
"2020-09-16","South Carolina",45,652,34
"2020-09-17","South Carolina",45,1324,26
"2020-09-18","South Carolina",45,872,19
"2020-09-19","South Carolina",45,922,11
"2020-09-20","South Carolina",45,468,11
"2020-09-21","South Carolina",45,416,13
"2020-09-22","South Carolina",45,2665,31
"2020-09-23","South Carolina",45,897,19
"2020-09-24","South Carolina",45,1021,17
"2020-09-25","South Carolina",45,1195,18
"2020-09-26","South Carolina",45,1371,26
"2020-09-27","South Carolina",45,614,3
"2020-09-28","South Carolina",45,568,11
"2020-09-29","South Carolina",45,1179,22
"2020-09-30","South Carolina",45,308,19
"2020-10-01","South Carolina",45,381,22
"2020-10-02","South Carolina",45,862,9
"2020-10-03","South Carolina",45,1706,33
"2020-10-04","South Carolina",45,691,11
"2020-10-05","South Carolina",45,577,3
"2020-10-06","South Carolina",45,811,15
"2020-10-07","South Carolina",45,735,31
"2020-10-08","South Carolina",45,1050,12
"2020-10-09","South Carolina",45,921,16
"2020-10-10","South Carolina",45,945,21
"2020-10-11","South Carolina",45,785,1
"2020-10-12","South Carolina",45,649,7
"2020-10-13","South Carolina",45,828,17
"2020-10-14","South Carolina",45,926,17
"2020-10-15","South Carolina",45,1297,14
"2020-10-16","South Carolina",45,1147,8
"2020-10-17","South Carolina",45,961,22
"2020-10-18","South Carolina",45,776,13
"2020-10-19","South Carolina",45,619,11
"2020-10-20","South Carolina",45,884,35
"2020-10-21","South Carolina",45,864,12
"2020-10-22","South Carolina",45,1128,47
"2020-10-23","South Carolina",45,1064,22
"2020-10-24","South Carolina",45,792,16
"2020-10-25","South Carolina",45,1337,9
"2020-10-26","South Carolina",45,823,21
"2020-10-27","South Carolina",45,1078,19
"2020-10-28","South Carolina",45,912,34
"2020-10-29","South Carolina",45,1100,13
"2020-10-30","South Carolina",45,1003,7
"2020-10-31","South Carolina",45,1018,39
"2020-11-01","South Carolina",45,1411,1
"2020-11-02","South Carolina",45,894,10
"2020-11-03","South Carolina",45,1035,22
"2020-11-04","South Carolina",45,918,17
"2020-11-05","South Carolina",45,769,7
"2020-11-06","South Carolina",45,1233,13
"2020-11-07","South Carolina",45,1870,10
"2020-11-08","South Carolina",45,946,21
"2020-11-09","South Carolina",45,703,5
"2020-11-10","South Carolina",45,1347,21
"2020-11-11","South Carolina",45,1257,14
"2020-11-12","South Carolina",45,1495,8
"2020-11-13","South Carolina",45,1611,17
"2020-11-14","South Carolina",45,1913,9
"2020-11-15","South Carolina",45,1493,2
"2020-11-16","South Carolina",45,1110,31
"2020-11-17","South Carolina",45,1283,13
"2020-11-18","South Carolina",45,1547,26
"2020-11-19","South Carolina",45,1713,19
"2020-11-20","South Carolina",45,2001,30
"2020-11-21","South Carolina",45,1857,43
"2020-11-22","South Carolina",45,1277,9
"2020-11-23","South Carolina",45,1257,5
"2020-11-24","South Carolina",45,1678,25
"2020-11-25","South Carolina",45,1675,4
"2020-11-26","South Carolina",45,0,0
"2020-11-27","South Carolina",45,2215,29
"2020-11-28","South Carolina",45,1791,0
"2020-11-29","South Carolina",45,1218,7
"2020-11-30","South Carolina",45,1358,28
"2020-12-01","South Carolina",45,1425,23
"2020-12-02","South Carolina",45,1923,40
"2020-12-03","South Carolina",45,2228,22
"2020-12-04","South Carolina",45,2950,30
"2020-12-05","South Carolina",45,3222,21
"2020-12-06","South Carolina",45,2864,49
"2020-12-07","South Carolina",45,2553,13
"2020-12-08","South Carolina",45,2302,6
"2020-12-09","South Carolina",45,2490,27
"2020-12-10","South Carolina",45,2242,15
"2020-12-11","South Carolina",45,3540,46
"2020-12-12","South Carolina",45,3572,12
"2020-12-13","South Carolina",45,3408,54
"2020-12-14","South Carolina",45,2570,12
"2020-12-15","South Carolina",45,2544,5
"2020-12-16","South Carolina",45,2799,44
"2020-12-17","South Carolina",45,2655,43
"2020-12-18","South Carolina",45,4302,29
"2020-12-19","South Carolina",45,3461,23
"2020-12-20","South Carolina",45,2869,40
"2020-12-21","South Carolina",45,2327,27
"2020-12-22","South Carolina",45,2322,14
"2020-12-23","South Carolina",45,4175,52
"2020-12-24","South Carolina",45,2798,15
"2020-12-25","South Carolina",45,0,0
"2020-12-26","South Carolina",45,3864,81
