"date","state","fips","cases","deaths"
"2020-03-10","South Dakota",46,5,1
"2020-03-11","South Dakota",46,3,0
"2020-03-12","South Dakota",46,0,0
"2020-03-13","South Dakota",46,1,0
"2020-03-14","South Dakota",46,0,0
"2020-03-15","South Dakota",46,0,0
"2020-03-16","South Dakota",46,1,0
"2020-03-17","South Dakota",46,1,0
"2020-03-18","South Dakota",46,0,0
"2020-03-19","South Dakota",46,3,0
"2020-03-20","South Dakota",46,0,0
"2020-03-21","South Dakota",46,0,0
"2020-03-22","South Dakota",46,7,0
"2020-03-23","South Dakota",46,7,0
"2020-03-24","South Dakota",46,2,0
"2020-03-25","South Dakota",46,11,0
"2020-03-26","South Dakota",46,5,0
"2020-03-27","South Dakota",46,12,0
"2020-03-28","South Dakota",46,10,0
"2020-03-29","South Dakota",46,22,0
"2020-03-30","South Dakota",46,10,0
"2020-03-31","South Dakota",46,7,0
"2020-04-01","South Dakota",46,22,0
"2020-04-02","South Dakota",46,36,1
"2020-04-03","South Dakota",46,22,0
"2020-04-04","South Dakota",46,25,0
"2020-04-05","South Dakota",46,28,0
"2020-04-06","South Dakota",46,48,2
"2020-04-07","South Dakota",46,32,2
"2020-04-08","South Dakota",46,73,0
"2020-04-09","South Dakota",46,54,0
"2020-04-10","South Dakota",46,89,0
"2020-04-11","South Dakota",46,90,0
"2020-04-12","South Dakota",46,103,0
"2020-04-13","South Dakota",46,138,0
"2020-04-14","South Dakota",46,120,0
"2020-04-15","South Dakota",46,181,0
"2020-04-16","South Dakota",46,143,1
"2020-04-17","South Dakota",46,100,0
"2020-04-18","South Dakota",46,130,0
"2020-04-19","South Dakota",46,94,0
"2020-04-20","South Dakota",46,50,0
"2020-04-21","South Dakota",46,70,1
"2020-04-22","South Dakota",46,103,1
"2020-04-23","South Dakota",46,98,0
"2020-04-24","South Dakota",46,84,1
"2020-04-25","South Dakota",46,107,0
"2020-04-26","South Dakota",46,66,1
"2020-04-27","South Dakota",46,33,0
"2020-04-28","South Dakota",46,68,0
"2020-04-29","South Dakota",46,61,2
"2020-04-30","South Dakota",46,75,4
