"date","state","fips","cases","deaths"
"2020-02-12","Texas",48,1,0
"2020-02-13","Texas",48,1,0
"2020-02-14","Texas",48,0,0
"2020-02-15","Texas",48,0,0
"2020-02-16","Texas",48,0,0
"2020-02-17","Texas",48,0,0
"2020-02-18","Texas",48,0,0
"2020-02-19","Texas",48,0,0
"2020-02-20","Texas",48,0,0
"2020-02-21","Texas",48,2,0
"2020-02-22","Texas",48,0,0
"2020-02-23","Texas",48,0,0
"2020-02-24","Texas",48,6,0
"2020-02-25","Texas",48,0,0
"2020-02-26","Texas",48,0,0
"2020-02-27","Texas",48,0,0
"2020-02-28","Texas",48,1,0
"2020-02-29","Texas",48,0,0
"2020-03-01","Texas",48,0,0
"2020-03-02","Texas",48,0,0
"2020-03-03","Texas",48,0,0
"2020-03-04","Texas",48,1,0
"2020-03-05","Texas",48,4,0
"2020-03-06","Texas",48,3,0
"2020-03-07","Texas",48,0,0
"2020-03-08","Texas",48,4,0
"2020-03-09","Texas",48,1,0
"2020-03-10","Texas",48,7,0
"2020-03-11","Texas",48,2,0
"2020-03-12","Texas",48,8,0
"2020-03-13","Texas",48,17,0
"2020-03-14","Texas",48,11,0
"2020-03-15","Texas",48,11,0
"2020-03-16","Texas",48,7,1
"2020-03-17","Texas",48,19,0
"2020-03-18","Texas",48,60,1
"2020-03-19","Texas",48,82,2
"2020-03-20","Texas",48,138,1
"2020-03-21","Texas",48,161,0
"2020-03-22","Texas",48,92,2
"2020-03-23","Texas",48,89,0
"2020-03-24","Texas",48,129,4
"2020-03-25","Texas",48,275,2
"2020-03-26","Texas",48,410,8
"2020-03-27","Texas",48,429,4
"2020-03-28","Texas",48,410,5
"2020-03-29","Texas",48,341,5
"2020-03-30","Texas",48,343,11
"2020-03-31","Texas",48,523,11
"2020-04-01","Texas",48,814,8
"2020-04-02","Texas",48,550,15
"2020-04-03","Texas",48,821,18
"2020-04-04","Texas",48,793,26
"2020-04-05","Texas",48,551,12
"2020-04-06","Texas",48,1033,23
"2020-04-07","Texas",48,818,18
"2020-04-08","Texas",48,929,18
"2020-04-09","Texas",48,1475,33
"2020-04-10","Texas",48,919,21
"2020-04-11","Texas",48,917,16
"2020-04-12","Texas",48,568,23
"2020-04-13","Texas",48,711,32
"2020-04-14","Texas",48,816,45
"2020-04-15","Texas",48,803,30
"2020-04-16","Texas",48,822,33
"2020-04-17","Texas",48,1203,33
"2020-04-18","Texas",48,796,26
"2020-04-19","Texas",48,514,16
"2020-04-20","Texas",48,594,20
"2020-04-21","Texas",48,914,29
"2020-04-22","Texas",48,820,19
"2020-04-23","Texas",48,937,30
"2020-04-24","Texas",48,944,24
"2020-04-25","Texas",48,844,37
"2020-04-26","Texas",48,715,14
"2020-04-27","Texas",48,754,23
"2020-04-28","Texas",48,905,39
"2020-04-29","Texas",48,971,38
"2020-04-30","Texas",48,1233,52
"2020-05-01","Texas",48,1270,25
"2020-05-02","Texas",48,1091,22
"2020-05-03","Texas",48,866,15
"2020-05-04","Texas",48,835,24
"2020-05-05","Texas",48,1152,41
"2020-05-06","Texas",48,1155,30
"2020-05-07","Texas",48,1241,31
"2020-05-08","Texas",48,1261,43
"2020-05-09","Texas",48,906,27
"2020-05-10","Texas",48,1188,24
"2020-05-11","Texas",48,951,27
"2020-05-12","Texas",48,1360,32
"2020-05-13","Texas",48,1474,36
"2020-05-14","Texas",48,1347,51
"2020-05-15","Texas",48,1818,44
"2020-05-16","Texas",48,879,30
"2020-05-17","Texas",48,962,26
"2020-05-18","Texas",48,960,6
"2020-05-19","Texas",48,1292,43
"2020-05-20","Texas",48,1289,38
"2020-05-21","Texas",48,1072,37
"2020-05-22","Texas",48,928,18
"2020-05-23","Texas",48,1082,24
"2020-05-24","Texas",48,599,11
"2020-05-25","Texas",48,440,3
"2020-05-26","Texas",48,1083,16
"2020-05-27","Texas",48,1532,46
"2020-05-28","Texas",48,1715,20
"2020-05-29","Texas",48,1253,27
"2020-05-30","Texas",48,1323,31
"2020-05-31","Texas",48,1578,7
"2020-06-01","Texas",48,1107,12
"2020-06-02","Texas",48,1885,37
"2020-06-03","Texas",48,1580,34
"2020-06-04","Texas",48,1784,27
"2020-06-05","Texas",48,1993,28
"2020-06-06","Texas",48,1754,19
"2020-06-07","Texas",48,871,6
"2020-06-08","Texas",48,1378,10
"2020-06-09","Texas",48,1945,30
"2020-06-10","Texas",48,2500,30
"2020-06-11","Texas",48,2001,26
"2020-06-12","Texas",48,2259,23
"2020-06-13","Texas",48,2089,24
"2020-06-14","Texas",48,1422,6
"2020-06-15","Texas",48,2184,23
"2020-06-16","Texas",48,4247,39
"2020-06-17","Texas",48,3493,42
"2020-06-18","Texas",48,3211,38
"2020-06-19","Texas",48,4645,31
"2020-06-20","Texas",48,4272,18
"2020-06-21","Texas",48,3292,9
"2020-06-22","Texas",48,4760,18
"2020-06-23","Texas",48,5080,33
"2020-06-24","Texas",48,6584,46
"2020-06-25","Texas",48,5473,29
"2020-06-26","Texas",48,5799,41
"2020-06-27","Texas",48,6057,36
"2020-06-28","Texas",48,4227,10
"2020-06-29","Texas",48,5890,22
"2020-06-30","Texas",48,7947,52
"2020-07-01","Texas",48,8123,36
"2020-07-02","Texas",48,7434,44
"2020-07-03","Texas",48,7789,47
"2020-07-04","Texas",48,5658,37
"2020-07-05","Texas",48,4430,20
"2020-07-06","Texas",48,9213,60
"2020-07-07","Texas",48,9814,90
"2020-07-08","Texas",48,9952,119
"2020-07-09","Texas",48,10909,102
"2020-07-10","Texas",48,9923,92
"2020-07-11","Texas",48,8332,77
"2020-07-12","Texas",48,6531,40
"2020-07-13","Texas",48,8921,67
"2020-07-14","Texas",48,10906,136
"2020-07-15","Texas",48,11840,141
"2020-07-16","Texas",48,15038,154
"2020-07-17","Texas",48,9738,145
"2020-07-18","Texas",48,8805,83
"2020-07-19","Texas",48,7977,61
"2020-07-20","Texas",48,7636,127
"2020-07-21","Texas",48,9922,159
"2020-07-22","Texas",48,10967,203
"2020-07-23","Texas",48,9543,192
"2020-07-24","Texas",48,7558,162
"2020-07-25","Texas",48,7947,126
"2020-07-26","Texas",48,4129,88
"2020-07-27","Texas",48,6557,1202
"2020-07-28","Texas",48,10554,226
"2020-07-29","Texas",48,9042,316
"2020-07-30","Texas",48,10243,153
"2020-07-31","Texas",48,10956,286
"2020-08-01","Texas",48,5134,204
"2020-08-02","Texas",48,6535,43
"2020-08-03","Texas",48,8782,177
"2020-08-04","Texas",48,9564,254
"2020-08-05","Texas",48,9362,201
"2020-08-06","Texas",48,7635,248
"2020-08-07","Texas",48,8164,280
"2020-08-08","Texas",48,6339,205
"2020-08-09","Texas",48,5787,99
"2020-08-10","Texas",48,6790,80
"2020-08-11","Texas",48,7716,247
"2020-08-12","Texas",48,6927,334
"2020-08-13","Texas",48,6980,234
