"date","state","fips","cases","deaths"
"2020-03-07","Virginia",51,1,0
"2020-03-08","Virginia",51,1,0
"2020-03-09","Virginia",51,3,0
"2020-03-10","Virginia",51,3,0
"2020-03-11","Virginia",51,2,0
"2020-03-12","Virginia",51,7,0
"2020-03-13","Virginia",51,13,0
"2020-03-14","Virginia",51,12,1
"2020-03-15","Virginia",51,3,0
"2020-03-16","Virginia",51,6,0
"2020-03-17","Virginia",51,16,1
"2020-03-18","Virginia",51,11,0
"2020-03-19","Virginia",51,16,0
"2020-03-20","Virginia",51,21,0
"2020-03-21","Virginia",51,37,1
"2020-03-22","Virginia",51,67,3
"2020-03-23","Virginia",51,35,0
"2020-03-24","Virginia",51,37,1
"2020-03-25","Virginia",51,99,2
"2020-03-26","Virginia",51,213,5
"2020-03-27","Virginia",51,2,0
"2020-03-28","Virginia",51,134,3
"2020-03-29","Virginia",51,150,5
"2020-03-30","Virginia",51,131,4
"2020-03-31","Virginia",51,229,1
"2020-04-01","Virginia",51,262,-9
"2020-04-02","Virginia",51,195,0
"2020-04-03","Virginia",51,305,28
"2020-04-04","Virginia",51,397,6
"2020-04-05","Virginia",51,228,0
"2020-04-06","Virginia",51,241,2
"2020-04-07","Virginia",51,455,15
"2020-04-08","Virginia",51,312,-9
"2020-04-09","Virginia",51,397,49
"2020-04-10","Virginia",51,468,12
"2020-04-11","Virginia",51,567,9
"2020-04-12","Virginia",51,197,11
"2020-04-13","Virginia",51,473,8
"2020-04-14","Virginia",51,427,5
"2020-04-15","Virginia",51,329,41
"2020-04-16","Virginia",51,389,13
"2020-04-17","Virginia",51,601,30
"2020-04-18","Virginia",51,561,20
"2020-04-19","Virginia",51,483,19
"2020-04-20","Virginia",51,453,23
"2020-04-21","Virginia",51,640,25
"2020-04-22","Virginia",51,636,24
"2020-04-23","Virginia",51,734,26
"2020-04-24","Virginia",51,596,38
"2020-04-25","Virginia",51,770,23
"2020-04-26","Virginia",51,604,12
"2020-04-27","Virginia",51,565,10
"2020-04-28","Virginia",51,804,34
"2020-04-29","Virginia",51,623,30
"2020-04-30","Virginia",51,885,30
"2020-05-01","Virginia",51,1055,29
"2020-05-02","Virginia",51,830,35
"2020-05-03","Virginia",51,940,44
"2020-05-04","Virginia",51,821,24
"2020-05-05","Virginia",51,764,29
"2020-05-06","Virginia",51,0,0
"2020-05-07","Virginia",51,1314,56
"2020-05-08","Virginia",51,772,43
"2020-05-09","Virginia",51,854,15
"2020-05-10","Virginia",51,885,12
"2020-05-11","Virginia",51,989,11
"2020-05-12","Virginia",51,730,41
"2020-05-13","Virginia",51,946,36
"2020-05-14","Virginia",51,1067,28
"2020-05-15","Virginia",51,859,22
"2020-05-16","Virginia",51,1011,25
"2020-05-17","Virginia",51,705,7
"2020-05-18","Virginia",51,752,5
"2020-05-19","Virginia",51,1005,27
"2020-05-20","Virginia",51,763,33
"2020-05-21","Virginia",51,1229,25
"2020-05-22","Virginia",51,813,37
"2020-05-23","Virginia",51,799,23
"2020-05-24","Virginia",51,495,12
"2020-05-25","Virginia",51,1483,37
"2020-05-26","Virginia",51,1615,28
"2020-05-27","Virginia",51,907,45
"2020-05-28","Virginia",51,1152,57
"2020-05-29","Virginia",51,1132,20
"2020-05-30","Virginia",51,1078,12
"2020-05-31","Virginia",51,996,5
"2020-06-01","Virginia",51,791,17
"2020-06-02","Virginia",51,841,15
"2020-06-03","Virginia",51,666,21
"2020-06-04","Virginia",51,951,17
"2020-06-05","Virginia",51,676,8
"2020-06-06","Virginia",51,865,7
"2020-06-07","Virginia",51,1284,12
"2020-06-08","Virginia",51,570,5
