"date","state","fips","cases","deaths"
"2020-03-17","West Virginia",54,1,0
"2020-03-18","West Virginia",54,1,0
"2020-03-19","West Virginia",54,3,0
"2020-03-20","West Virginia",54,3,0
"2020-03-21","West Virginia",54,4,0
"2020-03-22","West Virginia",54,4,0
"2020-03-23","West Virginia",54,0,0
"2020-03-24","West Virginia",54,23,0
"2020-03-25","West Virginia",54,12,0
"2020-03-26","West Virginia",54,25,0
"2020-03-27","West Virginia",54,20,0
"2020-03-28","West Virginia",54,17,0
"2020-03-29","West Virginia",54,11,1
"2020-03-30","West Virginia",54,21,0
"2020-03-31","West Virginia",54,17,0
"2020-04-01","West Virginia",54,29,1
"2020-04-02","West Virginia",54,26,0
"2020-04-03","West Virginia",54,25,0
"2020-04-04","West Virginia",54,40,0
"2020-04-05","West Virginia",54,43,1
"2020-04-06","West Virginia",54,22,1
"2020-04-07","West Virginia",54,66,0
"2020-04-08","West Virginia",54,70,0
"2020-04-09","West Virginia",54,41,1
"2020-04-10","West Virginia",54,13,0
"2020-04-11","West Virginia",54,56,1
"2020-04-12","West Virginia",54,22,2
"2020-04-13","West Virginia",54,23,1
"2020-04-14","West Virginia",54,59,1
"2020-04-15","West Virginia",54,28,2
"2020-04-16","West Virginia",54,14,1
"2020-04-17","West Virginia",54,37,3
"2020-04-18","West Virginia",54,49,2
"2020-04-19","West Virginia",54,65,2
"2020-04-20","West Virginia",54,18,6
"2020-04-21","West Virginia",54,21,0
"2020-04-22","West Virginia",54,10,3
"2020-04-23","West Virginia",54,42,2
"2020-04-24","West Virginia",54,29,1
"2020-04-25","West Virginia",54,15,1
"2020-04-26","West Virginia",54,29,1
"2020-04-27","West Virginia",54,24,3
"2020-04-28","West Virginia",54,18,1
"2020-04-29","West Virginia",54,14,2
"2020-04-30","West Virginia",54,16,4
"2020-05-01","West Virginia",54,26,3
"2020-05-02","West Virginia",54,33,3
"2020-05-03","West Virginia",54,11,0
"2020-05-04","West Virginia",54,29,0
"2020-05-05","West Virginia",54,18,0
"2020-05-06","West Virginia",54,34,1
"2020-05-07","West Virginia",54,21,0
"2020-05-08","West Virginia",54,26,1
"2020-05-09","West Virginia",54,24,1
"2020-05-10","West Virginia",54,15,1
"2020-05-11","West Virginia",54,7,3
"2020-05-12","West Virginia",54,9,1
"2020-05-13","West Virginia",54,26,1
"2020-05-14","West Virginia",54,30,3
"2020-05-15","West Virginia",54,13,2
"2020-05-16","West Virginia",54,22,1
"2020-05-17","West Virginia",54,22,2
