"date","state","fips","cases","deaths"
"2020-03-12","Alaska",2,1,0
"2020-03-13","Alaska",2,0,0
"2020-03-14","Alaska",2,0,0
"2020-03-15","Alaska",2,0,0
"2020-03-16","Alaska",2,2,0
"2020-03-17","Alaska",2,3,0
"2020-03-18","Alaska",2,3,0
"2020-03-19","Alaska",2,3,0
"2020-03-20","Alaska",2,2,0
"2020-03-21","Alaska",2,7,0
"2020-03-22","Alaska",2,1,0
"2020-03-23","Alaska",2,14,0
"2020-03-24","Alaska",2,6,0
"2020-03-25","Alaska",2,17,0
"2020-03-26","Alaska",2,10,0
"2020-03-27","Alaska",2,16,1
"2020-03-28","Alaska",2,17,0
"2020-03-29","Alaska",2,12,1
"2020-03-30","Alaska",2,6,0
"2020-03-31","Alaska",2,13,0
"2020-04-01","Alaska",2,10,0
"2020-04-02","Alaska",2,3,0
"2020-04-03","Alaska",2,10,0
"2020-04-04","Alaska",2,13,1
"2020-04-05","Alaska",2,14,1
"2020-04-06","Alaska",2,6,0
"2020-04-07","Alaska",2,22,0
"2020-04-08","Alaska",2,13,1
"2020-04-09","Alaska",2,9,0
"2020-04-10","Alaska",2,11,0
"2020-04-11","Alaska",2,11,1
"2020-04-12","Alaska",2,15,0
"2020-04-13","Alaska",2,5,0
"2020-04-14","Alaska",2,8,1
"2020-04-15","Alaska",2,8,0
"2020-04-16","Alaska",2,7,0
"2020-04-17","Alaska",2,9,0
"2020-04-18","Alaska",2,5,0
"2020-04-19","Alaska",2,5,0
"2020-04-20","Alaska",2,2,0
"2020-04-21","Alaska",2,8,0
"2020-04-22","Alaska",2,6,0
"2020-04-23","Alaska",2,2,0
"2020-04-24","Alaska",2,2,0
"2020-04-25","Alaska",2,0,0
"2020-04-26","Alaska",2,2,0
"2020-04-27","Alaska",2,4,0
"2020-04-28","Alaska",2,6,0
"2020-04-29","Alaska",2,4,0
"2020-04-30","Alaska",2,0,0
"2020-05-01","Alaska",2,9,0
"2020-05-02","Alaska",2,1,0
"2020-05-03","Alaska",2,3,0
"2020-05-04","Alaska",2,2,0
"2020-05-05","Alaska",2,1,0
"2020-05-06","Alaska",2,1,1
"2020-05-07","Alaska",2,3,0
"2020-05-08","Alaska",2,3,0
"2020-05-09","Alaska",2,1,0
"2020-05-10","Alaska",2,1,0
"2020-05-11","Alaska",2,2,0
"2020-05-12","Alaska",2,3,0
"2020-05-13","Alaska",2,0,0
"2020-05-14","Alaska",2,4,0
"2020-05-15","Alaska",2,1,0
"2020-05-16","Alaska",2,4,0
"2020-05-17","Alaska",2,4,0
"2020-05-18","Alaska",2,3,0
"2020-05-19","Alaska",2,0,0
"2020-05-20","Alaska",2,3,0
"2020-05-21","Alaska",2,0,0
"2020-05-22","Alaska",2,2,0
"2020-05-23","Alaska",2,5,0
"2020-05-24","Alaska",2,0,0
"2020-05-25","Alaska",2,3,0
"2020-05-26","Alaska",2,4,0
"2020-05-27","Alaska",2,1,0
"2020-05-28","Alaska",2,13,0
"2020-05-29","Alaska",2,6,0
"2020-05-30","Alaska",2,5,0
"2020-05-31","Alaska",2,28,0
"2020-06-01","Alaska",2,7,0
"2020-06-02","Alaska",2,21,0
"2020-06-03","Alaska",2,19,0
"2020-06-04","Alaska",2,26,0
"2020-06-05","Alaska",2,23,0
"2020-06-06","Alaska",2,14,0
"2020-06-07","Alaska",2,9,0
"2020-06-08","Alaska",2,19,0
"2020-06-09","Alaska",2,13,1
"2020-06-10","Alaska",2,22,0
"2020-06-11","Alaska",2,24,0
"2020-06-12","Alaska",2,22,1
"2020-06-13","Alaska",2,34,0
"2020-06-14","Alaska",2,12,0
"2020-06-15","Alaska",2,4,0
"2020-06-16","Alaska",2,13,0
"2020-06-17","Alaska",2,25,0
"2020-06-18","Alaska",2,19,0
"2020-06-19","Alaska",2,26,0
"2020-06-20","Alaska",2,24,0
"2020-06-21","Alaska",2,14,0
"2020-06-22","Alaska",2,10,0
"2020-06-23","Alaska",2,36,0
"2020-06-24","Alaska",2,21,0
"2020-06-25","Alaska",2,45,0
"2020-06-26","Alaska",2,30,2
"2020-06-27","Alaska",2,26,0
"2020-06-28","Alaska",2,33,0
"2020-06-29","Alaska",2,25,0
"2020-06-30","Alaska",2,47,0
"2020-07-01","Alaska",2,42,0
"2020-07-02","Alaska",2,50,0
"2020-07-03","Alaska",2,60,1
"2020-07-04","Alaska",2,55,1
"2020-07-05","Alaska",2,32,0
"2020-07-06","Alaska",2,30,0
"2020-07-07","Alaska",2,22,1
"2020-07-08","Alaska",2,49,0
"2020-07-09","Alaska",2,49,0
"2020-07-10","Alaska",2,58,0
"2020-07-11","Alaska",2,77,0
"2020-07-12","Alaska",2,116,0
"2020-07-13","Alaska",2,71,0
"2020-07-14","Alaska",2,54,0
"2020-07-15","Alaska",2,61,0
"2020-07-16","Alaska",2,76,0
"2020-07-17","Alaska",2,49,0
"2020-07-18","Alaska",2,74,1
"2020-07-19","Alaska",2,118,0
"2020-07-20","Alaska",2,137,0
"2020-07-21","Alaska",2,111,0
"2020-07-22","Alaska",2,94,1
"2020-07-23","Alaska",2,65,0
"2020-07-24","Alaska",2,64,0
"2020-07-25","Alaska",2,120,1
"2020-07-26","Alaska",2,234,0
"2020-07-27","Alaska",2,104,1
"2020-07-28","Alaska",2,144,1
"2020-07-29","Alaska",2,92,0
"2020-07-30","Alaska",2,117,1
"2020-07-31","Alaska",2,118,0
"2020-08-01","Alaska",2,150,1
"2020-08-02","Alaska",2,157,0
"2020-08-03","Alaska",2,80,1
"2020-08-04","Alaska",2,61,0
