"date","state","fips","cases","deaths"
"2020-01-26","Arizona",4,1,0
"2020-01-27","Arizona",4,0,0
"2020-01-28","Arizona",4,0,0
"2020-01-29","Arizona",4,0,0
"2020-01-30","Arizona",4,0,0
"2020-01-31","Arizona",4,0,0
"2020-02-01","Arizona",4,0,0
"2020-02-02","Arizona",4,0,0
"2020-02-03","Arizona",4,0,0
"2020-02-04","Arizona",4,0,0
"2020-02-05","Arizona",4,0,0
"2020-02-06","Arizona",4,0,0
"2020-02-07","Arizona",4,0,0
"2020-02-08","Arizona",4,0,0
"2020-02-09","Arizona",4,0,0
"2020-02-10","Arizona",4,0,0
"2020-02-11","Arizona",4,0,0
"2020-02-12","Arizona",4,0,0
"2020-02-13","Arizona",4,0,0
"2020-02-14","Arizona",4,0,0
"2020-02-15","Arizona",4,0,0
"2020-02-16","Arizona",4,0,0
"2020-02-17","Arizona",4,0,0
"2020-02-18","Arizona",4,0,0
"2020-02-19","Arizona",4,0,0
"2020-02-20","Arizona",4,0,0
"2020-02-21","Arizona",4,0,0
"2020-02-22","Arizona",4,0,0
"2020-02-23","Arizona",4,0,0
"2020-02-24","Arizona",4,0,0
"2020-02-25","Arizona",4,0,0
"2020-02-26","Arizona",4,0,0
"2020-02-27","Arizona",4,0,0
"2020-02-28","Arizona",4,0,0
"2020-02-29","Arizona",4,0,0
"2020-03-01","Arizona",4,0,0
"2020-03-02","Arizona",4,0,0
"2020-03-03","Arizona",4,1,0
"2020-03-04","Arizona",4,0,0
"2020-03-05","Arizona",4,0,0
"2020-03-06","Arizona",4,1,0
"2020-03-07","Arizona",4,2,0
"2020-03-08","Arizona",4,0,0
"2020-03-09","Arizona",4,1,0
"2020-03-10","Arizona",4,0,0
"2020-03-11","Arizona",4,3,0
"2020-03-12","Arizona",4,0,0
"2020-03-13","Arizona",4,0,0
"2020-03-14","Arizona",4,3,0
"2020-03-15","Arizona",4,1,0
"2020-03-16","Arizona",4,5,0
"2020-03-17","Arizona",4,2,0
"2020-03-18","Arizona",4,8,0
"2020-03-19","Arizona",4,19,0
"2020-03-20","Arizona",4,23,1
"2020-03-21","Arizona",4,34,0
"2020-03-22","Arizona",4,49,1
"2020-03-23","Arizona",4,81,0
"2020-03-24","Arizona",4,92,4
"2020-03-25","Arizona",4,76,0
"2020-03-26","Arizona",4,106,2
"2020-03-27","Arizona",4,157,7
"2020-03-28","Arizona",4,108,0
"2020-03-29","Arizona",4,157,3
"2020-03-30","Arizona",4,239,2
"2020-03-31","Arizona",4,129,4
"2020-04-01","Arizona",4,115,5
"2020-04-02","Arizona",4,187,6
"2020-04-03","Arizona",4,169,6
"2020-04-04","Arizona",4,250,12
"2020-04-05","Arizona",4,250,11
"2020-04-06","Arizona",4,197,3
"2020-04-07","Arizona",4,111,10
"2020-04-08","Arizona",4,149,3
"2020-04-09","Arizona",4,292,9
"2020-04-10","Arizona",4,94,8
"2020-04-11","Arizona",4,281,15
"2020-04-12","Arizona",4,146,5
"2020-04-13","Arizona",4,163,5
"2020-04-14","Arizona",4,104,9
"2020-04-15","Arizona",4,156,11
"2020-04-16","Arizona",4,272,10
"2020-04-17","Arizona",4,273,22
"2020-04-18","Arizona",4,212,7
"2020-04-19","Arizona",4,210,7
"2020-04-20","Arizona",4,135,3
"2020-04-21","Arizona",4,187,22
"2020-04-22","Arizona",4,208,23
"2020-04-23","Arizona",4,310,21
"2020-04-24","Arizona",4,276,11
