"date","state","fips","cases","deaths"
"2020-03-15","Guam",66,3,0
"2020-03-16","Guam",66,0,0
"2020-03-17","Guam",66,0,0
"2020-03-18","Guam",66,5,0
"2020-03-19","Guam",66,4,0
"2020-03-20","Guam",66,2,0
"2020-03-21","Guam",66,1,0
"2020-03-22","Guam",66,12,1
"2020-03-23","Guam",66,2,0
"2020-03-24","Guam",66,3,0
"2020-03-25","Guam",66,0,0
"2020-03-26","Guam",66,17,0
"2020-03-27","Guam",66,4,0
"2020-03-28","Guam",66,4,0
"2020-03-29","Guam",66,1,0
"2020-03-30","Guam",66,2,0
"2020-03-31","Guam",66,79,1
"2020-04-01","Guam",66,8,1
"2020-04-02","Guam",66,5,0
"2020-04-03","Guam",66,2,1
"2020-04-04","Guam",66,69,0
"2020-04-05","Guam",66,42,0
"2020-04-06","Guam",66,1,0
"2020-04-07","Guam",66,8,0
"2020-04-08","Guam",66,135,0
"2020-04-09","Guam",66,133,0
"2020-04-10","Guam",66,35,0
"2020-04-11","Guam",66,104,1
"2020-04-12","Guam",66,35,0
"2020-04-13","Guam",66,3,1
"2020-04-14","Guam",66,2,0
"2020-04-15","Guam",66,29,0
"2020-04-16","Guam",66,40,0
"2020-04-17","Guam",66,6,0
"2020-04-18","Guam",66,9,0
"2020-04-19","Guam",66,3,0
"2020-04-20","Guam",66,3,0
"2020-04-21","Guam",66,41,0
"2020-04-22","Guam",66,59,0
"2020-04-23","Guam",66,68,0
"2020-04-24","Guam",66,18,0
"2020-04-25","Guam",66,0,0
"2020-04-26","Guam",66,0,0
"2020-04-27","Guam",66,116,0
"2020-04-28","Guam",66,1,0
"2020-04-29","Guam",66,0,0
"2020-04-30","Guam",66,1,0
"2020-05-01","Guam",66,0,0
"2020-05-02","Guam",66,2,0
"2020-05-03","Guam",66,1,0
"2020-05-04","Guam",66,0,0
"2020-05-05","Guam",66,0,0
"2020-05-06","Guam",66,0,0
"2020-05-07","Guam",66,0,0
"2020-05-08","Guam",66,2,0
