"date","state","fips","cases","deaths"
"2020-03-07","Kansas",20,1,0
"2020-03-08","Kansas",20,0,0
"2020-03-09","Kansas",20,0,0
"2020-03-10","Kansas",20,0,0
"2020-03-11","Kansas",20,0,0
"2020-03-12","Kansas",20,4,1
"2020-03-13","Kansas",20,1,0
"2020-03-14","Kansas",20,2,0
"2020-03-15","Kansas",20,1,0
"2020-03-16","Kansas",20,2,0
"2020-03-17","Kansas",20,6,0
"2020-03-18","Kansas",20,5,0
"2020-03-19","Kansas",20,13,0
"2020-03-20","Kansas",20,14,0
"2020-03-21","Kansas",20,8,1
"2020-03-22","Kansas",20,9,0
"2020-03-23","Kansas",20,16,0
"2020-03-24","Kansas",20,20,1
"2020-03-25","Kansas",20,32,0
"2020-03-26","Kansas",20,39,0
"2020-03-27","Kansas",20,40,1
"2020-03-28","Kansas",20,59,2
"2020-03-29","Kansas",20,61,1
"2020-03-30","Kansas",20,41,2
"2020-03-31","Kansas",20,61,1
"2020-04-01","Kansas",20,54,1
"2020-04-02","Kansas",20,65,3
"2020-04-03","Kansas",20,71,5
"2020-04-04","Kansas",20,77,2
"2020-04-05","Kansas",20,67,2
"2020-04-06","Kansas",20,85,2
"2020-04-07","Kansas",20,51,5
"2020-04-08","Kansas",20,150,8
"2020-04-09","Kansas",20,61,4
"2020-04-10","Kansas",20,64,8
"2020-04-11","Kansas",20,102,5
"2020-04-12","Kansas",20,55,1
"2020-04-13","Kansas",20,47,7
"2020-04-14","Kansas",20,56,6
"2020-04-15","Kansas",20,63,7
"2020-04-16","Kansas",20,92,4
"2020-04-17","Kansas",20,137,4
"2020-04-18","Kansas",20,88,2
"2020-04-19","Kansas",20,77,8
"2020-04-20","Kansas",20,133,7
"2020-04-21","Kansas",20,84,6
"2020-04-22","Kansas",20,177,4
"2020-04-23","Kansas",20,335,1
"2020-04-24","Kansas",20,216,5
"2020-04-25","Kansas",20,249,2
"2020-04-26","Kansas",20,107,1
"2020-04-27","Kansas",20,209,6
"2020-04-28","Kansas",20,194,1
"2020-04-29","Kansas",20,210,5
"2020-04-30","Kansas",20,494,1
"2020-05-01","Kansas",20,205,3
"2020-05-02","Kansas",20,353,4
"2020-05-03","Kansas",20,314,2
"2020-05-04","Kansas",20,208,12
"2020-05-05","Kansas",20,242,6
"2020-05-06","Kansas",20,266,3
"2020-05-07","Kansas",20,347,1
"2020-05-08","Kansas",20,511,3
"2020-05-09","Kansas",20,172,5
"2020-05-10","Kansas",20,122,0
"2020-05-11","Kansas",20,116,2
"2020-05-12","Kansas",20,191,4
"2020-05-13","Kansas",20,200,1
"2020-05-14","Kansas",20,116,2
"2020-05-15","Kansas",20,338,6
"2020-05-16","Kansas",20,53,2
"2020-05-17","Kansas",20,7,0
"2020-05-18","Kansas",20,373,1
"2020-05-19","Kansas",20,49,3
"2020-05-20","Kansas",20,173,4
"2020-05-21","Kansas",20,110,2
"2020-05-22","Kansas",20,297,1
"2020-05-23","Kansas",20,51,0
"2020-05-24","Kansas",20,16,0
"2020-05-25","Kansas",20,137,1
"2020-05-26","Kansas",20,80,3
"2020-05-27","Kansas",20,101,3
"2020-05-28","Kansas",20,60,2
"2020-05-29","Kansas",20,313,0
"2020-05-30","Kansas",20,21,0
"2020-05-31","Kansas",20,31,2
"2020-06-01","Kansas",20,225,6
"2020-06-02","Kansas",20,40,10
"2020-06-03","Kansas",20,138,0
"2020-06-04","Kansas",20,51,3
"2020-06-05","Kansas",20,161,3
"2020-06-06","Kansas",20,24,1
"2020-06-07","Kansas",20,32,0
"2020-06-08","Kansas",20,175,3
"2020-06-09","Kansas",20,62,1
"2020-06-10","Kansas",20,145,3
"2020-06-11","Kansas",20,53,1
"2020-06-12","Kansas",20,168,1
"2020-06-13","Kansas",20,43,1
"2020-06-14","Kansas",20,52,0
"2020-06-15","Kansas",20,269,2
"2020-06-16","Kansas",20,53,0
"2020-06-17","Kansas",20,232,2
"2020-06-18","Kansas",20,85,4
"2020-06-19","Kansas",20,282,2
"2020-06-20","Kansas",20,50,3
"2020-06-21","Kansas",20,40,1
"2020-06-22","Kansas",20,318,2
"2020-06-23","Kansas",20,83,1
"2020-06-24","Kansas",20,451,1
"2020-06-25","Kansas",20,97,1
"2020-06-26","Kansas",20,522,3
"2020-06-27","Kansas",20,38,3
"2020-06-28","Kansas",20,249,3
"2020-06-29","Kansas",20,552,4
"2020-06-30","Kansas",20,61,0
"2020-07-01","Kansas",20,513,4
"2020-07-02","Kansas",20,84,2
"2020-07-03","Kansas",20,789,1
"2020-07-04","Kansas",20,150,1
"2020-07-05","Kansas",20,124,3
"2020-07-06","Kansas",20,793,1
"2020-07-07","Kansas",20,75,2
"2020-07-08","Kansas",20,650,1
"2020-07-09","Kansas",20,224,3
"2020-07-10","Kansas",20,768,0
"2020-07-11","Kansas",20,184,0
"2020-07-12","Kansas",20,312,6
"2020-07-13","Kansas",20,970,1
"2020-07-14","Kansas",20,82,2
"2020-07-15","Kansas",20,810,5
"2020-07-16","Kansas",20,116,1
"2020-07-17","Kansas",20,926,1
"2020-07-18","Kansas",20,39,2
"2020-07-19","Kansas",20,221,1
"2020-07-20","Kansas",20,1085,5
"2020-07-21","Kansas",20,62,1
"2020-07-22","Kansas",20,770,5
