"date","state","fips","cases","deaths"
"2020-03-10","Michigan",26,2,0
"2020-03-11","Michigan",26,0,0
"2020-03-12","Michigan",26,10,0
"2020-03-13","Michigan",26,13,0
"2020-03-14","Michigan",26,8,0
"2020-03-15","Michigan",26,20,0
"2020-03-16","Michigan",26,1,0
"2020-03-17","Michigan",26,11,0
"2020-03-18","Michigan",26,15,1
"2020-03-19","Michigan",26,254,2
"2020-03-20","Michigan",26,214,1
"2020-03-21","Michigan",26,239,2
"2020-03-22","Michigan",26,246,3
"2020-03-23","Michigan",26,291,7
"2020-03-24","Michigan",26,467,8
"2020-03-25","Michigan",26,502,19
"2020-03-26","Michigan",26,584,20
"2020-03-27","Michigan",26,778,30
"2020-03-28","Michigan",26,979,19
"2020-03-29","Michigan",26,852,20
"2020-03-30","Michigan",26,1022,65
"2020-03-31","Michigan",26,1121,67
"2020-04-01","Michigan",26,1663,72
"2020-04-02","Michigan",26,1499,81
"2020-04-03","Michigan",26,1878,61
"2020-04-04","Michigan",26,1556,63
"2020-04-05","Michigan",26,1408,76
"2020-04-06","Michigan",26,1496,110
"2020-04-07","Michigan",26,1722,118
"2020-04-08","Michigan",26,1369,114
"2020-04-09","Michigan",26,1155,117
"2020-04-10","Michigan",26,1271,204
"2020-04-11","Michigan",26,1209,115
"2020-04-12","Michigan",26,641,93
"2020-04-13","Michigan",26,994,115
"2020-04-14","Michigan",26,1355,164
"2020-04-15","Michigan",26,1049,153
"2020-04-16","Michigan",26,1226,172
"2020-04-17","Michigan",26,834,135
"2020-04-18","Michigan",26,764,80
"2020-04-19","Michigan",26,631,82
"2020-04-20","Michigan",26,580,77
"2020-04-21","Michigan",26,1007,232
"2020-04-22","Michigan",26,1037,115
"2020-04-23","Michigan",26,1280,164
"2020-04-24","Michigan",26,1375,107
"2020-04-25","Michigan",26,674,189
"2020-04-26","Michigan",26,701,41
"2020-04-27","Michigan",26,454,92
"2020-04-28","Michigan",26,1012,160
"2020-04-29","Michigan",26,974,104
"2020-04-30","Michigan",26,905,118
"2020-05-01","Michigan",26,1000,78
"2020-05-02","Michigan",26,843,154
"2020-05-03","Michigan",26,612,29
"2020-05-04","Michigan",26,193,86
"2020-05-05","Michigan",26,395,44
"2020-05-06","Michigan",26,688,71
"2020-05-07","Michigan",26,564,93
"2020-05-08","Michigan",26,676,50
"2020-05-09","Michigan",26,416,133
"2020-05-10","Michigan",26,381,25
"2020-05-11","Michigan",26,410,33
"2020-05-12","Michigan",26,420,90
"2020-05-13","Michigan",26,361,40
"2020-05-14","Michigan",26,1182,73
"2020-05-15","Michigan",26,493,38
