"date","state","fips","cases","deaths"
"2020-03-07","Missouri",29,1,0
"2020-03-08","Missouri",29,0,0
"2020-03-09","Missouri",29,0,0
"2020-03-10","Missouri",29,0,0
"2020-03-11","Missouri",29,0,0
"2020-03-12","Missouri",29,1,0
"2020-03-13","Missouri",29,2,0
"2020-03-14","Missouri",29,1,0
"2020-03-15","Missouri",29,0,0
"2020-03-16","Missouri",29,4,0
"2020-03-17","Missouri",29,7,0
"2020-03-18","Missouri",29,5,1
"2020-03-19","Missouri",29,14,0
"2020-03-20","Missouri",29,38,2
"2020-03-21","Missouri",29,20,0
"2020-03-22","Missouri",29,37,0
"2020-03-23","Missouri",29,53,1
"2020-03-24","Missouri",29,72,1
"2020-03-25","Missouri",29,129,3
"2020-03-26","Missouri",29,124,0
"2020-03-27","Missouri",29,162,1
"2020-03-28","Missouri",29,167,2
"2020-03-29","Missouri",29,65,1
"2020-03-30","Missouri",29,147,1
"2020-03-31","Missouri",29,301,2
"2020-04-01","Missouri",29,230,6
"2020-04-02","Missouri",29,254,7
"2020-04-03","Missouri",29,279,8
"2020-04-04","Missouri",29,178,8
"2020-04-05","Missouri",29,76,8
"2020-04-06","Missouri",29,355,4
"2020-04-07","Missouri",29,315,24
"2020-04-08","Missouri",29,290,6
"2020-04-09","Missouri",29,212,8
"2020-04-10","Missouri",29,260,11
"2020-04-11","Missouri",29,225,11
"2020-04-12","Missouri",29,136,0
"2020-04-13","Missouri",29,228,20
"2020-04-14","Missouri",29,298,15
"2020-04-15","Missouri",29,209,13
"2020-04-16","Missouri",29,216,6
"2020-04-17","Missouri",29,172,14
"2020-04-18","Missouri",29,234,10
"2020-04-19","Missouri",29,150,2
"2020-04-20","Missouri",29,140,5
"2020-04-21","Missouri",29,134,20
"2020-04-22","Missouri",29,196,15
"2020-04-23","Missouri",29,184,12
"2020-04-24","Missouri",29,304,19
"2020-04-25","Missouri",29,201,13
"2020-04-26","Missouri",29,171,2
"2020-04-27","Missouri",29,174,14
"2020-04-28","Missouri",29,135,28
"2020-04-29","Missouri",29,120,7
"2020-04-30","Missouri",29,137,10
"2020-05-01","Missouri",29,277,14
"2020-05-02","Missouri",29,314,18
