"date","state","fips","cases","deaths"
"2020-02-17","Nebraska",31,10,0
"2020-02-18","Nebraska",31,0,0
"2020-02-19","Nebraska",31,0,0
"2020-02-20","Nebraska",31,1,0
"2020-02-21","Nebraska",31,0,0
"2020-02-22","Nebraska",31,0,0
"2020-02-23","Nebraska",31,0,0
"2020-02-24","Nebraska",31,1,0
"2020-02-25","Nebraska",31,1,0
"2020-02-26","Nebraska",31,0,0
"2020-02-27","Nebraska",31,0,0
"2020-02-28","Nebraska",31,0,0
"2020-02-29","Nebraska",31,0,0
"2020-03-01","Nebraska",31,0,0
"2020-03-02","Nebraska",31,0,0
"2020-03-03","Nebraska",31,0,0
"2020-03-04","Nebraska",31,0,0
"2020-03-05","Nebraska",31,0,0
"2020-03-06","Nebraska",31,1,0
"2020-03-07","Nebraska",31,0,0
"2020-03-08","Nebraska",31,2,0
"2020-03-09","Nebraska",31,0,0
"2020-03-10","Nebraska",31,1,0
"2020-03-11","Nebraska",31,6,0
"2020-03-12","Nebraska",31,1,0
"2020-03-13","Nebraska",31,3,0
"2020-03-14","Nebraska",31,2,0
"2020-03-15","Nebraska",31,2,0
"2020-03-16","Nebraska",31,2,0
"2020-03-17","Nebraska",31,3,0
"2020-03-18","Nebraska",31,7,0
"2020-03-19","Nebraska",31,4,0
"2020-03-20","Nebraska",31,6,0
"2020-03-21","Nebraska",31,8,0
"2020-03-22","Nebraska",31,1,0
"2020-03-23","Nebraska",31,11,0
"2020-03-24","Nebraska",31,4,0
"2020-03-25","Nebraska",31,7,0
"2020-03-26","Nebraska",31,7,0
"2020-03-27","Nebraska",31,11,2
"2020-03-28","Nebraska",31,20,0
"2020-03-29","Nebraska",31,16,0
"2020-03-30","Nebraska",31,47,1
"2020-03-31","Nebraska",31,14,1
"2020-04-01","Nebraska",31,50,1
"2020-04-02","Nebraska",31,24,1
"2020-04-03","Nebraska",31,24,0
"2020-04-04","Nebraska",31,42,2
"2020-04-05","Nebraska",31,38,0
"2020-04-06","Nebraska",31,61,2
"2020-04-07","Nebraska",31,53,2
"2020-04-08","Nebraska",31,47,2
"2020-04-09","Nebraska",31,56,1
"2020-04-10","Nebraska",31,84,3
"2020-04-11","Nebraska",31,40,0
"2020-04-12","Nebraska",31,87,0
"2020-04-13","Nebraska",31,65,1
"2020-04-14","Nebraska",31,60,2
"2020-04-15","Nebraska",31,64,1
"2020-04-16","Nebraska",31,100,2
"2020-04-17","Nebraska",31,122,0
"2020-04-18","Nebraska",31,132,4
"2020-04-19","Nebraska",31,125,0
"2020-04-20","Nebraska",31,173,5
"2020-04-21","Nebraska",31,80,5
"2020-04-22","Nebraska",31,100,4
"2020-04-23","Nebraska",31,364,4
"2020-04-24","Nebraska",31,284,4
"2020-04-25","Nebraska",31,424,2
"2020-04-26","Nebraska",31,228,2
"2020-04-27","Nebraska",31,361,0
"2020-04-28","Nebraska",31,126,2
"2020-04-29","Nebraska",31,263,11
"2020-04-30","Nebraska",31,456,3
"2020-05-01","Nebraska",31,506,2
"2020-05-02","Nebraska",31,494,3
"2020-05-03","Nebraska",31,354,2
