"date","state","fips","cases","deaths"
"2020-03-04","New Jersey",34,1,0
"2020-03-05","New Jersey",34,1,0
"2020-03-06","New Jersey",34,2,0
"2020-03-07","New Jersey",34,0,0
"2020-03-08","New Jersey",34,2,0
"2020-03-09","New Jersey",34,5,0
"2020-03-10","New Jersey",34,4,1
"2020-03-11","New Jersey",34,8,0
"2020-03-12","New Jersey",34,6,0
"2020-03-13","New Jersey",34,21,0
"2020-03-14","New Jersey",34,25,1
"2020-03-15","New Jersey",34,23,0
"2020-03-16","New Jersey",34,78,1
"2020-03-17","New Jersey",34,92,0
"2020-03-18","New Jersey",34,159,2
"2020-03-19","New Jersey",34,308,4
"2020-03-20","New Jersey",34,161,2
"2020-03-21","New Jersey",34,440,5
"2020-03-22","New Jersey",34,578,4
"2020-03-23","New Jersey",34,930,7
"2020-03-24","New Jersey",34,831,17
"2020-03-25","New Jersey",34,727,18
"2020-03-26","New Jersey",34,2474,20
"2020-03-27","New Jersey",34,1949,26
"2020-03-28","New Jersey",34,2299,32
"2020-03-29","New Jersey",34,2262,21
"2020-03-30","New Jersey",34,3250,38
"2020-03-31","New Jersey",34,2060,68
"2020-04-01","New Jersey",34,3559,88
"2020-04-02","New Jersey",34,3335,184
"2020-04-03","New Jersey",34,4305,108
"2020-04-04","New Jersey",34,4229,200
"2020-04-05","New Jersey",34,3381,70
"2020-04-06","New Jersey",34,3585,88
"2020-04-07","New Jersey",34,3326,227
"2020-04-08","New Jersey",34,3021,272
"2020-04-09","New Jersey",34,3590,196
"2020-04-10","New Jersey",34,3561,232
"2020-04-11","New Jersey",34,3563,251
"2020-04-12","New Jersey",34,3699,167
"2020-04-13","New Jersey",34,2734,93
"2020-04-14","New Jersey",34,4240,362
"2020-04-15","New Jersey",34,2206,351
"2020-04-16","New Jersey",34,4287,362
"2020-04-17","New Jersey",34,3150,322
"2020-04-18","New Jersey",34,2953,230
"2020-04-19","New Jersey",34,3881,132
"2020-04-20","New Jersey",34,3505,175
"2020-04-21","New Jersey",34,3581,376
"2020-04-22","New Jersey",34,3478,310
"2020-04-23","New Jersey",34,4124,305
"2020-04-24","New Jersey",34,2207,249
"2020-04-25","New Jersey",34,3327,246
"2020-04-26","New Jersey",34,3515,75
"2020-04-27","New Jersey",34,2150,106
"2020-04-28","New Jersey",34,2668,398
"2020-04-29","New Jersey",34,2408,328
"2020-04-30","New Jersey",34,2388,458
"2020-05-01","New Jersey",34,2538,310
"2020-05-02","New Jersey",34,2527,204
"2020-05-03","New Jersey",34,3027,129
"2020-05-04","New Jersey",34,1525,39
"2020-05-05","New Jersey",34,2324,334
"2020-05-06","New Jersey",34,1297,305
"2020-05-07","New Jersey",34,1745,252
"2020-05-08","New Jersey",34,1819,151
"2020-05-09","New Jersey",34,1631,164
"2020-05-10","New Jersey",34,1447,139
"2020-05-11","New Jersey",34,1413,55
"2020-05-12","New Jersey",34,798,198
"2020-05-13","New Jersey",34,817,194
"2020-05-14","New Jersey",34,1144,244
"2020-05-15","New Jersey",34,1201,192
"2020-05-16","New Jersey",34,1184,111
"2020-05-17","New Jersey",34,1245,107
"2020-05-18","New Jersey",34,1705,79
"2020-05-19","New Jersey",34,974,151
"2020-05-20","New Jersey",34,1386,161
"2020-05-21","New Jersey",34,1073,96
"2020-05-22","New Jersey",34,1247,142
"2020-05-23","New Jersey",34,385,96
"2020-05-24","New Jersey",34,1050,52
"2020-05-25","New Jersey",34,938,11
"2020-05-26","New Jersey",34,672,47
"2020-05-27","New Jersey",34,864,148
"2020-05-28","New Jersey",34,1187,62
"2020-05-29","New Jersey",34,1029,130
"2020-05-30","New Jersey",34,764,103
"2020-05-31","New Jersey",34,837,64
"2020-06-01","New Jersey",34,473,23
"2020-06-02","New Jersey",34,627,49
"2020-06-03","New Jersey",34,523,110
"2020-06-04","New Jersey",34,462,90
"2020-06-05","New Jersey",34,806,79
"2020-06-06","New Jersey",34,557,57
"2020-06-07","New Jersey",34,271,70
"2020-06-08","New Jersey",34,333,38
"2020-06-09","New Jersey",34,299,89
"2020-06-10","New Jersey",34,550,74
"2020-06-11","New Jersey",34,470,66
"2020-06-12","New Jersey",34,348,46
"2020-06-13","New Jersey",34,441,100
"2020-06-14","New Jersey",34,276,36
"2020-06-15","New Jersey",34,222,51
"2020-06-16","New Jersey",34,323,51
"2020-06-17","New Jersey",34,277,42
"2020-06-18","New Jersey",34,404,31
"2020-06-19","New Jersey",34,389,35
"2020-06-20","New Jersey",34,338,22
"2020-06-21","New Jersey",34,308,13
"2020-06-22","New Jersey",34,273,25
"2020-06-23","New Jersey",34,319,54
"2020-06-24","New Jersey",34,158,46
"2020-06-25","New Jersey",34,2158,1877
"2020-06-26","New Jersey",34,388,42
"2020-06-27","New Jersey",34,289,34
"2020-06-28","New Jersey",34,309,27
"2020-06-29","New Jersey",34,90,17
"2020-06-30","New Jersey",34,395,43
"2020-07-01","New Jersey",34,261,43
"2020-07-02","New Jersey",34,430,29
"2020-07-03","New Jersey",34,386,57
"2020-07-04","New Jersey",34,291,25
"2020-07-05","New Jersey",34,369,22
"2020-07-06","New Jersey",34,209,18
"2020-07-07","New Jersey",34,267,52
"2020-07-08","New Jersey",34,252,142
"2020-07-09","New Jersey",34,231,25
"2020-07-10","New Jersey",34,358,31
"2020-07-11","New Jersey",34,331,46
"2020-07-12","New Jersey",34,339,0
"2020-07-13","New Jersey",34,224,35
"2020-07-14","New Jersey",34,393,22
"2020-07-15","New Jersey",34,390,52
"2020-07-16","New Jersey",34,223,31
"2020-07-17","New Jersey",34,50,19
