"date","state","fips","cases","deaths"
"2020-03-11","New Mexico",35,4,0
"2020-03-12","New Mexico",35,2,0
"2020-03-13","New Mexico",35,4,0
"2020-03-14","New Mexico",35,3,0
"2020-03-15","New Mexico",35,4,0
"2020-03-16","New Mexico",35,4,0
"2020-03-17","New Mexico",35,2,0
"2020-03-18","New Mexico",35,5,0
"2020-03-19","New Mexico",35,7,0
"2020-03-20","New Mexico",35,8,0
"2020-03-21","New Mexico",35,14,0
"2020-03-22","New Mexico",35,8,0
"2020-03-23","New Mexico",35,18,0
"2020-03-24","New Mexico",35,17,0
"2020-03-25","New Mexico",35,13,1
"2020-03-26","New Mexico",35,23,0
"2020-03-27","New Mexico",35,55,0
"2020-03-28","New Mexico",35,19,1
"2020-03-29","New Mexico",35,27,0
"2020-03-30","New Mexico",35,45,2
"2020-03-31","New Mexico",35,33,1
"2020-04-01","New Mexico",35,48,1
"2020-04-02","New Mexico",35,40,1
"2020-04-03","New Mexico",35,92,3
"2020-04-04","New Mexico",35,49,1
"2020-04-05","New Mexico",35,80,1
"2020-04-06","New Mexico",35,62,0
"2020-04-07","New Mexico",35,108,1
"2020-04-08","New Mexico",35,71,3
"2020-04-09","New Mexico",35,124,1
"2020-04-10","New Mexico",35,101,2
"2020-04-11","New Mexico",35,84,1
"2020-04-12","New Mexico",35,71,6
"2020-04-13","New Mexico",35,100,5
"2020-04-14","New Mexico",35,62,5
"2020-04-15","New Mexico",35,77,0
"2020-04-16","New Mexico",35,113,8
"2020-04-17","New Mexico",35,114,7
"2020-04-18","New Mexico",35,87,2
"2020-04-19","New Mexico",35,47,2
"2020-04-20","New Mexico",35,126,3
"2020-04-21","New Mexico",35,101,7
"2020-04-22","New Mexico",35,138,6
"2020-04-23","New Mexico",35,169,7
"2020-04-24","New Mexico",35,145,6
"2020-04-25","New Mexico",35,138,9
"2020-04-26","New Mexico",35,66,6
"2020-04-27","New Mexico",35,97,5
"2020-04-28","New Mexico",35,150,6
"2020-04-29","New Mexico",35,238,2
"2020-04-30","New Mexico",35,198,11
"2020-05-01","New Mexico",35,102,8
"2020-05-02","New Mexico",35,219,8
"2020-05-03","New Mexico",35,118,12
"2020-05-04","New Mexico",35,180,5
"2020-05-05","New Mexico",35,107,6
"2020-05-06","New Mexico",35,153,7
"2020-05-07","New Mexico",35,202,3
"2020-05-08","New Mexico",35,181,9
"2020-05-09","New Mexico",35,105,10
"2020-05-10","New Mexico",35,85,9
"2020-05-11","New Mexico",35,206,8
"2020-05-12","New Mexico",35,143,11
"2020-05-13","New Mexico",35,152,12
"2020-05-14","New Mexico",35,139,11
"2020-05-15","New Mexico",35,159,11
"2020-05-16","New Mexico",35,185,6
"2020-05-17","New Mexico",35,91,6
"2020-05-18","New Mexico",35,158,5
"2020-05-19","New Mexico",35,96,6
"2020-05-20","New Mexico",35,146,7
"2020-05-21","New Mexico",35,134,11
"2020-05-22","New Mexico",35,153,8
"2020-05-23","New Mexico",35,170,6
"2020-05-24","New Mexico",35,148,9
"2020-05-25","New Mexico",35,83,3
"2020-05-26","New Mexico",35,104,5
"2020-05-27","New Mexico",35,122,4
"2020-05-28","New Mexico",35,112,6
"2020-05-29","New Mexico",35,129,9
"2020-05-30","New Mexico",35,131,7
"2020-05-31","New Mexico",35,65,5
"2020-06-01","New Mexico",35,111,6
"2020-06-02","New Mexico",35,224,5
"2020-06-03","New Mexico",35,116,8
"2020-06-04","New Mexico",35,213,8
"2020-06-05","New Mexico",35,319,4
"2020-06-06","New Mexico",35,128,5
"2020-06-07","New Mexico",35,140,4
"2020-06-08","New Mexico",35,122,4
"2020-06-09","New Mexico",35,43,4
"2020-06-10","New Mexico",35,145,6
"2020-06-11","New Mexico",35,118,11
"2020-06-12","New Mexico",35,158,5
"2020-06-13","New Mexico",35,95,5
"2020-06-14","New Mexico",35,102,4
"2020-06-15","New Mexico",35,122,5
"2020-06-16","New Mexico",35,88,7
"2020-06-17","New Mexico",35,132,5
"2020-06-18","New Mexico",35,88,4
"2020-06-19","New Mexico",35,107,8
"2020-06-20","New Mexico",35,170,2
"2020-06-21","New Mexico",35,135,3
"2020-06-22","New Mexico",35,129,0
"2020-06-23","New Mexico",35,144,7
"2020-06-24","New Mexico",35,152,4
"2020-06-25","New Mexico",35,202,5
"2020-06-26","New Mexico",35,216,4
"2020-06-27","New Mexico",35,211,2
"2020-06-28","New Mexico",35,190,1
"2020-06-29","New Mexico",35,173,1
"2020-06-30","New Mexico",35,165,4
"2020-07-01","New Mexico",35,129,3
"2020-07-02","New Mexico",35,244,3
"2020-07-03","New Mexico",35,256,8
"2020-07-04","New Mexico",35,287,2
"2020-07-05","New Mexico",35,193,0
"2020-07-06","New Mexico",35,251,2
"2020-07-07","New Mexico",35,220,4
"2020-07-08","New Mexico",35,290,8
"2020-07-09","New Mexico",35,234,6
"2020-07-10","New Mexico",35,298,6
"2020-07-11","New Mexico",35,224,4
"2020-07-12","New Mexico",35,255,2
"2020-07-13","New Mexico",35,263,3
"2020-07-14","New Mexico",35,223,3
"2020-07-15","New Mexico",35,327,6
"2020-07-16","New Mexico",35,297,5
"2020-07-17","New Mexico",35,318,3
"2020-07-18","New Mexico",35,280,4
"2020-07-19","New Mexico",35,235,2
"2020-07-20","New Mexico",35,244,7
"2020-07-21","New Mexico",35,302,10
"2020-07-22","New Mexico",35,311,3
"2020-07-23","New Mexico",35,335,5
"2020-07-24","New Mexico",35,312,5
"2020-07-25","New Mexico",35,313,6
"2020-07-26","New Mexico",35,265,7
"2020-07-27","New Mexico",35,449,5
"2020-07-28","New Mexico",35,289,7
"2020-07-29","New Mexico",35,345,6
"2020-07-30","New Mexico",35,252,3
"2020-07-31","New Mexico",35,212,7
"2020-08-01","New Mexico",35,196,9
"2020-08-02","New Mexico",35,220,3
"2020-08-03","New Mexico",35,114,1
"2020-08-04","New Mexico",35,210,3
"2020-08-05","New Mexico",35,226,9
"2020-08-06","New Mexico",35,207,2
"2020-08-07","New Mexico",35,192,6
"2020-08-08","New Mexico",35,150,6
"2020-08-09","New Mexico",35,200,4
"2020-08-10","New Mexico",35,129,5
"2020-08-11","New Mexico",35,199,3
"2020-08-12","New Mexico",35,173,2
"2020-08-13","New Mexico",35,171,2
"2020-08-14","New Mexico",35,173,6
"2020-08-15","New Mexico",35,142,8
"2020-08-16","New Mexico",35,106,3
"2020-08-17","New Mexico",35,92,4
"2020-08-18","New Mexico",35,79,5
"2020-08-19","New Mexico",35,170,6
"2020-08-20","New Mexico",35,202,5
"2020-08-21","New Mexico",35,144,5
"2020-08-22","New Mexico",35,207,4
"2020-08-23","New Mexico",35,94,2
"2020-08-24","New Mexico",35,73,2
"2020-08-25","New Mexico",35,66,3
"2020-08-26","New Mexico",35,197,5
"2020-08-27","New Mexico",35,188,9
"2020-08-28","New Mexico",35,122,3
"2020-08-29","New Mexico",35,136,2
"2020-08-30","New Mexico",35,105,1
"2020-08-31","New Mexico",35,69,9
"2020-09-01","New Mexico",35,108,8
"2020-09-02","New Mexico",35,152,3
"2020-09-03","New Mexico",35,200,1
"2020-09-04","New Mexico",35,90,3
"2020-09-05","New Mexico",35,146,6
"2020-09-06","New Mexico",35,59,3
"2020-09-07","New Mexico",35,37,4
"2020-09-08","New Mexico",35,37,0
"2020-09-09","New Mexico",35,87,6
"2020-09-10","New Mexico",35,161,3
"2020-09-11","New Mexico",35,134,2
"2020-09-12","New Mexico",35,98,3
"2020-09-13","New Mexico",35,100,2
"2020-09-14","New Mexico",35,81,0
"2020-09-15","New Mexico",35,81,7
"2020-09-16","New Mexico",35,118,2
"2020-09-17","New Mexico",35,158,4
"2020-09-18","New Mexico",35,151,5
"2020-09-19","New Mexico",35,162,6
"2020-09-20","New Mexico",35,67,2
"2020-09-21","New Mexico",35,104,2
"2020-09-22","New Mexico",35,107,3
