"date","state","fips","cases","deaths"
"2020-03-06","Oklahoma",40,1,0
"2020-03-07","Oklahoma",40,0,0
"2020-03-08","Oklahoma",40,0,0
"2020-03-09","Oklahoma",40,0,0
"2020-03-10","Oklahoma",40,1,0
"2020-03-11","Oklahoma",40,0,0
"2020-03-12","Oklahoma",40,0,0
"2020-03-13","Oklahoma",40,1,0
"2020-03-14","Oklahoma",40,1,0
"2020-03-15","Oklahoma",40,4,0
"2020-03-16","Oklahoma",40,2,0
"2020-03-17","Oklahoma",40,8,0
"2020-03-18","Oklahoma",40,11,0
"2020-03-19","Oklahoma",40,15,1
"2020-03-20","Oklahoma",40,5,0
"2020-03-21","Oklahoma",40,4,0
"2020-03-22","Oklahoma",40,14,1
"2020-03-23","Oklahoma",40,14,0
"2020-03-24","Oklahoma",40,25,1
"2020-03-25","Oklahoma",40,58,2
"2020-03-26","Oklahoma",40,84,2
"2020-03-27","Oklahoma",40,74,1
"2020-03-28","Oklahoma",40,55,7
"2020-03-29","Oklahoma",40,52,1
"2020-03-30","Oklahoma",40,52,1
"2020-03-31","Oklahoma",40,85,6
"2020-04-01","Oklahoma",40,153,7
"2020-04-02","Oklahoma",40,160,4
"2020-04-03","Oklahoma",40,110,4
"2020-04-04","Oklahoma",40,170,4
"2020-04-05","Oklahoma",40,92,4
"2020-04-06","Oklahoma",40,75,5
"2020-04-07","Oklahoma",40,144,16
"2020-04-08","Oklahoma",40,53,12
"2020-04-09","Oklahoma",40,160,1
"2020-04-10","Oklahoma",40,111,8
"2020-04-11","Oklahoma",40,74,5
"2020-04-12","Oklahoma",40,102,3
"2020-04-13","Oklahoma",40,99,2
"2020-04-14","Oklahoma",40,115,11
"2020-04-15","Oklahoma",40,79,14
"2020-04-16","Oklahoma",40,94,8
"2020-04-17","Oklahoma",40,108,5
"2020-04-18","Oklahoma",40,105,3
"2020-04-19","Oklahoma",40,29,1
"2020-04-20","Oklahoma",40,81,3
"2020-04-21","Oklahoma",40,127,21
"2020-04-22","Oklahoma",40,87,5
"2020-04-23","Oklahoma",40,123,10
"2020-04-24","Oklahoma",40,103,9
"2020-04-25","Oklahoma",40,73,6
"2020-04-26","Oklahoma",40,60,1
"2020-04-27","Oklahoma",40,27,2
"2020-04-28","Oklahoma",40,130,10
"2020-04-29","Oklahoma",40,63,7
"2020-04-30","Oklahoma",40,145,8
"2020-05-01","Oklahoma",40,130,8
"2020-05-02","Oklahoma",40,103,8
"2020-05-03","Oklahoma",40,121,0
"2020-05-04","Oklahoma",40,72,0
"2020-05-05","Oklahoma",40,83,9
"2020-05-06","Oklahoma",40,74,6
"2020-05-07","Oklahoma",40,129,7
"2020-05-08","Oklahoma",40,94,6
"2020-05-09","Oklahoma",40,66,4
"2020-05-10","Oklahoma",40,99,2
"2020-05-11","Oklahoma",40,24,2
"2020-05-12","Oklahoma",40,118,4
"2020-05-13","Oklahoma",40,121,0
"2020-05-14","Oklahoma",40,110,6
"2020-05-15","Oklahoma",40,124,1
"2020-05-16","Oklahoma",40,151,3
"2020-05-17","Oklahoma",40,73,0
"2020-05-18","Oklahoma",40,88,0
"2020-05-19","Oklahoma",40,91,6
"2020-05-20","Oklahoma",40,43,5
"2020-05-21","Oklahoma",40,148,5
"2020-05-22","Oklahoma",40,169,3
"2020-05-23","Oklahoma",40,111,4
"2020-05-24","Oklahoma",40,77,0
"2020-05-25","Oklahoma",40,53,2
"2020-05-26","Oklahoma",40,47,5
"2020-05-27","Oklahoma",40,92,4
"2020-05-28","Oklahoma",40,41,4
"2020-05-29","Oklahoma",40,68,3
"2020-05-30","Oklahoma",40,80,5
"2020-05-31","Oklahoma",40,88,0
"2020-06-01","Oklahoma",40,67,0
"2020-06-02","Oklahoma",40,119,5
"2020-06-03","Oklahoma",40,113,2
"2020-06-04","Oklahoma",40,102,3
"2020-06-05","Oklahoma",40,97,1
"2020-06-06","Oklahoma",40,56,2
"2020-06-07","Oklahoma",40,91,1
"2020-06-08","Oklahoma",40,55,0
"2020-06-09","Oklahoma",40,158,5
"2020-06-10","Oklahoma",40,116,2
"2020-06-11","Oklahoma",40,146,2
"2020-06-12","Oklahoma",40,222,2
"2020-06-13","Oklahoma",40,225,0
"2020-06-14","Oklahoma",40,158,0
"2020-06-15","Oklahoma",40,186,0
"2020-06-16","Oklahoma",40,228,4
"2020-06-17","Oklahoma",40,258,1
"2020-06-18","Oklahoma",40,451,2
"2020-06-19","Oklahoma",40,352,1
"2020-06-20","Oklahoma",40,331,1
"2020-06-21","Oklahoma",40,478,1
"2020-06-22","Oklahoma",40,218,0
"2020-06-23","Oklahoma",40,295,2
"2020-06-24","Oklahoma",40,481,1
"2020-06-25","Oklahoma",40,438,3
"2020-06-26","Oklahoma",40,396,2
"2020-06-27","Oklahoma",40,299,7
"2020-06-28","Oklahoma",40,302,1
"2020-06-29","Oklahoma",40,228,0
"2020-06-30","Oklahoma",40,585,2
"2020-07-01","Oklahoma",40,355,2
"2020-07-02","Oklahoma",40,427,6
"2020-07-03","Oklahoma",40,526,3
"2020-07-04","Oklahoma",40,580,0
"2020-07-05","Oklahoma",40,283,0
"2020-07-06","Oklahoma",40,434,1
"2020-07-07","Oklahoma",40,858,5
"2020-07-08","Oklahoma",40,673,3
"2020-07-09","Oklahoma",40,603,3
"2020-07-10","Oklahoma",40,596,6
"2020-07-11","Oklahoma",40,687,5
"2020-07-12","Oklahoma",40,456,1
"2020-07-13","Oklahoma",40,510,2
"2020-07-14","Oklahoma",40,993,4
"2020-07-15","Oklahoma",40,1075,4
"2020-07-16","Oklahoma",40,628,6
"2020-07-17","Oklahoma",40,699,7
"2020-07-18","Oklahoma",40,916,6
"2020-07-19","Oklahoma",40,209,0
"2020-07-20","Oklahoma",40,168,1
"2020-07-21","Oklahoma",40,893,9
"2020-07-22","Oklahoma",40,975,13
"2020-07-23","Oklahoma",40,668,3
"2020-07-24","Oklahoma",40,1147,7
"2020-07-25","Oklahoma",40,965,12
"2020-07-26","Oklahoma",40,1204,0
"2020-07-27","Oklahoma",40,1244,-1
"2020-07-28","Oklahoma",40,1228,14
"2020-07-29","Oklahoma",40,848,14
"2020-07-30","Oklahoma",40,1105,13
"2020-07-31","Oklahoma",40,746,5
"2020-08-01","Oklahoma",40,1250,8
"2020-08-02","Oklahoma",40,495,1
"2020-08-03","Oklahoma",40,385,1
"2020-08-04","Oklahoma",40,866,15
"2020-08-05","Oklahoma",40,1103,17
"2020-08-06","Oklahoma",40,840,10
"2020-08-07","Oklahoma",40,839,7
"2020-08-08","Oklahoma",40,836,3
"2020-08-09","Oklahoma",40,491,0
"2020-08-10","Oklahoma",40,401,2
"2020-08-11","Oklahoma",40,763,13
"2020-08-12","Oklahoma",40,667,9
"2020-08-13","Oklahoma",40,709,11
"2020-08-14","Oklahoma",40,792,6
"2020-08-15","Oklahoma",40,905,13
"2020-08-16","Oklahoma",40,544,4
"2020-08-17","Oklahoma",40,369,4
"2020-08-18","Oklahoma",40,615,17
"2020-08-19","Oklahoma",40,597,17
"2020-08-20","Oklahoma",40,746,10
"2020-08-21","Oklahoma",40,1077,6
"2020-08-22","Oklahoma",40,853,10
"2020-08-23","Oklahoma",40,566,1
"2020-08-24","Oklahoma",40,357,4
"2020-08-25","Oklahoma",40,650,14
"2020-08-26","Oklahoma",40,666,19
"2020-08-27","Oklahoma",40,712,15
"2020-08-28","Oklahoma",40,710,8
"2020-08-29","Oklahoma",40,1093,11
"2020-08-30","Oklahoma",40,667,2
"2020-08-31","Oklahoma",40,713,1
"2020-09-01","Oklahoma",40,666,9
"2020-09-02","Oklahoma",40,719,12
"2020-09-03","Oklahoma",40,909,14
"2020-09-04","Oklahoma",40,1013,11
"2020-09-05","Oklahoma",40,1147,4
"2020-09-06","Oklahoma",40,420,3
"2020-09-07","Oklahoma",40,613,0
"2020-09-08","Oklahoma",40,833,1
"2020-09-09","Oklahoma",40,876,9
"2020-09-10","Oklahoma",40,771,13
"2020-09-11","Oklahoma",40,942,12
"2020-09-12","Oklahoma",40,1017,11
"2020-09-13","Oklahoma",40,695,6
"2020-09-14","Oklahoma",40,869,0
