"date","state","fips","cases","deaths"
"2020-03-06","Pennsylvania",42,2,0
"2020-03-07","Pennsylvania",42,2,0
"2020-03-08","Pennsylvania",42,2,0
"2020-03-09","Pennsylvania",42,4,0
"2020-03-10","Pennsylvania",42,2,0
"2020-03-11","Pennsylvania",42,4,0
"2020-03-12","Pennsylvania",42,6,0
"2020-03-13","Pennsylvania",42,19,0
"2020-03-14","Pennsylvania",42,6,0
"2020-03-15","Pennsylvania",42,21,0
"2020-03-16","Pennsylvania",42,13,0
"2020-03-17","Pennsylvania",42,20,0
"2020-03-18","Pennsylvania",42,38,1
"2020-03-19","Pennsylvania",42,48,0
"2020-03-20","Pennsylvania",42,82,0
"2020-03-21","Pennsylvania",42,119,1
"2020-03-22","Pennsylvania",42,116,1
"2020-03-23","Pennsylvania",42,140,3
"2020-03-24","Pennsylvania",42,207,2
"2020-03-25","Pennsylvania",42,300,4
"2020-03-26","Pennsylvania",42,539,4
"2020-03-27","Pennsylvania",42,527,7
"2020-03-28","Pennsylvania",42,598,12
"2020-03-29","Pennsylvania",42,626,5
"2020-03-30","Pennsylvania",42,715,8
"2020-03-31","Pennsylvania",42,841,24
"2020-04-01","Pennsylvania",42,808,6
"2020-04-02","Pennsylvania",42,1216,13
"2020-04-03","Pennsylvania",42,1399,11
"2020-04-04","Pennsylvania",42,1690,38
"2020-04-05","Pennsylvania",42,1480,19
"2020-04-06","Pennsylvania",42,1485,11
"2020-04-07","Pennsylvania",42,1507,71
"2020-04-08","Pennsylvania",42,1832,72
"2020-04-09","Pennsylvania",42,1965,31
"2020-04-10","Pennsylvania",42,1749,91
"2020-04-11","Pennsylvania",42,1646,80
"2020-04-12","Pennsylvania",42,1181,10
"2020-04-13","Pennsylvania",42,1340,38
"2020-04-14","Pennsylvania",42,1296,183
"2020-04-15","Pennsylvania",42,1213,87
"2020-04-16","Pennsylvania",42,1510,107
"2020-04-17","Pennsylvania",42,1807,87
"2020-04-18","Pennsylvania",42,1621,123
"2020-04-19","Pennsylvania",42,1250,135
"2020-04-20","Pennsylvania",42,1013,81
"2020-04-21","Pennsylvania",42,1379,254
"2020-04-22","Pennsylvania",42,1379,100
"2020-04-23","Pennsylvania",42,1571,3
"2020-04-24","Pennsylvania",42,1964,63
"2020-04-25","Pennsylvania",42,1328,56
"2020-04-26","Pennsylvania",42,1083,29
"2020-04-27","Pennsylvania",42,1019,75
"2020-04-28","Pennsylvania",42,1595,146
"2020-04-29","Pennsylvania",42,868,300
"2020-04-30","Pennsylvania",42,2033,188
"2020-05-01","Pennsylvania",42,1540,91
"2020-05-02","Pennsylvania",42,1307,123
"2020-05-03","Pennsylvania",42,1008,49
"2020-05-04","Pennsylvania",42,913,37
"2020-05-05","Pennsylvania",42,975,326
"2020-05-06","Pennsylvania",42,1022,154
"2020-05-07","Pennsylvania",42,1160,239
"2020-05-08","Pennsylvania",42,1352,125
"2020-05-09","Pennsylvania",42,1160,69
"2020-05-10","Pennsylvania",42,1376,26
"2020-05-11","Pennsylvania",42,520,27
"2020-05-12","Pennsylvania",42,850,78
"2020-05-13","Pennsylvania",42,787,180
"2020-05-14","Pennsylvania",42,964,194
"2020-05-15","Pennsylvania",42,1020,134
"2020-05-16","Pennsylvania",42,1050,58
"2020-05-17","Pennsylvania",42,517,14
"2020-05-18","Pennsylvania",42,931,56
"2020-05-19","Pennsylvania",42,728,115
"2020-05-20","Pennsylvania",42,747,119
"2020-05-21","Pennsylvania",42,1101,93
"2020-05-22","Pennsylvania",42,1053,145
"2020-05-23","Pennsylvania",42,797,89
"2020-05-24","Pennsylvania",42,554,24
"2020-05-25","Pennsylvania",42,700,14
"2020-05-26","Pennsylvania",42,517,16
"2020-05-27","Pennsylvania",42,773,115
"2020-05-28","Pennsylvania",42,666,107
"2020-05-29","Pennsylvania",42,761,70
"2020-05-30","Pennsylvania",42,716,70
"2020-05-31","Pennsylvania",42,429,18
"2020-06-01","Pennsylvania",42,516,19
"2020-06-02","Pennsylvania",42,581,96
"2020-06-03","Pennsylvania",42,556,72
"2020-06-04","Pennsylvania",42,557,120
"2020-06-05","Pennsylvania",42,480,90
"2020-06-06","Pennsylvania",42,599,34
"2020-06-07","Pennsylvania",42,494,11
"2020-06-08","Pennsylvania",42,431,10
"2020-06-09","Pennsylvania",42,532,63
"2020-06-10","Pennsylvania",42,446,73
"2020-06-11","Pennsylvania",42,534,44
"2020-06-12","Pennsylvania",42,634,42
"2020-06-13","Pennsylvania",42,410,35
"2020-06-14","Pennsylvania",42,313,11
"2020-06-15","Pennsylvania",42,386,32
"2020-06-16","Pennsylvania",42,390,30
"2020-06-17","Pennsylvania",42,310,39
"2020-06-18","Pennsylvania",42,393,41
"2020-06-19","Pennsylvania",42,508,29
"2020-06-20","Pennsylvania",42,390,21
"2020-06-21","Pennsylvania",42,346,5
"2020-06-22","Pennsylvania",42,642,3
"2020-06-23","Pennsylvania",42,617,36
"2020-06-24","Pennsylvania",42,492,57
"2020-06-25","Pennsylvania",42,455,34
"2020-06-26","Pennsylvania",42,720,23
"2020-06-27","Pennsylvania",42,450,27
"2020-06-28","Pennsylvania",42,385,3
"2020-06-29","Pennsylvania",42,768,8
"2020-06-30","Pennsylvania",42,673,32
"2020-07-01","Pennsylvania",42,638,9
"2020-07-02","Pennsylvania",42,839,54
"2020-07-03","Pennsylvania",42,715,32
"2020-07-04","Pennsylvania",42,504,3
"2020-07-05","Pennsylvania",42,481,4
"2020-07-06","Pennsylvania",42,784,1
"2020-07-07","Pennsylvania",42,799,37
"2020-07-08","Pennsylvania",42,831,29
"2020-07-09","Pennsylvania",42,817,31
"2020-07-10","Pennsylvania",42,940,34
