"date","state","fips","cases","deaths"
"2020-02-05","Wisconsin",55,1,0
"2020-02-06","Wisconsin",55,0,0
"2020-02-07","Wisconsin",55,0,0
"2020-02-08","Wisconsin",55,0,0
"2020-02-09","Wisconsin",55,0,0
"2020-02-10","Wisconsin",55,0,0
"2020-02-11","Wisconsin",55,0,0
"2020-02-12","Wisconsin",55,0,0
"2020-02-13","Wisconsin",55,0,0
"2020-02-14","Wisconsin",55,0,0
"2020-02-15","Wisconsin",55,0,0
"2020-02-16","Wisconsin",55,0,0
"2020-02-17","Wisconsin",55,0,0
"2020-02-18","Wisconsin",55,0,0
"2020-02-19","Wisconsin",55,0,0
"2020-02-20","Wisconsin",55,0,0
"2020-02-21","Wisconsin",55,0,0
"2020-02-22","Wisconsin",55,0,0
"2020-02-23","Wisconsin",55,0,0
"2020-02-24","Wisconsin",55,0,0
"2020-02-25","Wisconsin",55,0,0
"2020-02-26","Wisconsin",55,0,0
"2020-02-27","Wisconsin",55,0,0
"2020-02-28","Wisconsin",55,0,0
"2020-02-29","Wisconsin",55,0,0
"2020-03-01","Wisconsin",55,0,0
"2020-03-02","Wisconsin",55,0,0
"2020-03-03","Wisconsin",55,0,0
"2020-03-04","Wisconsin",55,0,0
"2020-03-05","Wisconsin",55,0,0
"2020-03-06","Wisconsin",55,0,0
"2020-03-07","Wisconsin",55,0,0
"2020-03-08","Wisconsin",55,0,0
"2020-03-09","Wisconsin",55,1,0
"2020-03-10","Wisconsin",55,1,0
"2020-03-11","Wisconsin",55,3,0
"2020-03-12","Wisconsin",55,2,0
"2020-03-13","Wisconsin",55,11,0
"2020-03-14","Wisconsin",55,8,0
"2020-03-15","Wisconsin",55,6,0
"2020-03-16","Wisconsin",55,14,0
"2020-03-17","Wisconsin",55,25,0
"2020-03-18","Wisconsin",55,34,0
"2020-03-19","Wisconsin",55,49,2
"2020-03-20","Wisconsin",55,61,1
"2020-03-21","Wisconsin",55,65,1
"2020-03-22","Wisconsin",55,101,0
"2020-03-23","Wisconsin",55,36,1
"2020-03-24","Wisconsin",55,63,0
"2020-03-25","Wisconsin",55,142,2
"2020-03-26","Wisconsin",55,131,3
"2020-03-27","Wisconsin",55,176,6
"2020-03-28","Wisconsin",55,112,1
"2020-03-29","Wisconsin",55,78,0
"2020-03-30","Wisconsin",55,149,3
"2020-03-31","Wisconsin",55,82,5
"2020-04-01","Wisconsin",55,201,8
"2020-04-02","Wisconsin",55,178,4
"2020-04-03","Wisconsin",55,186,13
"2020-04-04","Wisconsin",55,196,10
"2020-04-05","Wisconsin",55,155,13
"2020-04-06","Wisconsin",55,173,10
"2020-04-07","Wisconsin",55,138,11
"2020-04-08","Wisconsin",55,178,13
"2020-04-09","Wisconsin",55,129,9
"2020-04-10","Wisconsin",55,183,15
"2020-04-11","Wisconsin",55,145,10
"2020-04-12","Wisconsin",55,128,4
"2020-04-13","Wisconsin",55,87,10
"2020-04-14","Wisconsin",55,127,17
"2020-04-15","Wisconsin",55,166,12
"2020-04-16","Wisconsin",55,154,13
"2020-04-17","Wisconsin",55,170,8
"2020-04-18","Wisconsin",55,154,7
"2020-04-19","Wisconsin",55,147,10
"2020-04-20","Wisconsin",55,218,9
"2020-04-21","Wisconsin",55,127,12
"2020-04-22","Wisconsin",55,224,4
"2020-04-23","Wisconsin",55,210,10
"2020-04-24","Wisconsin",55,306,5
"2020-04-25","Wisconsin",55,331,4
"2020-04-26","Wisconsin",55,224,8
"2020-04-27","Wisconsin",55,178,7
"2020-04-28","Wisconsin",55,225,19
"2020-04-29","Wisconsin",55,232,8
"2020-04-30","Wisconsin",55,352,8
"2020-05-01","Wisconsin",55,466,11
"2020-05-02","Wisconsin",55,346,7
"2020-05-03","Wisconsin",55,304,5
"2020-05-04","Wisconsin",55,273,1
"2020-05-05","Wisconsin",55,334,13
"2020-05-06","Wisconsin",55,356,9
"2020-05-07","Wisconsin",55,317,12
"2020-05-08","Wisconsin",55,381,10
"2020-05-09","Wisconsin",55,349,14
"2020-05-10","Wisconsin",55,280,2
"2020-05-11","Wisconsin",55,202,9
"2020-05-12","Wisconsin",55,200,9
"2020-05-13","Wisconsin",55,290,3
"2020-05-14","Wisconsin",55,378,13
"2020-05-15","Wisconsin",55,588,11
"2020-05-16","Wisconsin",55,514,8
"2020-05-17","Wisconsin",55,203,0
"2020-05-18","Wisconsin",55,158,6
"2020-05-19","Wisconsin",55,288,8
"2020-05-20","Wisconsin",55,579,14
"2020-05-21","Wisconsin",55,393,6
"2020-05-22","Wisconsin",55,596,9
"2020-05-23","Wisconsin",55,428,11
"2020-05-24","Wisconsin",55,377,3
"2020-05-25","Wisconsin",55,284,4
"2020-05-26","Wisconsin",55,284,3
"2020-05-27","Wisconsin",55,645,22
"2020-05-28","Wisconsin",55,690,11
"2020-05-29","Wisconsin",55,574,19
"2020-05-30","Wisconsin",55,465,19
"2020-05-31","Wisconsin",55,169,6
"2020-06-01","Wisconsin",55,141,3
"2020-06-02","Wisconsin",55,398,13
"2020-06-03","Wisconsin",55,673,8
"2020-06-04","Wisconsin",55,463,9
"2020-06-05","Wisconsin",55,364,7
"2020-06-06","Wisconsin",55,274,12
"2020-06-07","Wisconsin",55,249,2
"2020-06-08","Wisconsin",55,217,2
"2020-06-09","Wisconsin",55,275,12
"2020-06-10","Wisconsin",55,2353,17
"2020-06-11","Wisconsin",55,320,12
"2020-06-12","Wisconsin",55,322,7
"2020-06-13","Wisconsin",55,293,2
"2020-06-14","Wisconsin",55,281,2
"2020-06-15","Wisconsin",55,223,1
"2020-06-16","Wisconsin",55,299,7
"2020-06-17","Wisconsin",55,338,9
"2020-06-18","Wisconsin",55,444,6
"2020-06-19","Wisconsin",55,302,11
"2020-06-20","Wisconsin",55,401,15
"2020-06-21","Wisconsin",55,284,0
"2020-06-22","Wisconsin",55,251,0
"2020-06-23","Wisconsin",55,338,7
"2020-06-24","Wisconsin",55,465,11
"2020-06-25","Wisconsin",55,552,6
"2020-06-26","Wisconsin",55,514,0
"2020-06-27","Wisconsin",55,517,11
"2020-06-28","Wisconsin",55,481,0
"2020-06-29","Wisconsin",55,387,0
"2020-06-30","Wisconsin",55,620,7
"2020-07-01","Wisconsin",55,584,1
"2020-07-02","Wisconsin",55,569,7
"2020-07-03","Wisconsin",55,689,3
"2020-07-04","Wisconsin",55,678,0
"2020-07-05","Wisconsin",55,507,0
"2020-07-06","Wisconsin",55,568,1
"2020-07-07","Wisconsin",55,516,12
"2020-07-08","Wisconsin",55,692,1
"2020-07-09","Wisconsin",55,832,3
"2020-07-10","Wisconsin",55,1056,4
"2020-07-11","Wisconsin",55,681,4
"2020-07-12","Wisconsin",55,806,-1
"2020-07-13","Wisconsin",55,702,0
"2020-07-14","Wisconsin",55,913,6
"2020-07-15","Wisconsin",55,893,1
"2020-07-16","Wisconsin",55,952,4
"2020-07-17","Wisconsin",55,882,3
"2020-07-18","Wisconsin",55,875,10
"2020-07-19","Wisconsin",55,835,1
"2020-07-20","Wisconsin",55,801,2
"2020-07-21","Wisconsin",55,1139,13
"2020-07-22","Wisconsin",55,884,6
"2020-07-23","Wisconsin",55,974,13
"2020-07-24","Wisconsin",55,1144,0
"2020-07-25","Wisconsin",55,840,13
"2020-07-26","Wisconsin",55,950,1
"2020-07-27","Wisconsin",55,638,4
"2020-07-28","Wisconsin",55,791,11
"2020-07-29","Wisconsin",55,1005,4
"2020-07-30","Wisconsin",55,992,8
"2020-07-31","Wisconsin",55,909,15
"2020-08-01","Wisconsin",55,1044,12
"2020-08-02","Wisconsin",55,926,1
"2020-08-03","Wisconsin",55,481,4
"2020-08-04","Wisconsin",55,792,10
"2020-08-05","Wisconsin",55,984,9
"2020-08-06","Wisconsin",55,892,9
"2020-08-07","Wisconsin",55,1117,13
"2020-08-08","Wisconsin",55,975,6
"2020-08-09","Wisconsin",55,604,2
"2020-08-10","Wisconsin",55,592,0
"2020-08-11","Wisconsin",55,719,8
"2020-08-12","Wisconsin",55,559,5
"2020-08-13","Wisconsin",55,1076,7
"2020-08-14","Wisconsin",55,980,6
"2020-08-15","Wisconsin",55,799,12
"2020-08-16","Wisconsin",55,686,1
"2020-08-17","Wisconsin",55,550,2
