"date","state","fips","cases","deaths"
"2020-03-11","Wyoming",56,1,0
"2020-03-12","Wyoming",56,0,0
"2020-03-13","Wyoming",56,1,0
"2020-03-14","Wyoming",56,1,0
"2020-03-15","Wyoming",56,0,0
"2020-03-16","Wyoming",56,7,0
"2020-03-17","Wyoming",56,5,0
"2020-03-18","Wyoming",56,2,0
"2020-03-19","Wyoming",56,1,0
"2020-03-20","Wyoming",56,4,0
"2020-03-21","Wyoming",56,2,0
"2020-03-22","Wyoming",56,2,0
"2020-03-23","Wyoming",56,2,0
"2020-03-24","Wyoming",56,9,0
"2020-03-25","Wyoming",56,12,0
"2020-03-26","Wyoming",56,7,0
"2020-03-27","Wyoming",56,18,0
"2020-03-28","Wyoming",56,11,0
"2020-03-29","Wyoming",56,3,0
"2020-03-30","Wyoming",56,8,0
"2020-03-31","Wyoming",56,25,0
"2020-04-01","Wyoming",56,17,0
"2020-04-02","Wyoming",56,16,0
"2020-04-03","Wyoming",56,13,0
"2020-04-04","Wyoming",56,22,0
"2020-04-05","Wyoming",56,11,0
"2020-04-06","Wyoming",56,13,0
"2020-04-07","Wyoming",56,8,0
"2020-04-08","Wyoming",56,9,0
"2020-04-09","Wyoming",56,73,0
"2020-04-10","Wyoming",56,17,0
"2020-04-11","Wyoming",56,23,0
"2020-04-12","Wyoming",56,21,0
"2020-04-13","Wyoming",56,9,1
"2020-04-14","Wyoming",56,0,0
"2020-04-15","Wyoming",56,19,1
"2020-04-16","Wyoming",56,1,0
"2020-04-17","Wyoming",56,8,0
"2020-04-18","Wyoming",56,11,0
"2020-04-19","Wyoming",56,10,0
"2020-04-20","Wyoming",56,4,0
"2020-04-21","Wyoming",56,16,4
"2020-04-22","Wyoming",56,5,0
"2020-04-23","Wyoming",56,6,1
"2020-04-24","Wyoming",56,20,0
"2020-04-25","Wyoming",56,4,0
"2020-04-26","Wyoming",56,25,0
"2020-04-27","Wyoming",56,18,0
"2020-04-28","Wyoming",56,16,0
"2020-04-29","Wyoming",56,8,0
"2020-04-30","Wyoming",56,15,0
"2020-05-01","Wyoming",56,7,0
"2020-05-02","Wyoming",56,13,0
"2020-05-03","Wyoming",56,7,0
"2020-05-04","Wyoming",56,10,0
"2020-05-05","Wyoming",56,8,0
"2020-05-06","Wyoming",56,27,0
"2020-05-07","Wyoming",56,4,0
"2020-05-08","Wyoming",56,9,0
"2020-05-09","Wyoming",56,9,0
"2020-05-10","Wyoming",56,9,0
"2020-05-11","Wyoming",56,7,0
"2020-05-12","Wyoming",56,6,0
"2020-05-13","Wyoming",56,13,0
"2020-05-14","Wyoming",56,13,0
"2020-05-15","Wyoming",56,15,0
"2020-05-16","Wyoming",56,25,0
"2020-05-17","Wyoming",56,13,1
"2020-05-18","Wyoming",56,12,2
"2020-05-19","Wyoming",56,10,0
"2020-05-20","Wyoming",56,11,1
"2020-05-21","Wyoming",56,14,1
"2020-05-22","Wyoming",56,2,0
"2020-05-23","Wyoming",56,10,0
"2020-05-24","Wyoming",56,0,0
"2020-05-25","Wyoming",56,30,0
"2020-05-26","Wyoming",56,7,1
"2020-05-27","Wyoming",56,10,1
"2020-05-28","Wyoming",56,16,1
"2020-05-29","Wyoming",56,15,0
"2020-05-30","Wyoming",56,7,1
"2020-05-31","Wyoming",56,5,0
"2020-06-01","Wyoming",56,7,1
"2020-06-02","Wyoming",56,2,0
"2020-06-03","Wyoming",56,3,0
"2020-06-04","Wyoming",56,6,0
"2020-06-05","Wyoming",56,12,0
"2020-06-06","Wyoming",56,6,0
"2020-06-07","Wyoming",56,8,0
"2020-06-08","Wyoming",56,13,0
"2020-06-09","Wyoming",56,10,0
"2020-06-10","Wyoming",56,10,1
"2020-06-11","Wyoming",56,29,0
"2020-06-12","Wyoming",56,18,0
