"date","cumu_cases","cumu_deaths","daily_deaths","daily_cases","3_Day_MA_Ddeaths","7_Day_MA_Ddeaths","30_Day_MA_Ddeaths","3_Day_MA_Dcases","7_Day_MA_Dcases","30_Day_MA_Dcases"
"2020-01-21",1,0,0,1,1,1,1,1,1,1
"2020-01-22",1,0,0,0,1,1,1,1,1,1
"2020-01-23",1,0,0,0,1,1,1,1,1,1
"2020-01-24",2,0,0,1,1,1,1,1,1,1
"2020-01-25",3,0,0,1,1,1,1,1,1,1
"2020-01-26",5,0,0,2,1,1,1,1,1,1
"2020-01-27",5,0,0,0,1,1,1,1,1,1
"2020-01-28",5,0,0,0,1,1,1,1,1,1
"2020-01-29",5,0,0,0,1,1,1,1,1,1
"2020-01-30",6,0,0,1,1,1,1,1,1,1
"2020-01-31",7,0,0,1,1,1,1,1,1,1
"2020-02-01",8,0,0,1,1,1,1,1,1,1
"2020-02-02",11,0,0,3,1,1,1,1,1,1
"2020-02-03",11,0,0,0,1,1,1,1,1,1
"2020-02-04",11,0,0,0,1,1,1,1,1,1
"2020-02-05",12,0,0,1,1,1,1,1,1,1
"2020-02-06",12,0,0,0,1,1,1,1,1,1
"2020-02-07",12,0,0,0,1,1,1,1,1,1
"2020-02-08",12,0,0,0,1,1,1,1,1,1
"2020-02-09",12,0,0,0,1,1,1,1,1,1
"2020-02-10",13,0,0,1,1,1,1,1,1,1
"2020-02-11",13,0,0,0,1,1,1,1,1,1
"2020-02-12",14,0,0,1,1,1,1,1,1,1
"2020-02-13",15,0,0,1,1,1,1,1,1,1
"2020-02-14",15,0,0,0,1,1,1,1,1,1
"2020-02-15",15,0,0,0,1,1,1,1,1,1
"2020-02-16",15,0,0,0,1,1,1,1,1,1
"2020-02-17",25,0,0,10,1,1,1,1,1,1
"2020-02-18",25,0,0,0,1,1,1,1,1,1
"2020-02-19",25,0,0,0,1,1,1,1,1,1
"2020-02-20",27,0,0,2,1,1,1,1,1,1
"2020-02-21",30,0,0,3,1,1,1,1,1,1
"2020-02-22",30,0,0,0,1,1,1,1,1,1
"2020-02-23",30,0,0,0,1,1,1,1,1,1
"2020-02-24",43,0,0,13,1,1,1,1,1,1
"2020-02-25",45,0,0,2,1,1,1,1,1,1
"2020-02-26",60,0,0,15,1,1,1,1,1,1
"2020-02-27",60,0,0,0,1,1,1,1,1,1
"2020-02-28",65,0,0,5,1,1,1,1,1,1
"2020-02-29",70,1,1,5,1,1,1,1,1,1
"2020-03-01",88,3,2,18,1,1,1,1,1,1
"2020-03-02",104,6,3,16,1,1,1,1,1,1
"2020-03-03",125,10,4,21,1,1,1,1,1,1
"2020-03-04",161,12,2,36,1,1,1,1,1,1
"2020-03-05",228,12,0,67,1,1,1,1,1,1
"2020-03-06",311,15,3,83,1,1,1,1,1,1
"2020-03-07",428,19,4,117,1,1,1,1,1,1
"2020-03-08",547,22,3,119,1,1,1,1,1,1
"2020-03-09",748,26,4,201,1,1,1,1,1,1
"2020-03-10",1018,31,5,270,1,1,1,1,1,1
"2020-03-11",1263,37,6,245,1,1,1,1,1,1
"2020-03-12",1668,43,6,405,1,1,1,1,1,1
"2020-03-13",2224,50,7,556,1,1,1,1,1,1
"2020-03-14",2898,60,10,674,1,1,1,1,1,1
"2020-03-15",3600,68,8,702,1,1,1,1,1,1
"2020-03-16",4507,91,23,907,1,1,1,1,1,1
"2020-03-17",5906,117,26,1399,1,1,1,1,1,1
"2020-03-18",8350,162,45,2444,1,1,1,1,1,1
"2020-03-19",12393,212,50,4043,1,1,1,1,1,1
"2020-03-20",18012,277,65,5619,1,1,1,1,1,1
"2020-03-21",24528,360,83,6516,1,1,1,1,1,1
"2020-03-22",33073,458,98,8545,1,1,1,1,1,1
"2020-03-23",43505,579,121,10432,1,1,1,1,1,1
"2020-03-24",53938,785,206,10433,1,1,1,1,1,1
"2020-03-25",68572,1054,269,14634,1,1,1,1,1,1
"2020-03-26",85570,1353,299,16998,1,1,1,1,1,1
"2020-03-27",102900,1770,417,17330,1,1,1,1,1,1
"2020-03-28",123966,2300,530,21066,1,1,1,1,1,1
"2020-03-29",142486,2718,418,18520,1,1,1,1,1,1
"2020-03-30",163955,3368,650,21469,1,1,1,1,1,1
"2020-03-31",188461,4304,936,24506,1,1,1,1,1,1
"2020-04-01",215391,5325,1021,26930,1,1,1,1,1,1
"2020-04-02",245108,6541,1216,29717,1,1,1,1,1,1
"2020-04-03",277426,7932,1391,32318,1,1,1,1,1,1
"2020-04-04",312525,9488,1556,35099,1,1,1,1,1,1
"2020-04-05",338141,10856,1368,25616,1,1,1,1,1,1
"2020-04-06",369057,12382,1526,30916,1,1,1,1,1,1
"2020-04-07",399394,14616,2234,30337,1,1,1,1,1,1
"2020-04-08",431214,16701,2085,31820,1,1,1,1,1,1
"2020-04-09",465913,18821,2120,34699,1,1,1,1,1,1
"2020-04-10",499386,21084,2263,33473,1,1,1,1,1,1
"2020-04-11",531106,23168,2084,31720,1,1,1,1,1,1
"2020-04-12",558249,24849,1681,27143,1,1,1,1,1,1
"2020-04-13",584018,26613,1764,25769,1,1,1,1,1,1
"2020-04-14",610709,29318,2705,26691,1,1,1,1,1,1
"2020-04-15",640742,32070,2752,30033,1,1,1,1,1,1
"2020-04-16",672355,34419,2349,31613,1,1,1,1,1,1
"2020-04-17",703864,36708,2289,31509,1,1,1,1,1,1
"2020-04-18",732262,38659,1951,28398,1,1,1,1,1,1
"2020-04-19",757596,40179,1520,25334,1,1,1,1,1,1
"2020-04-20",784991,42016,1837,27395,1,1,1,1,1,1
"2020-04-21",810505,44688,2672,25514,1,1,1,1,1,1
"2020-04-22",839336,47059,2371,28831,1,1,1,1,1,1
"2020-04-23",873112,49228,2169,33776,1,1,1,1,1,1
"2020-04-24",909853,51360,2132,36741,1,1,1,1,1,1
"2020-04-25",944261,53327,1967,34408,1,1,1,1,1,1
"2020-04-26",970996,54580,1253,26735,1,1,1,1,1,1
"2020-04-27",994193,56022,1442,23197,1,1,1,1,1,1
"2020-04-28",1018844,58416,2394,24651,1,1,1,1,1,1
"2020-04-29",1045399,60930,2514,26555,1,1,1,1,1,1
"2020-04-30",1075756,63140,2210,30357,1,1,1,1,1,1
"2020-05-01",1109726,64902,1762,33970,1,1,1,1,1,1
"2020-05-02",1139200,66485,1583,29474,1,1,1,1,1,1
"2020-05-03",1165340,67816,1331,26140,1,1,1,1,1,1
"2020-05-04",1187302,68905,1089,21962,1,1,1,1,1,1
"2020-05-05",1211011,71139,2234,23709,1,1,1,1,1,1
"2020-05-06",1235517,73847,2708,24506,1,1,1,1,1,1
"2020-05-07",1263995,75805,1958,28478,1,1,1,1,1,1
"2020-05-08",1291643,77380,1575,27648,1,1,1,1,1,1
"2020-05-09",1316511,78834,1454,24868,1,1,1,1,1,1
"2020-05-10",1336828,79766,932,20317,1,1,1,1,1,1
"2020-05-11",1354449,80748,982,17621,1,1,1,1,1,1
"2020-05-12",1376749,82400,1652,22300,1,1,1,1,1,1
"2020-05-13",1397894,84168,1768,21145,1,1,1,1,1,1
"2020-05-14",1424856,85906,1738,26962,1,1,1,1,1,1
"2020-05-15",1451093,87499,1593,26237,1,1,1,1,1,1
"2020-05-16",1474752,88724,1225,23659,1,1,1,1,1,1
"2020-05-17",1493766,89568,844,19014,1,1,1,1,1,1
"2020-05-18",1515593,90414,846,21827,1,1,1,1,1,1
"2020-05-19",1536570,91934,1520,20977,1,1,1,1,1,1
"2020-05-20",1559640,93411,1477,23070,1,1,1,1,1,1
"2020-05-21",1585373,94722,1311,25733,1,1,1,1,1,1
"2020-05-22",1609172,96010,1288,23799,1,1,1,1,1,1
"2020-05-23",1631440,97060,1050,22268,1,1,1,1,1,1
"2020-05-24",1651471,97680,620,20031,1,1,1,1,1,1
"2020-05-25",1670571,98190,510,19100,1,1,1,1,1,1
"2020-05-26",1689467,98937,747,18896,1,1,1,1,1,1
"2020-05-27",1708211,100422,1485,18744,1,1,1,1,1,1
"2020-05-28",1730723,101622,1200,22512,1,1,1,1,1,1
"2020-05-29",1755271,102812,1190,24548,1,1,1,1,1,1
"2020-05-30",1778668,103775,963,23397,1,1,1,1,1,1
"2020-05-31",1799302,104379,604,20634,1,1,1,1,1,1
"2020-06-01",1821199,105113,734,21897,1,1,1,1,1,1
"2020-06-02",1841990,106195,1082,20791,1,1,1,1,1,1
"2020-06-03",1861977,107184,989,19987,1,1,1,1,1,1
"2020-06-04",1883593,108192,1008,21616,1,1,1,1,1,1
"2020-06-05",1912302,109304,1112,28709,1,1,1,1,1,1
"2020-06-06",1934818,110032,728,22516,1,1,1,1,1,1
"2020-06-07",1953434,110422,390,18616,1,1,1,1,1,1
"2020-06-08",1971641,111144,722,18207,1,1,1,1,1,1
"2020-06-09",1990446,112174,1030,18805,1,1,1,1,1,1
"2020-06-10",2013298,113103,929,22852,1,1,1,1,1,1
"2020-06-11",2036500,113980,877,23202,1,1,1,1,1,1
"2020-06-12",2061993,114759,779,25493,1,1,1,1,1,1
"2020-06-13",2087327,115451,692,25334,1,1,1,1,1,1
"2020-06-14",2106457,115768,317,19130,1,1,1,1,1,1
"2020-06-15",2126574,116216,448,20117,1,1,1,1,1,1
"2020-06-16",2151459,116985,769,24885,1,1,1,1,1,1
"2020-06-17",2177114,117746,761,25655,1,1,1,1,1,1
"2020-06-18",2205173,118473,727,28059,1,1,1,1,1,1
"2020-06-19",2236009,119171,698,30836,1,1,1,1,1,1
"2020-06-20",2268034,119717,546,32025,1,1,1,1,1,1
"2020-06-21",2294413,119974,257,26379,1,1,1,1,1,1
"2020-06-22",2324879,120334,360,30466,1,1,1,1,1,1
"2020-06-23",2359939,121167,833,35060,1,1,1,1,1,1
"2020-06-24",2396928,121934,767,36989,1,1,1,1,1,1
"2020-06-25",2438101,124400,2466,41173,1,1,1,1,1,1
"2020-06-26",2483629,125033,633,45528,1,1,1,1,1,1
"2020-06-27",2525928,125544,511,42299,1,1,1,1,1,1
"2020-06-28",2565436,125815,271,39508,1,1,1,1,1,1
"2020-06-29",2604932,126162,347,39496,1,1,1,1,1,1
"2020-06-30",2653321,127462,1300,48389,1,1,1,1,1,1
"2020-07-01",2703296,128104,642,49975,1,1,1,1,1,1
"2020-07-02",2758855,128827,723,55559,1,1,1,1,1,1
"2020-07-03",2816009,129418,591,57154,1,1,1,1,1,1
"2020-07-04",2866015,129679,261,50006,1,1,1,1,1,1
"2020-07-05",2910782,129941,262,44767,1,1,1,1,1,1
"2020-07-06",2958098,130332,391,47316,1,1,1,1,1,1
"2020-07-07",3012182,131290,958,54084,1,1,1,1,1,1
"2020-07-08",3071637,132238,948,59455,1,1,1,1,1,1
"2020-07-09",3131526,133079,841,59889,1,1,1,1,1,1
"2020-07-10",3199753,133907,828,68227,1,1,1,1,1,1
"2020-07-11",3260474,134582,675,60721,1,1,1,1,1,1
"2020-07-12",3318279,134977,395,57805,1,1,1,1,1,1
"2020-07-13",3379846,135402,425,61567,1,1,1,1,1,1
"2020-07-14",3445448,136356,954,65602,1,1,1,1,1,1
"2020-07-15",3513790,137327,971,68342,1,1,1,1,1,1
"2020-07-16",3589477,138285,958,75687,1,1,1,1,1,1
"2020-07-17",3660400,139186,901,70923,1,1,1,1,1,1
"2020-07-18",3722851,139961,775,62451,1,1,1,1,1,1
"2020-07-19",3785126,140373,412,62275,1,1,1,1,1,1
"2020-07-20",3845014,140904,531,59888,1,1,1,1,1,1
"2020-07-21",3910291,142031,1127,65277,1,1,1,1,1,1
"2020-07-22",3980030,143167,1136,69739,1,1,1,1,1,1
"2020-07-23",4050036,144283,1116,70006,1,1,1,1,1,1
